COD. ÚNICO,VIGENCIA,AÑO,AÑO PRESP.,BIP,DV,NOMBRE INICIATIVA,REVISIÓN O REEVALUACIÓN,TIPO,PROVINCIA,COMUNA,ETAPA,TIPOLOGÍA,SUBTIPOLOGÍAS,Categoría GORE,SUBT,ITEM,ASIG,FORMULADOR,ORIGEN,UNIDAD TÉCNICA,ALCANCE INICIATIVA,DIVISIÓN VINCULADA,CARTERA REZAGO,BENEFICIARIO,SECTOR,SUBSECTOR,MONTO INICIATIVA,MONTO SECTORIAL,MONTO FNDR,MONTO FINAL APROB.,GASTO VIGENTE,GASTO SIG. AÑOS,ESTADO ACTUAL,FECHA ESTADO ACTUAL,RATE ACTUAL,FECHA ULTIMO RATE,N° RATES EMITIDOS,DIAS PARA RESPUESTA,N° ORD. POSTULACIÓN,FECHA ORD. POSTULACIÓN,FECHA RECEPC. GORE,ANALISTA,FECHA ASIGN. ANALISTA,N° ORD.  A MIDESO,FECHA ENVÍO A MIDESO,N° ORD. CORE,FECHA ENVÍO ORD. A CORE,N° CERTIF. RS,FECHA CERTIF. RS,N° CERT.CORE O RES. EXTA INCORP,FECHA CERTIF. APROBADO CORE,"N° MEMO PRESUPESTO
RES. APRUEBA CONV","FECHA ENVÍO A PRESUPUESTO
FECHA CONVENIO",OBSERVACIONES GENERALES,EJE,LINEAMIENTO,OBJETIVO,ACCION,N° EMPLEOS EST. HOMBRE,N° EMPLEOS EST. MUJER,N° EMPLEOS ESTIMADOS,N° BENEF DIRECT HOM,N° BENEF DIRECTOS MUJ,N° BENEF DIRECTOS TOTAL,CONTROL DE DIAS,CONTROL RESPUESTA OBSERVACIONES,N° DIAS RETRASO,RESPONDE OBSERVACIONES,FECHA RESPUESTA INGRESO PRE INVERSIÓN,N° DÍAS A LA ESPERA DE REVISIÓN,PRIORIZADO GOBERNADOR,,,,,,
30289022-2020,NO VIGENTE,2020,2020,30289022,0,RESTAURACION TEMPLO CATOLICO PARROQUIAL COMUNA DE PEMUCO,,PROYECTO,DIGUILLIN,PEMUCO,DISEÑO,MIDESO,,,31,2,,MUNICIP. PEMUCO,MUNICIPIO,,,,,PEMUCO,"EDUCACION, CULTURA Y PATRIMONIO",INFRAESTRUCTURA PATRIMONIAL,"$82,080",$0,"$82,080",,"M$82,080",M$0,REV MDS,,FI,22-12-2020,,,,,05-03-2020,PABLO TRONCOSO,05-03-2020,159,09-03-20,,,,,,,,," // FI MIDESO 22-12-20, 24-11-20 Y 31-03-20// ADMISIBLE MIDESO 18-03-20 // E8459/2020 SE ENVÍA A REVISIÓN MIDESO POR ORD. 159 DEL 09-03-20, CARGADO EN BIP 10-03-20 // 06-03-20 SE ENVÍA CORREO A FORMULADOR PARA SUBSANAR OBSERVACIONES DE ADMISIBILIDAD, PLAZO VIERNES 13-03-20 // E8371/2020 INGRESA INICIATIVA FONDOS FNDR, ASIGNADO ANALISTA PARA REVISAR ADMISIBILIDAD MIDESO 05-03-20",,,,,,,,,,,22-12-2020,,NO APLICA,,,,,,,,,,3.1.2.8. Avanzar en la implementación de un sistema regional integrado de información de salud orientado a lograr la trazabilidad de la historia clínica de los beneficiarios.
30289022-2019,EN PRESUPUESTO,2021,2019,30289022,0,"RESTAURACIÓN TEMPLO CATÓLICO PARROQUIA SAN JOSÉ, COMUNA DE PEMUCO",,PROYECTO,DIGUILLIN,PEMUCO,DISEÑO,MIDESO,MIDESO,Patrimonio,31,2,0,MUNICIP. PEMUCO,MUNICIPIO,,,,,PEMUCO,"EDUCACION, CULTURA Y PATRIMONIO",PATRIMONIO,"$90,500",$0,"$90,500",,"M$62,000","M$28,500",,,RS,24-06-2021,1,,,,31-03-2021,MARIA JOSE GUTIERREZ,31-03-2021,229,08-04-2021,486,01-07-2021,,,304,12-07-2021,,,APROBADO CORE SEGÚN CERT. 304OFICIO LISTO PARA SER ENVIADO POR ODD // RS DEL 24-06-21 // ENVIADO POR MAIL EL 12-04-21 // DERIVADO A MARÍA JOSÉ PARA REVISIÓN,3. Desarrollo Social,3.2 Fortalecer e impulsar las distintas expresiones culturales y/o identitarias en la Región de Ñuble,3.2.1 Poner en valor el patrimonio material e inmaterial de la región.,"3.2.1.4 Desarrollar y ejecutar programa de conservación y mejoramiento del patrimonio arquitectónico urbano y rural, incluyendo vivienda, zonas de conservación y zonas típicas.",,,50,7343,7333,14676,NO,YA ESTÁ RS,NO APLICA,,,,,,,,,,3.1.3.1. Introducir la formación cívica en la educación pública regional.
30289072-2019,NO VIGENTE,2019,2019,30289072,0,"MEJORAMIENTO SISTEMA DE APR CHOLGUAN NORTE - PEDREGAL , YUNGAY",,PROYECTO,DIGUILLIN,YUNGAY,EJECUCIÓN,MIDESO,,,31,,,MUNICIP. YUNGAY,MUNICIPIO,,,,,YUNGAY,APR,AGUA POTABLE,"$496,873",$0,"$496,873",,"M$171,151","M$325,722",REV MDS,,OT,07-08-2019,,,,,30-04-2019,MATHIAS PEZO / MIDESO,15-05-2019,303,10-07-19,,,,,,,,," // ENVIADO A MIDESO POR ORD. 303 DEL 10-07-19 E3491/2019, CARGADO EN BIP 17-07-19 // SE ENVIA CORREO A FORMULADOR EL 06-06-19 SOLICITANDO COMPLETAR ANTECEDENTES PARA ADMISIBILIDAD, PLAZO 5 DIAS HÁBILES // PRIORIZADO Y ASIGNADO ANALISTA 15-05-19 // E2216/2019",,,,,,,,,,,07-08-2019,,NO APLICA,,,,,,,,,,3.1.3.2. Innovar en técnicas pedagógicas y contenidos para el proceso enseñanza-aprendizaje en aula.
30289424-2019,NO VIGENTE,2019,2019,30289424,0,REPOSICION EDIFICIO CONSISTORIAL SAN FABIÁN,,PROYECTO,PUNILLA,SAN FABIAN,DISEÑO,MIDESO,,,31,2,,MUNICIP. SAN FABIÁN,MUNICIPIO,,,,,SAN FABIAN,CONSISTORIAL,ADMINISTRACION MULTISECTOR,"$261,152",$0,"$261,152",,"M$176,283","M$84,869",NO PRIO INTEN MDS,,ADMISIBLE,25-01-2019,,,,,23-01-2019,CAMILA CANAHUATE,24-01-2019,,,,,,,,,,," // NO SE FIRMA OFICIO PARA ENVÍO A MIDESO 25-01-19 / ORD. 36 DEL 18-01-19 INGRESA PROYECTO CON CODIGO BIP CONCEPCIÓN POR INSTRUCCIÓN DE MIDESO, REEMPLAZA PROYECTO 40010526, EN REVISIÓN ANALISTA",,,,,,,,,,,25-01-2019,,NO APLICA,,,,,,,,,,"3.1.3.3. Desarrollar iniciativas que apunten al mejoramiento de la convivencia social, fortaleciendo habilidades y destrezas personales e interpersonales"
30291125-2019,NO VIGENTE,2019,2019,30291125,0,"HABILITACION SISTEMA DE MONITOREO DE TRAFICO UOCT ÑUBLE, CHILLÁN",,PROYECTO,DIGUILLIN,DIGUILLIN,EJECUCIÓN,MIDESO,,,31,2,,TRANSPORTE UOCT,SECTORIAL / OTRO,,,,,DIGUILLIN,TRANSPORTE,"TRANSPORTE URBANO, VIALIDAD PEATONAL","$516,661",$0,"$516,661",,"M$86,110","M$430,551",REEMPL,,RS,27-08-2019,,,,,24-01-2019,ELIAS JARA,30-01-2019,76,12-02-19,,,,,,,,," // OFICIO DE INTENDENTE PARA ENVÍO A CORE EN VISTO BUENO JEFE DIPLADE 27-08-19 // ORD. 76 DEL 12-02-19 ENVIADO A MIDESO, CARGADO EN BIP 14-02-19 / EN REVISIÓN ANALISTA, SE ENVÍA CORREO A SEREMI 30-01-19",,,,,,,,,,,27-08-2019,YA ESTÁ RS,NO APLICA,,,,,,,,,,3.1.3.4. Elaborar programa para facilitar el acceso a la educación superior.
30291125-2020,VIGENTE,2019,2020,30291125,0,"HABILITACION SISTEMA DE MONITOREO DE TRAFICO UOCT ÑUBLE, CHILLÁN",,PROYECTO,DIGUILLIN,DIGUILLIN,EJECUCIÓN,MIDESO,MIDESO,,31,2,,TRANSPORTE UOCT,SECTORIAL / OTRO,,,,,DIGUILLIN,TRANSPORTE,"TRANSPORTE URBANO, VIALIDAD PEATONAL","$530,092",$0,"$530,092",,"M$441,178","M$88,914",NO PRIO INTEN RS,,RS,27-08-2019,,,,,24-01-2019,ELIAS JARA,30-01-2019,76,12-02-19,,,,,,,,," // OFICIO DE INTENDENTE PARA ENVÍO A CORE EN VISTO BUENO JEFE DIPLADE 27-08-19 // ORD. 76 DEL 12-02-19 ENVIADO A MIDESO, CARGADO EN BIP 14-02-19 / EN REVISIÓN ANALISTA, SE ENVÍA CORREO A SEREMI 30-01-19",,,,,,,,,,,27-08-2019,,NO APLICA,,,,,,,,,,"3.1.4.1. Fortalecer programas y campañas de sensibilización, prevención y denuncia de situaciones de violencia de género."
30292030-2022,VIGENTE,2022,2022,30292030,0,REPOSICION DE VEHICULOS DE TRANSPORTE DE PERSONAS PARA LA RED DE SALUD DE ÑUBLE,REVISIÓN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,SALUD,29,3,,S.SALUD ÑUBLE,SECTORIAL / OTRO,S.SALUD ÑUBLE,REGIONAL,,,REGIONAL,SALUD,SALUD BAJA COMPLEJIDAD,"M$252,000",M$0,"M$252,000","M$252,000","M$252,000",M$0,INGRESADO A PREINVERSIÓN,,SIN RATE,,,,729,26-07-2022,27-07-2022,Nadia Villagra,01-08-2022,,,,,,,,,,,SIN OBSERVACIONES,3. DESARROLLO SOCIAL,3.1 MEJORAR LAS CONDICIONES REGIONALES PARA UN MAYOR BIENESTAR DE SUS HABITANTES,3.1.2 FORTALECER EL ACCESO A LA SALUD DE CALIDAD PARA TODOS LOS HABITANTES DE LA REGIÓN,3.1.2.4 Implementar estrategia integral de mejoramiento de la atención a los usuarios.,,,,231315,232936,464251,30-12-1899,,,,,,NO,,,,,,3.1.4.2. Aumentar cobertura territorial y acompañamiento continuo de programas que estimulen la autonomía económica de las mujeres.
30292030-2023,VIGENTE,2022,2023,30292030,0,REPOSICIÓN DE VEHÍCULOS DE TRANSPORTE DE PERSONAS PARA LA RED SALUD ÑUBLE,REVISIÓN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,SALUD,,,,S.SALUD ÑUBLE,SECTORIAL / OTRO,S.SALUD ÑUBLE,REGIONAL,,,REGIONAL,SALUD,SALUD BAJA COMPLEJIDAD,"M$252,000",M$0,"M$252,000","M$252,000",M$0,"M$252,000",INGRESADO A PREINVERSIÓN,21-12-2022,SIN RATE,21-12-2022,,,3G/N° 1209,13-12-2022,14-12-2022,,,,,,,,,,,,,,3. DESARROLLO SOCIAL,3.1 MEJORAR LAS CONDICIONES REGIONALES PARA UN MAYOR BIENESTAR DE SUS HABITANTES,3.1.2 FORTALECER EL ACCESO A LA SALUD DE CALIDAD PARA TODOS LOS HABITANTES DE LA REGIÓN,,,,,231315,232936,464251,21-12-2022,,,,,,,,,,,,3.1.4.3. Fortalecer los espacios de convivencia y formación de redes de apoyo mutuo entre mujeres.
30318923-2019,NO VIGENTE,2019,2019,30318923,0,"CONSTRUCCION PASARELA PEATONAL PORTAL DE LA LUNA, SAN NICOLAS",,PROYECTO,PUNILLA,SAN NICOLÁS,EJECUCIÓN,MIDESO,,,31,2,,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,,,SAN NICOLAS,INFRAESTRUCTURA PUBLICA,"TRANSPORTE URBANO, VIALIDAD PEATONAL","$1,198,548",$0,"$1,198,548",,"M$1,198,548",M$0,PRIORIZANDO MDS,,ADMISIBLE,,,,,,14-01-2019,MATHIAS PEZO,15-01-2019,,,,,,,,,,, // PRIORIZANDO PARA ENVÍO A REVISIÓN MIDESO 24-04-19 // EN REVISIÓN ANALISTA,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,3.1.4.4. Diseñar e implementar un observatorio regional para el estudio y seguimiento de políticas de género y diversidad sexual
30318924-2021,NO VIGENTE,2019,2021,30318924,0,MEJORAMIENTO ACERAS AV. OHIGGINS COMUNA SAN NICOLAS,,PROYECTO,PUNILLA,SAN NICOLÁS,EJECUCIÓN,MIDESO,,,31,2,,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,,,SAN NICOLAS,INFRAESTRUCTURA PUBLICA,DESARROLLO URBANO,"$1,087,534",$0,"$1,087,534",,"M$1,087,534",M$0,APRO CORE,,RS,07-10-2019,,,,,14-01-2019,MATHIAS PEZO,15-01-2019,290,27-06-19,336,07-05-2020,,,133,20-05-2020,,," // APROBADO CORE CERT 133 DEL 20-05-20 // POR ORD. 1049 DEL 08-10-19 E5318/2019 ALCALDE SOLICITA PRIORIZACIÓN DE INICIATIVA A CORE, SE INFORMA POR CORREO A JEFATURAS PARA DETERMINAR PRIORIZACIÓN 10-10-19 // 08-10-19 SE ENVÍA CORREO A JEFATURAS INFORMANDO DE RS MIDESO 07-10-19 PARA QUE SE INFORME",,,,,,,,,,,07-10-2019,YA ESTÁ RS,NO APLICA,,,,,,,,,,"3.2.1.1. Diseñar e implementar programas de mejoramiento de infraestructura, del entorno y movilidad de personas mayores con incorporación de tecnologías apropiadas."
30318924-2021,EN PRESUPUESTO,2019,2021,30318924,0,MEJORAMIENTO ACERAS AV. OHIGGINS COMUNA SAN NICOLAS,,PROYECTO,PUNILLA,SAN NICOLÁS,EJECUCIÓN,MIDESO,MIDESO,,31,2,,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,,,SAN NICOLAS,INFRAESTRUCTURA PUBLICA,DESARROLLO URBANO,"$1,115,806",$0,"$1,115,806",,"M$1,115,806",M$0,,,RS,07-10-2019,,,,,14-01-2019,MATHIAS PEZO,15-01-2019,290,27-06-19,336,07-05-2020,,,133,25-05-2020,,," // APROBADO CORE SEGÚN CERTIFICADO 133/2020 DEL 25-05-2020 // PROGRAMADO COMISIÓN 18-05-20// E9106/2020 ENVIADO A CORE POR ORD. 336 DEL 07-05-20// NO PRIORIZADO REUNIÓN 21-01-20 // POR ORD. 1049 DEL 08-10-19 E5318/2019 ALCALDE SOLICITA PRIORIZACIÓN DE INICIATIVA A CORE, SE INFORMA POR CORREO A JEFATURAS PARA DETERMINAR PRIORIZACIÓN 10-10-19 // 08-10-19 SE ENVÍA CORREO A JEFATURAS INFORMANDO DE RS MIDESO 07-10-19 PARA QUE SE INFORME",,,,,,,,,,,07-10-2019,,NO APLICA,,,,,,,,,,"3.2.1.2. Desarrollar programas de vivienda con condiciones especiales de habitabilidad para personas mayores, a nivel urbano y rural."
30347030-2019,NO VIGENTE,2019,2019,30347030,0,"REPOSICION CAMIÓN TOLVA MANTENCION ACCESO CAMINOS RURALES, QUILLÓN",,PROYECTO,DIGUILLIN,QUILLÓN,EJECUCIÓN,C-33,,,29,3,,MUNICIP. QUILLÓN,MUNICIPIO,,,,,QUILLON,CAMIONES,CAMIONES,"$58,190",$0,"$58,190",,"M$58,190",M$0,REEMPL,,OT,29-03-2019,,,,,22-02-2019,MATHIAS PEZO,26-02-2019,,,,,,,,,,," // POR ORD. 293/49/2019 DEL 27-06-19 E3409/2019 FORMULADOR SOLICITA DESESTIMAR POSTULACIÓN DE INICIATIVA, SE DERIVA A ANALISTA 04-07-19 PARA DAR DE BAJA // 24-06-19 SE ENVÍA CORREO A FORMULADOR SOLICITANDO INFORMAR RESPECTO A ESTADO DE INICIATIVA // OT DEL 2",,,,,,,,,,,29-03-2019,RECORDAR PLAZO,1221,,,,,,,,,,"3.2.1.3. Implementar acciones de acompañamiento para personas mayores carentes de redes de apoyo, con énfasis en aquellos que se encuentran con algún nivel de situación de dependencia."
30347224-2019,NO VIGENTE,2019,2019,30347224,0,"CONSERVACION BIBLIOTECA MUNICIPAL, COMUNA DE PINTO",,PROYECTO,DIGUILLIN,PINTO,EJECUCIÓN,C-33,,,31,2,,MUNICIP. PINTO,MUNICIPIO,,,,,PINTO,"EDUCACION, CULTURA Y PATRIMONIO",ADMINISTRACIÓN EDUCACIÓN Y CULTURA,"$231,600",$0,"$231,600",,"M$131,600","M$100,000",REVISAR,,,,,,,,28-06-2019,PABLO NUÑEZ,02-07-2019,,,,,,,,,,, // E3301/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,"3.2.1.4. Fomentar programas formativos, laborales, de salud física y mental, y recreativos para el desarrollo integral y activo de las personas mayores."
30348177-2021,NO VIGENTE,2019,2021,30348177,0,"ADQUISICION MOTONIVELADORA MANT. CAMINOS, ZONAS AFECTADAS INCENDIOS",,PROYECTO,ITATA,QUIRIHUE,EJECUCIÓN,C-33,,,29,5,2,MUNICIP. QUIRIHUE,MUNICIPIO,,,,,QUIRIHUE,MAQUINARIA,ORGANIZACIÓN Y SERVICIOS COMUNALES,"$215,737",$0,"$215,737",,"M$215,737",M$0,APRO CORE,,RS,15-05-2019,,,,,08-11-2018,ELIAS JARA,26-04-2019,,,209,15-05-2019,,,134,20-06-2019,,, // APROBADO CORE POR CERTIFICADO 134 DEL 20-06-19 // ENVIADO A CORE POR ORD. 209 DEL 15-05-19 E2467/2019 // RS DEL 15-05-19 INFORMADO POR CORREO MISMO DIA // FI DEL 15-05-19 INFORMADO POR CORREO MISMO DIA //POR ORD. 460 DEL 14-05-19 E2433/2019 FORMULADOR INF,,,,,,,,,,,15-05-2019,YA ESTÁ RS,NO APLICA,,,,,,,,,,3.2.2.1. Generar programas y campañas de sensibilización para abordar las particularidades de las personas en situación de discapacidad y/o neurodivergencias
30363922-2019,NO VIGENTE,2019,2019,30363922,0,"CONSTRUCCION CICLOVIAS RURALES , COMUNAS ASOCIACION PUNILLA",,PROYECTO,PUNILLA,PUNILLA,DISEÑO,MIDESO,,,31,,,ASOCIACIÓN PUNILLA,MUNICIPIO,,,,,PUNILLA,TRANSPORTE,TRANSPORTE CAMINERO,"$185,051",$0,"$185,051",,"M$66,872","M$118,179",REVISAR,,,,,,,,06-05-2019,PABLO NUÑEZ,08-05-2019,,,,,,,,,,, // E2284/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,3.2.2.2. Desarrollar de iniciativas para el mejoramiento de la accesibilidad universal en servicios públicos y privados.
30363922-2020,NO VIGENTE,2019,2020,30363922,0,"CONSTRUCCION CICLOVIAS RURALES , COMUNAS ASOCIACION PUNILLA",,PROYECTO,PUNILLA,PUNILLA,DISEÑO,MIDESO,,,31,,,ASOCIACIÓN PUNILLA,MUNICIPIO,,,,,PUNILLA,TRANSPORTE,TRANSPORTE CAMINERO,"$185,051",$0,"$185,051",,M$0,"M$185,051",REVISAR,,,,,,,,14-11-2019,PABLO NUÑEZ,19-11-2019,,,,,,,,,,, // SE ENVIA CORREO A JEFATURAS 19-11-19 PARA PRIORIZACIÓN E INSTRUCCIONES // E5919/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,,,,,,,,,,,30-12-1899,,NO APLICA,,,,,,,,,,3.2.2.3. Impulsar adaptación y construcción de Espacios Públicos adecuados a la diversidad de personas con discapacidad y neurodivergencia.
30380682-2019,NO VIGENTE,2019,2019,30380682,0,ADQUISICION CAMION ALZA HOMBRE PARA LA MUNICIPALIDAD DE TREHUACO,,PROYECTO,ITATA,TREHUACO,EJECUCIÓN,C-33,,,29,3,,MUNICIP. TREHUACO,MUNICIPIO,,,,,TREHUACO,CAMIONES,CAMIONES,"$60,047",$0,"$60,047",,"M$60,047",M$0,REVISAR,,,,,,,,06-02-2019,PABLO NUÑEZ,07-02-2019,,,,,,,,,,, // E731/2019 DERIVADO ANALISTA PARA REVISIÓN,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,3.2.2.4. Apoyar la integración laboral de las personas con discapacidad y neurodivergencia.
30385675-2019,NO VIGENTE,2019,2019,30385675,0,CONSTRUCCION CAMARINES SECTOR LLAHUEN Y MULTICANCHA PORTEZUELO,,PROYECTO,ITATA,PORTEZUELO,EJECUCIÓN,FRIL,,,33,3,125,MUNICIP. PORTEZUELO,MUNICIPIO,,,,,PORTEZUELO,DEPORTES,DEPORTE RECREATIVO,"$58,972",$0,"$58,972",,"M$58,972",M$0,RATIF CORE,,RS,,,,,,,PABLO NUÑEZ,,,,6,07-01-2019,,,26,21-01-2019,,, // POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,,,,,,,,,,,30-12-1899,,NO APLICA,,,,,,,,,,4.1.1.1. Potenciar la gestión cultural regional a través de la vinculación entre actores públicos y privados.
30386273-2019,NO VIGENTE,2019,2019,30386273,0,CONSTRUCCION SERVICIO ALIMENTACION Y SEDILE HOSPITAL EL CARMEN,,PROYECTO,DIGUILLIN,EL CARMEN,DISEÑO,MIDESO,,,31,,,S.SALUD ÑUBLE,SECTORIAL / OTRO,,,,,EL CARMEN,SALUD,BAJA COMPLEJIDAD,"$21,327",$0,"$21,327",,"M$21,327",M$0,REV MDS,,OT,04-02-2019,,,,,28-12-2018,JAVIER BRITO / MIDESO,08-01-2019,44,18-01-19,,,,,,,,," // ADMISIBLE MIDESO 23-01-19 / ENVIADO A MIDESO POR ORD. 44 DEL 18-01-19, SUBIDO A BIP 21-01-19 / EN REVISIÓN ANALISTA",,,,,,,,,,,04-02-2019,RECORDAR PLAZO,1274,,,,,,,,,,"4.1.1.2. Elaborar programa de apoyo para el mejoramiento y creación de nuevos espacios culturales sociales, virtuales e infraestructura con pertinencia territorial."
30386411-2021,NO VIGENTE,2019,2021,30386411,0,REPOSICION LICEO A-17 COMUNA DE YUNGAY,REVISIÓN,PROYECTO,DIGUILLIN,YUNGAY,DISEÑO,MIDESO,,,31,,,MUNICIP. YUNGAY,MUNICIPIO,,,,,YUNGAY,"EDUCACION, CULTURA Y PATRIMONIO",EDUCACIÓN BÁSICA Y MEDIA,"$110,976",$0,"$110,976",,"M$110,976",M$0,APRO CORE,,FI,21-08-2019,,,,,05-04-2019,ELIAS JARA,08-04-2019,174,29-04-19,281,21-04-2020,,,123,07-05-2020,,," // ADMISIBLE MIDESO 08-05-19 // ENVIADO A MIDESO POR ORD. 174 DEL 29-04-19 E2136/2019, CARGADO EN BIP MISMO DIA // PRIORIZANDO PARA ENVÍO A REVISIÓN MIDESO 24-04-19 // E1810/2019 ASIGNADO ANALISTA PARA REVISIÓN",,,,,,,,,,,21-08-2019,RECORDAR PLAZO,1076,,,,,,,,,,4.1.1.3. Desarrollar iniciativas de fortalecimiento a la programación cultural y formación de audiencias.
30386411-2021,EN PRESUPUESTO,2019,2021,30386411,0,REPOSICION LICEO A-17 COMUNA DE YUNGAY,REVISIÓN,PROYECTO,DIGUILLIN,YUNGAY,DISEÑO,MIDESO,MIDESO,,31,,,MUNICIP. YUNGAY,MUNICIPIO,,,,,YUNGAY,"EDUCACION, CULTURA Y PATRIMONIO",EDUCACIÓN BÁSICA Y MEDIA,"$194,370",$0,"$194,370",,"M$170,512","M$23,858",APRO CORE,,RS,21-04-2020,,,,,05-04-2019,PABLO NUÑEZ,02-01-2020,15,13-01-20,281,21-04-2020,,,123,07-05-2020,,," // APROBADO CORE POR CERTIFICADO 123 DEL 07-05-20// APROBADO EN SESION 06-05-20// APROBADO COMISIÓN 05-05-20// E8866/2020 ENVIADO A CORE POR ORD. 281 DEL 21-04-20// FI MIDESO 26-03-20//FI MIDESO 11-03-20 // FI DEL 24-01-2020 MIDESO ÑUBLE//REPOSTULADO A MIDESO PROCESO 2020 POR ORD. 15 DEL 13-01-2020 E7138/2020//ADMISIBLE MIDESO 08-05-19 // ENVIADO A MIDESO POR ORD. 174 DEL 29-04-19 E2136/2019, CARGADO EN BIP MISMO DIA // PRIORIZANDO PARA ENVÍO A REVISIÓN MIDESO 24-04-19 // E1810/2019 ASIGNADO ANALISTA PARA REVISIÓN",,,,,,,,,,,21-04-2020,,NO APLICA,,,,,,,,,,"4.1.1.4. Elaborar un programa de desarrollo equitativo de actividades culturales y artísticas, con énfasis en la cobertura territorial y diversificación de temáticas"
30386411-2022,VIGENTE,2022,2022,30386411,0,REPOSICION LICEO A-17 COMUNA DE YUNGAY,REEVALUACIÓN,PROYECTO,DIGUILLÍN,YUNGAY,EJECUCIÓN,MIDESO,MIDESO,INFRAESTRUCTURA PÚBLICA,31,2,,MUNICIP. YUNGAY,MUNICIPIO,MUNICIP. YUNGAY,COMUNAL,,,YUNGAY,EDUCACIÓN CULTURA Y PATRIMONIO,EDUCACIÓN BÁSICA Y MEDIA,"M$8,805,039",M$0,"M$8,805,039","M$8,805,039","M$2,972,097","M$5,832,942",APROBADO TÉCNICAMENTE,26-05-2022,RS,26-05-2022,,,912,22-11-2021,09-12-2021,Sin Analista,,1133,12/9/2021,691,09-06-2022,,,,,,,MIDESO OF N°1133,3. DESARROLLO SOCIAL,3.1 MEJORAR LAS CONDICIONES REGIONALES PARA UN MAYOR BIENESTAR DE SUS HABITANTES,3.1.3 APOYAR EL DESARROLLO DE HABILIDADES PERSONALES EN LOS HABITANTES DE LA REGIÓN,3.1.3.1 Mejorar la educación pública inicial parvulario básica y media mediante la implementación de procesos de aprendizaje que fortalezcan las habilidades para la vida.,,,,373,377,750,26-05-2022,,,,,,,,,,,,"4.1.1.5. Desarrollar la Política Regional de Cultura que ponga en valor las identidades de la región, especialmente lo rural y campesino, y otras como la de los pueblos originarios."
30387725-2019,NO VIGENTE,2019,2019,30387725,0,NORMALIZACIÓN ESCUELA DAFNE ZAPATA ROZAS,,PROYECTO,DIGUILLIN,PEMUCO,EJECUCIÓN,MIDESO,,,31,,,MUNICIP. PEMUCO,MUNICIPIO,,,,,PEMUCO,"EDUCACION, CULTURA Y PATRIMONIO",INFRAESTRUCTURA EDUCACIONAL,"$8,376,547",$0,"$8,376,547",,"M$2,813,026","M$5,563,521",NO RECOMEN,,INADMISIBLE,09-10-2018,,,,,,JAVIER BRITO / MIDESO,01-10-2018,,,,,,,,,,," // NO ADJUNTA ARCHIVOS AL BIP, DEFINIR NORMALIZACION O REPOSICIÓN, ANALIZAR FUENTE DE FINANCIAMIENTO",,,,,,,,,,,09-10-2018,RECORDAR PLAZO,1392,,,,,,,,,,"4.1.1.6. Crear el complejo Archivo-Museo-Depósito y Biblioteca Regional que resguarde y haga pública información básica del patrimonio cultural y natural, y de las economías creativas."
30391922-2019,NO VIGENTE,2019,2019,30391922,0,"REPOSICION PISTA BMX QUILAMAPU, CHILLÁN.",,PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,MIDESO,,,31,2,,MUNICIP. CHILLÁN,MUNICIPIO,,,,,CHILLAN,DEPORTES,DEPORTE FORMATIVO,"$1,101,618","$641,482","$460,136",,"M$104,288","M$355,848",APRO CORE,,RS,26-10-2018,,,,,14-03-2019,JAVIER BRITO / MIDESO,03-04-2019,,,141,05-04-2019,,,101,13-05-2019,,, // SE RATIFICA APROBACIÓN CORE POR CORRECCIÓN EN MONTO SEGÚN CERTIFICADO 101 DEL 13-05-19 E2486/2019// APROBADO CORE SEGÚN CERTIFICADO 87 DEL 24-04-19 E2123/2019 // ENVIADO A CORE POR ORD. 141 DE FECHA 05-04-19 E1829/2019 // E1316/2019 ASIGNADO ANALISTA PARA,,,,,,,,,,,26-10-2018,,NO APLICA,,,,,,,,,,"4.1.2.1. Potenciar la vinculación entre los diferentes actores regionales, nacionales e internacionales pertenecientes a los ciclos culturales."
