tabla,campo,rol,tipo_inferido,descripcion,grupo
Fact_Linea,PROF. PRESUP RESPONSABLE,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,PROF. RESPONSABLE,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,RES. CREA ASIGNACIÓN,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,RUT,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,SEP,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,SEP PROYECTADO,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,SEP PROYECTADO 23,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,SEP PROYECTADO 24,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,SEP PROYECTADO 25,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,SEP REAL,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,SEP REAL 23,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,SEP REAL 24,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,SEP REAL 25,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,SEPT,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,TIPOLOGIA,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,UNIDAD TÉCNICA,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,Unnamed: 0,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,dife,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,suma ene a dic,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Fact_Linea,COMUNA,Atributo,texto/categórico,Atributo territorial (normalizar nombres si se requiere para análisis geográfico).,Geografía
Fact_Linea,PROVINCIA,Atributo,texto/categórico,Atributo territorial (normalizar nombres si se requiere para análisis geográfico).,Geografía
Fact_Linea,CERT CORE O RS,Atributo,entero,"Campo de gestión/seguimiento del ciclo de la iniciativa (estado, rate, hitos, documentos).",Gestión / Workflow
Fact_Linea,ESTADO,Atributo,entero,"Campo de gestión/seguimiento del ciclo de la iniciativa (estado, rate, hitos, documentos).",Gestión / Workflow
Fact_Linea,N° RES. APRUEBA CONVENIO,Atributo,entero,"Campo de gestión/seguimiento del ciclo de la iniciativa (estado, rate, hitos, documentos).",Gestión / Workflow
Fact_Linea,cod_unico,FK,texto/categórico,Identificador de la iniciativa/proyecto (normalizado: trim/uppercase; '-' y '-YYYY' tratados como nulos).,Identificación
Fact_Linea,AÑO PRESUPUESTARIO,Clave de grano,fecha,Año presupuestario asociado a la asignación/registro.,Tiempo
Fact_Linea,FECHA CERTIFICADO,Atributo,texto/categórico,Campo temporal (fecha o período).,Tiempo
Fact_Linea,FECHA FIRMA DE CONVENIO,Atributo,texto/categórico,Campo temporal (fecha o período).,Tiempo
Fact_Linea,FECHA RES- APRUEBA CONVENIO,Atributo,texto/categórico,Campo temporal (fecha o período).,Tiempo
