raw_role	canonical_role_keys	match_method	omega_layers	notes
Migrador de Datos		unmatched		unresolved=Migrador de Datos
Administrador de Sistemas	admin_sistema	alias	GOBIERNO_REGIONAL	
Monitor de Sistemas (SRE)		unmatched		unresolved=Monitor de Sistemas (SRE)
Miembro del Comité de Ética Digital		unmatched		unresolved=Miembro del Comité de Ética Digital
Nuevo Desarrollador (Node/Python)	nuevo_desarrollador	exact	GOBIERNO_REGIONAL	
Analista de Seguridad (SOC/NOC)		unmatched		unresolved=Analista de Seguridad (SOC/NOC)
Abogado de Litigios		unmatched		unresolved=Abogado de Litigios
Abogado Informante / Fiscal Sumariante	abogado_informante,fiscal_sumariante	exact	GOBIERNO_REGIONAL	
Analista de Control Preventivo		unmatched		unresolved=Analista de Control Preventivo
Ministro de Fe (Secretario Ejecutivo / Jefe Jurídica)	ministro_fe	exact	GOBIERNO_REGIONAL	
Funcionario de Unidad Técnica Municipal		unmatched		unresolved=Funcionario de Unidad Técnica Municipal
Analista de Toma de Razón (CGR)	analista_toma_razon	fuzzy	GOBIERNO_REGIONAL	score=1.00
Encargado de Transparencia		unmatched		unresolved=Encargado de Transparencia
Profesional DAF (Control Interno)	profesional_daf	exact	GOBIERNO_REGIONAL	
Auditor de Control Interno		unmatched		unresolved=Auditor de Control Interno
Jefe de Gestión de Personas / Auditor	jefe_rrhh	fuzzy	GOBIERNO_REGIONAL	score=0.75
Administrador de Plataforma TDE	admin_plataforma	alias	GOBIERNO_REGIONAL	
Auditor de Cumplimiento TDE		unmatched		unresolved=Auditor de Cumplimiento TDE
Analista del Observatorio Regional	analista_observatorio	fuzzy	GOBIERNO_REGIONAL	score=1.00
Encargado OIRS	encargado_oirs	exact	GOBIERNO_REGIONAL	
Representante de ONG / Organización Social		unmatched		unresolved=Representante de ONG; Organización Social
Director Ejecutivo de ONG		unmatched		unresolved=Director Ejecutivo de ONG
Operador de Sistema (CIES / Control)	operador_sistema	exact	GOBIERNO_REGIONAL	
Operador de Sistema / SysAdmin	operador_sistema	partial	GOBIERNO_REGIONAL	unresolved=SysAdmin
Administrador de Plataforma TIC	admin_plataforma	alias	GOBIERNO_REGIONAL	
Administrador de TI	admin_ti	fuzzy	GOBIERNO_REGIONAL	score=1.00
Administrador de Seguridad TI		unmatched		unresolved=Administrador de Seguridad TI
Administrador de Base de Datos (DBA)		unmatched		unresolved=Administrador de Base de Datos (DBA)
Oficial de Ciberseguridad	responsable_seguridad	alias	UNKNOWN	
Administrador de Datos (Geonodo)	admin_geonodo	alias	EXTERNO_OTROS	
Ingeniero de Plataforma (DevOps)	desarrollador_devops	alias	GOBIERNO_REGIONAL	
Usuario de la Plataforma (Funcionario/Externo)		unmatched		unresolved=Usuario de la Plataforma (Funcionario/Externo)
Supervisor de Operaciones (CIES)		unmatched		unresolved=Supervisor de Operaciones (CIES)
Ingeniero de Conectividad / SRE		unmatched		unresolved=Ingeniero de Conectividad; SRE
CISO	ciso	exact	GOBIERNO_REGIONAL	
Agente KODA (Infraestructura)	agente_koda	exact	GOBIERNO_REGIONAL	
Usuario del Sistema (Funcionario/Ciudadano)		unmatched		unresolved=Usuario del Sistema (Funcionario/Ciudadano)
Analista de Mesa de Ayuda		unmatched		unresolved=Analista de Mesa de Ayuda
Usuario de la Plataforma		unmatched		unresolved=Usuario de la Plataforma
Encargado de Participación Ciudadana		unmatched		unresolved=Encargado de Participación Ciudadana
Analista Patrocinante (DIFOI)	analista_patrocinante_difoi	exact	GOBIERNO_REGIONAL	
Presidente de Subcomité de Evaluación		unmatched		unresolved=Presidente de Subcomité de Evaluación
PDI (Policía de Investigaciones)	pdi	exact	EXTERNO_OTROS	
Analista Pesca	analista_pesca	exact	GOBIERNO_REGIONAL	
Presidente Subcomité Gestión Ambiental		unmatched		unresolved=Presidente Subcomité Gestión Ambiental
Planificador Urbano	planificador_urbano	exact	GOBIERNO_REGIONAL	
Coordinador Transformación Digital / PMG	coord_transformacion	partial	GOBIERNO_REGIONAL	unresolved=PMG
Presidente Subcomité de Pertinencia		unmatched		unresolved=Presidente Subcomité de Pertinencia
Presidente del Consejo Regional (CORE)		unmatched		unresolved=Presidente del Consejo Regional (CORE)
Prevencionista de Riesgos	prevencionista_riesgos	fuzzy	EXTERNO_OTROS	score=1.00
Profesional / Analista de División		unmatched		unresolved=Profesional; Analista de División
Profesional Jefe de Proyecto / Analista de Rezago		unmatched		unresolved=Profesional Jefe de Proyecto; Analista de Rezago
QA Engineer / Tester	qa_engineer	partial	GOBIERNO_REGIONAL	unresolved=Tester
Encargado de Remuneraciones	encargado_remuneraciones	fuzzy	GOBIERNO_REGIONAL	score=1.00
Encargado de Rendiciones (DAF)	encargado_rendiciones	fuzzy	GOBIERNO_REGIONAL	score=1.00
Analista de Planificación / Rezago	analista_planificacion	partial	GOBIERNO_REGIONAL	unresolved=Rezago
Referente de Concentración del Gasto	referente_gasto	fuzzy	GOBIERNO_REGIONAL	score=1.00
Referente de Transparencia / Enlace PMG		unmatched		unresolved=Referente de Transparencia; Enlace PMG
Referente de Riesgos Psicosociales	referente_riesgos_psicosociales	fuzzy	GOBIERNO_REGIONAL	score=1.00
Jefe de Recursos Humanos		unmatched		unresolved=Jefe de Recursos Humanos
Coordinador de Transformación Digital (CTD)		ambiguous		candidates=ctd_daf('Coordinador Transformación Digital (CTD)'), coord_transformacion('Coordinador Transformación Digital'); score=1.00
Unidad Técnica Municipal (DOM/SECPLAN)	unidad_tecnica	exact	TERRITORIO	
Director Regional SAG	director_sag	exact	SERVICIOS	
Secretario Ejecutivo del Comité CTCI		unmatched		unresolved=Secretario Ejecutivo del Comité CTCI
Secretario Ejecutivo del Comité CTD	secretario_ctd	fuzzy	GOBIERNO_REGIONAL	score=1.00
Secretario de Comisión (CORE)		unmatched		unresolved=Secretario de Comisión (CORE)
Secretario Ejecutivo del CORE	secretario_ejecutivo_core	fuzzy	GOBIERNO_REGIONAL	score=1.00
Secretaria de División	secretaria_division	fuzzy	GOBIERNO_REGIONAL	score=1.00
Formulador Municipal (SECPLAN)		unmatched		unresolved=Formulador Municipal (SECPLAN)
Operador de Sistema CIES		unmatched		unresolved=Operador de Sistema CIES
Enlace CIES de Terreno		unmatched		unresolved=Enlace CIES de Terreno
Custodio de Evidencia (CIES)	custodio_evidencia	fuzzy	GOBIERNO_REGIONAL	score=1.00
Representante de Mesa de Seguridad (Stakeholder)		unmatched		unresolved=Representante de Mesa de Seguridad (Stakeholder)
Ciudadano / Usuario de la Región	ciudadano	partial	EXTERNO_OTROS	unresolved=Usuario de la Región
Encargado de Prevención (GORE)	encargado_prevencion	fuzzy	GOBIERNO_REGIONAL	score=1.00
Analista de Prevención (GORE)	analista_prevencion	fuzzy	GOBIERNO_REGIONAL	score=1.00
Profesional de Prevención (GORE)		unmatched		unresolved=Profesional de Prevención (GORE)
Coordinador de la Unidad de Control Regional (UCR)		unmatched		unresolved=Coordinador de la Unidad de Control Regional (UCR)
Analista de Prevención	analista_prevencion	fuzzy	GOBIERNO_REGIONAL	score=1.00
Parlamentario de la Región (Senador/Diputado)		unmatched		unresolved=Parlamentario de la Región (Senador/Diputado)
Director Regional de SENAPRED (ex-ONEMI)	senapred	fuzzy	SERVICIOS	score=0.75
SEREMI de Agricultura	seremi_agricultura	exact	SEREMIAS	
SEREMI de Gobierno		unmatched		unresolved=SEREMI de Gobierno
SEREMI de Obras Públicas	seremi_mop	exact	SEREMIAS	
Director Regional de SERNATUR	director_sernatur	fuzzy	SERVICIOS	score=1.00
SEREMI (Sectorial)	seremi_sectorial	fuzzy	SEREMIAS	score=1.00
Encargado de Servicios Generales		unmatched		unresolved=Encargado de Servicios Generales
Director Regional de SERVIU	director_serviu	fuzzy	SERVICIOS	score=1.00
Analista Social	analista_social	exact	GOBIERNO_REGIONAL	
Funcionario / Socio Bienestar	funcionario	partial	GOBIERNO_REGIONAL	unresolved=Socio Bienestar
Dirigente de Gremio Agrícola / Dirigente Social	dirigente_social	partial	EXTERNO_OTROS	unresolved=Dirigente de Gremio Agrícola
Supervisor de Soporte Técnico CIES		unmatched		unresolved=Supervisor de Soporte Técnico CIES
Secretario Ejecutivo del Comité de Pertinencia	secretario_comite_pertinencia	fuzzy	GOBIERNO_REGIONAL	score=1.00
Ingeniero SRE (Site Reliability Engineering)	ingeniero_sre	exact	GOBIERNO_REGIONAL	
Analista de Subvenciones / Finanzas		unmatched		unresolved=Analista de Subvenciones; Finanzas
Sujeto Pasivo (Autoridad del GORE)	sujeto_pasivo	exact	GOBIERNO_REGIONAL	
Analista de Inversiones / Jefe de División		unmatched		unresolved=Analista de Inversiones; Jefe de División
Supervisor de Transparencia		unmatched		unresolved=Supervisor de Transparencia
Ministro de Fe / Juez de Cuentas	ministro_fe,juez_cuentas	exact	GOBIERNO_REGIONAL,EXTERNO_OTROS	
Trabajador de Corporación Regional	trabajador_corporacion	fuzzy	GOBIERNO_REGIONAL	score=1.00
Administrador de Plataforma (Geonodo / GORE_OS)	admin_plataforma	fuzzy	GOBIERNO_REGIONAL	score=1.00
Administrador de Plataforma	admin_plataforma	fuzzy	GOBIERNO_REGIONAL	score=1.00
Administrador de Seguridad		unmatched		unresolved=Administrador de Seguridad
Operador PISEE	operador_pisee	exact	GOBIERNO_REGIONAL	
Delegado de Protección de Datos (DPO)		unmatched		unresolved=Delegado de Protección de Datos (DPO)
Jefe de Informática / CTO		unmatched		unresolved=Jefe de Informática; CTO
Encargado Digital Municipal	encargado_digital_muni	alias	TERRITORIO	
Desarrollador GORE	desarrollador	fuzzy	GOBIERNO_REGIONAL	score=1.00
Agente KODA (Asistente Inteligente)	agente_koda	exact	GOBIERNO_REGIONAL	
Funcionario (Tester de Negocio)	funcionario	exact	GOBIERNO_REGIONAL	
Director de Seguridad de la Información (CISO)	ciso	alias	GOBIERNO_REGIONAL	
Jefe de Unidad Jurídica	jefe_juridica	fuzzy	GOBIERNO_REGIONAL	score=1.00
Analista de Planificación Territorial		unmatched		unresolved=Analista de Planificación Territorial
Director de Obras Municipales (DOM)	director_obras	fuzzy	TERRITORIO	score=0.75
Referente de Equidad de Género / Gestor Territorial	referente_genero	partial	GOBIERNO_REGIONAL	unresolved=Gestor Territorial
Analista Planificación	analista_planificacion	exact	GOBIERNO_REGIONAL	
Analista de Planificación	analista_planificacion	fuzzy	GOBIERNO_REGIONAL	score=1.00
Analista de Tesorería	analista_tesoreria	fuzzy	GOBIERNO_REGIONAL	score=1.00
Administrador de Plataforma (Informática)	admin_plataforma	fuzzy	GOBIERNO_REGIONAL	score=1.00
Arquitecto de Software / Team Lead	arquitecto_sistemas	partial	GOBIERNO_REGIONAL	unresolved=Team Lead
Analista de la Unidad de Control de Rendiciones (UCR)	unidad_control_rendiciones	fuzzy	GOBIERNO_REGIONAL	score=0.75
Formulador de Programas Glosa 7 (Subvenciones)	formulador_glosa7	fuzzy	GOBIERNO_REGIONAL	score=1.00
Encargado de la UOCT Regional (Unidad Operativa de Control de Tránsito)		unmatched		unresolved=Encargado de la UOCT Regional (Unidad Operativa de Control de Tránsito)
Referente de Equidad de Género (Funcionario)	referente_genero	fuzzy	GOBIERNO_REGIONAL	score=1.00
Encargado de Relaciones Institucionales / Calidad		unmatched		unresolved=Encargado de Relaciones Institucionales; Calidad
