ENROCADO,,,,,,,,,,,,,,,,,,,,,,
C,VIA RECEPCIÓN,NÚMERO DOCUMENTO,TIPO DE DOCUMENTO,FECHA DOCUMENTO,FECHA RECEPCIÓN,FECHA DE ENTREGA,REMITENTE,DESTINATARIO,MATERIA,VIA DISTRIBUCIÓN,ADJUNTO,DERIVADO A: (DIVISIÓN),RECEPCIONADO POR,FECHA,FIRMA,Responsable,Medio derivación,FECHA,Respuesta si/no,Instrucción,Plazo,Observación
4388,EMAIL ,SN,CORREO ELECTRONICO,01-10-24,01-10-24,01-10-24,SEREMI DE VIVIENDA Y URBANISMO ,GOBIERNO REGIONAL DE ÑUBLE,"INVITACION A PARTICIPAR DEL HITO DE PRIMERA PIEDRA DEL COMITÉ CUMBRES DE BAQUEDANO, PERTENECIENTE AL PROGRAMA FONDO SOLIDARIO DE ELECCIÓN DE VIVIENDA DS49.",EMAIL,,GABINETE ,,,,,,,,,,
4387,PAPEL,437,OFICIO,30-09-24,01-10-24,01-10-24,MARIA SOLEDAD RUIZ PINTO ALCALDE (S) I. MUNICIPALIDAD DE NINHUE ,ALICIA CONTRERAS VIELMA GOBERNADORA REGIONAL (S),"REMITE ANTECEDENTES ESTADO DE PAGO DEL PROYECTO ""CONSTRUCCION CANCHA PASTO SINTETICO SECTOR EN EL RINCON, COMUNA DE NINHUE BIP 40052652",EMAIL,,DIPIR ,CRISTIAN JAQUE ,,,,,,,,,
4386,PAPEL,SN,OFICIO,17-09-24,01-10-24,01-10-24,GONZALO SANDOVAL GALLARDO ,GOBERNADOR REGIONAL DE ÑUBLE,PERMISO SIN GOCE DE SUELDO ENTRE EL 17 DE SEPTIEMBRE Y EL 27 DE OCTUBRE ,PAPEL,,DAF,ALEJANDRA ARIAS ,,,,,,,,,
4385,PAPEL,SN,CARTA ,26-09-24,26-09-24,01-10-24,ORGANIZACION SOCIAL CULTURAL DEPORTIVA STREE WORKOUT CHILLAN ,CONSEJO REGIONAL DE ÑUBLE,INVITACION A ACTIVIDAD A REALIZARSE EL 28 DE SEPTIEMBRE ENTRE LAS 09:00 A 14:00 HRS Y EL 5 DE OCTUBRE DEL 2024 ENTRE LAS 09:00 Y 23:00 HRS EN LA PLAZA DE ARMAS DE CHILLAN  ,PAPEL,,GABINETE ,CAROLINA CEPEDA ,,,,,,,,,
4384,EMAIL ,2,OFICIO,30-09-24,30-09-24,01-10-24,AQUILES BLUE RODRIGUEZ REPRESENTANTE PROPIETARIOS FUNDO BULLILEO ,OSCAR CRISOSTOMO LLANOS ,"VALORIZACION LOTE 2B, FUNDO BULLILEO- ",PAPEL,,DIPLADE,PABLO SAN MARTIN ,,,,,,,,,
4383,EMAIL ,E545210,OFICIO,27-09-24,01-10-24,01-10-24,CONTRALORIA GENERAL DE LA REPUBLICA ,GOBERNADOR REGIONAL DE ÑUBLE,IMPARTE INSTRUCCIONES EN RELACIÓN CON EL USO DE LOS MEDIOS DIGITALES DE COMUNICACIÓN Y REDES SOCIALES DE CARÁCTER INSTITUCIONAL.,EMAIL,,GABINETE ,,,,,,,,,,
4382,EMAIL ,2601,OFICIO,30-10-24,01-10-24,01-10-24,"YERSON OLIVARES BONILLA
DIRECTOR/A PROEMPLEO
PROEMPLEO",GOBERNADOR REGIONAL DE ÑUBLE,"ENVÍA INFORMES MENSUALES DE SEGUIMIENTO CONVENIO DE TRANSFERENCIA, CÓDIGO BIP N°40059287-0.",EMAIL,,DIFOI,,,,,,,,,,
4381,EMAIL ,20,RESOLUCION EXENTA,28-09-24,30-09-24,01-10-24,GILDA GRANDON ALVIAL DIRECTORA REGIONAL ,GOBIERNO REGIONAL DE ÑUBLE,"DECLARA ALERTA EN LA FORMA Y ZONAS
QUE INDICA.",EMAIL,,GABINETE ,,,,,,,,,,
4380,EMAIL ,4,OFICIO,01-10-24,01-10-24,01-10-24,CLUB DEPORTIVO INSAMACH ,OSCAR DIAZ ,SUBSANA OBSERVACION ,EMAIL,,ANALISIS Y EVALUACION ,OSCAR DIAZ ,,,,,,,,,
4379,PAPEL,42,OFICIO,30-10-24,01-10-24,01-10-24,JUAN RIFFO COFRÉ DIRECTOR REGIONAL CORFO ,ALICIA CONTRERAS VIELMA GOBERNADORA REGIONAL (S),"ENTREGA DECIMO SEGUNDA RENDICION TECNICO FINANCIERA MENSUAL, EN EL MARCO DEL PROGRAMA FNDR ""FORTALECIMIENTO Y ATRACCION DE INVERSIONES PRODUCTIVAS DE BASE TECNOLOGICA - IFI MODALIDAD INVERSION TECNOLOGICA ",EMAIL,,UCR ,MARCO BUSTAMANTE ,,,,,,,,,
4378,PAPEL,35,OFICIO,01-10-24,01-10-24,01-10-24,GLORIA CARCAMO VARGAS PRESIDENTE DIRECTORIO FUNDACION MI TEA ,GOBERNADOR REGIONAL DE ÑUBLE,"RECEPCION DE RECURSOS CON FECHA 1 DE OCTUBRE POR $45.000.000 CORRESPONDIENTE AL PROYECTO ""JUNTOS AVANZAMOS EN LA INCLUSION"" COD CVC-AD-7",PAPEL,,UCR ,MARCO BUSTAMANTE ,,,,,,,,,
4377,EMAIL ,SN,INVITACION ,01-10-24,01-10-24,01-10-24,"MARÍA INÉS BURCHARD ZAPATA DIRECTORA
 LICEO INDUSTRIAL ""INSTITUTO INDUSTRIAL SUPERIOR"" DE CHILLÁN",GOBERNADOR REGIONAL DE ÑUBLE,INVITACIÓN PARA LA CEREMONIA DE CELEBRACIÓN DE NUESTRO 84° ANIVERSARIO.,PAPEL,,GABINETE ,CAROLINA CEPEDA ,,,,,,,,,
4376,PAPEL,SN,CARTA ,01-10-24,01-10-24,01-10-24,JEANNETTE SANHUEZA M. DIRECTORA ESCUELA 27 DE ABRIL ,GOBERNADOR REGIONAL DE ÑUBLE,SOLICITA AYUDA PARA MOVILIZACION ,EMAIL,,GABINETE ,CAROLINA CEPEDA ,,,,,,,,,
4375,PAPEL,SN,CONVENIO,01-10-24,01-10-24,01-10-24,CAMILO BENAVENTE ALCALDE I. MUNICIPALIDAD DE CHILLAN ,GOBIERNO REGIONAL DE ÑUBLE,"CONVENIO DE TRANSFERENCIA DE RECURSOS FNDR PARA EJECUCION DE PROYECTO ""CONSERVACION CAMINO A LOS MONTES, CHILLAN""",PAPEL,,DIPIR,PAMELA SOLIS ,,,,,,,,,
4374,PAPEL,SN,CONVENIO,01-10-24,01-10-24,01-10-24,CAMILO BENAVENTE ALCALDE I. MUNICIPALIDAD DE CHILLAN ,GOBIERNO REGIONAL DE ÑUBLE,"CONVENIO DE TRANSFERENCIA DE RECURSOS FNDR PARA EJECUCION DE PROYECTO ""MEJORAMIENTO CANCHAS BRISAS DEL BICENTENARIO Y LOS VOLCANES 6 Y 7, CHILLAN""",PAPEL,,DIPIR,PAMELA SOLIS ,,,,,,,,,
4373,PAPEL,SN,CONVENIO,01-10-24,01-10-24,01-10-24,CAMILO BENAVENTE ALCALDE I. MUNICIPALIDAD DE CHILLAN ,GOBIERNO REGIONAL DE ÑUBLE,"CONVENIO DE TRANSFERENCIA DE RECURSOS FNDR PARA EJECUCION DE PROYECTO ""MEJORAMIENTO ENTORNO ESPACIO PUBLICO VERTIENTE SANTA ELVIRA CHILLAN""",PAPEL,,DIPIR,PAMELA SOLIS ,,,,,,,,,
4372,PAPEL,SN,INVITACION ,24-09-24,01-10-24,01-10-24,FEDERACION NACIONAL DE ASISTENTES DE LA EDUCACION PUBLICA DE CHILE ,GOBERNADOR REGIONAL DE ÑUBLE,INVITA A PARTICIPAR A ACTIVIDAD EL PROXIMO 11 DE OCTUBRE A LAS 10:30 HRS EN LA GRAN SALA DEL TEATRO MUNICIPAL DE CHILLAN Y A UN ALMMUERZO DE CAMADERIA QUE SE OFRECERÁ A LAS 13:00 HRS EN EL GRAN HOTEL,PAPEL,,GABINETE ,CAROLINA CEPEDA ,,,,,,,,,
4371,PAPEL,CVC-AD-1,OFICIO,30-09-24,30-09-24,01-10-24,ORQUESTA DE CAMARA SAN CARLOS ,GOBERNADOR REGIONAL DE ÑUBLE,ENVIA RENDICION DE CUENTAS MES DE JULIO CORRESPONDIENTE A GIRA SINFONICA DE ÑUBLE - BRASIL 2024 CODIGO CVC-AD-1,PAPEL,,UCR ,MARCO BUSTAMANTE ,,,,,,,,,
4370,PAPEL,409,OFICIO,01-10-24,01-10-24,01-10-24,KARINA LUENGO VERGARA GERENTE SEDE BIO BIO - ÑUBLE ,GOBERNADOR REGIONAL DE ÑUBLE,ENVIO INFORME TECNICO Y FINANCIERO MES DE AGOSTO 2024 BIP 30463778 (OFICIO CONDUCTOR) DOCUMENTOS AL INTERIOR CON CODIGO BIP 40025878 ,PAPEL,,UCR ,MARCO BUSTAMANTE ,,,,,,,,,
4369,PAPEL,762,OFICIO,30-09-24,30-09-24,01-10-24,OSVALDO ALCAYALA BENAVENTE DIRECTOR REGIONAL SAG ,ALICIA CONTRERAS VIELMA GOBERNADORA REGIONAL (S),"PROYECTO BRUCELOSIS ""PLAN DE ERRADICACION DE CRUCELOSIS BOVINA DE LA REGION DE ÑUBLE"" COD BIP 40066814",PAPEL,,DIFOI ,CARMEN NAVARRETE ,,,,,,,,,
4368,PAPEL,SN,OFICIO,27-09-24,01-10-24,01-10-24,ROBINSON SAEZ LAZO ENCARGADO PROYECTO UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION ,GOBERNADOR REGIONAL DE ÑUBLE,"INFORME TECNICO Y RENDICION FINANCIERA PROGRAMA ""DESARROLLO DE MANEJO OVINO PARA ÑUBLE"" RENDICION MES DE AGOSTO 2024",PAPEL,,UCR,MARCO BUSTAMANTE ,,,,,,,,,
4367,PAPEL,761,OFICIO,30-09-24,30-09-24,01-10-24,OSVALDO ALCAYALA BENAVENTE DIRECTOR REGIONAL SAG ,ALICIA CONTRERAS VIELMA GOBERNADORA REGIONAL (S),"PROYECTO SPR  ""TRANSFERENCIA PARA LA IMPLEMENTACION DE UN SISTEMA DE INFORMACION TERRITORIAL PARA LA GESTION DE LAS SUBDIVISIONES DE PREDIOS RUSTICOS EN LA REGION DE ÑUBLE"" COD BIP 40067485",PAPEL,,DIFOI ,CARMEN NAVARRETE ,,,,,,,,,
4366,PAPEL,244790,OFICIO,30-09-24,01-10-24,01-10-24,MARIO RIVAS PEÑA SEREMI MEDIO AMBIENTE REGION DE ÑUBLE ,GOBERNADOR REGIONAL DE ÑUBLE,"RENDICION MES DE AGOSTO ""TRANSFERENCIA RECAMBIO DE CALEFACTORES CHILLA Y CHILLAN VIEJO"" BIP 40020934",PAPEL,,UCR ,MARCO BUSTAMANTE ,,,,,,,,,
4365,PAPEL,393,OFICIO,10-09-24,01-10-24,01-10-24,ALEX VALENZUELA SANCHES ALCALDE DE LA COMUNA DE ÑIQUEN ,GOBIERNO REGIONAL DE ÑUBLE," REMITE ANTECEDENTES RELACIONADOS CON ESTADO DE PAGO N°1 ""INSTALACION DE LUMINARIAS EN DIVERSOS SECTORES DE LA COMUNA DE ÑIQUEN"" BIP 40011537",PAPEL,,DIPIR ,CAROLINA CEREY,,,,,,,,,
4364,PAPEL,394,OFICIO,10-09-24,01-10-24,01-10-24,ALEX VALENZUELA SANCHES ALCALDE DE LA COMUNA DE ÑIQUEN ,GOBIERNO REGIONAL DE ÑUBLE,"ANTECEDENTES RELACIONADOS CON ESTADO DE PAGO N°1 COD BIP 40046288 ""INSTALACION DE LUMINARIAS""",PAPEL,,DIPIR ,CAROLINA CEREY,,,,,,,,,
4363,PAPEL,SN,CARTA ,30-09-24,30-09-24,01-10-24,ALVARO GUTIERREZ JEREZ ,GOBIERNO REGIONAL DE ÑUBLE,RENUNCIA VOLUNTARIA A PARTIR DEL 01 DE OCTUBRE 2024,PAPEL,,DAF ,VICTOR ESCOBAR ,,,,,,,,,
4362,PAPEL,20,OFICIO,01-10-24,01-10-24,01-10-24,PEDRO PABLO ROJAS GARCIA DIRECTOR GENERAL UNIVERSIDAD DE CONCEPCION-CAMPUS CHILLAN ,ALICIA CONTRERAS VIELMA GOBERNADORA REGIONAL (S),ENTREGA DE POLIZA 16-62689 Y POLIZA 16-107840,PAPEL,,UCR ,MARCO BUSTAMANTE ,,,,,,,,,
4361,EMAIL ,1072,OFICIO,30-09-24,30-09-24,01-10-24,ELIZABETH ABARCA TRIVIÑO DIRECTORA SERVICIO DE SALUD ÑUBLE ,GOBERNADOR REGIONAL DE ÑUBLE,"ADJUNTO DOCUMENTOS DE ESTADOS DE PAGO REFERENTE A LAS VISITAS A OBRA REALIZADAS HASTA LA FECHA A LA OBRA REPOSICION CESFAM FEDERICO PUGA BORNE, CHILLAN VIEJO.

 ",PAPEL,,DIPIR,JORGE OÑATE ,,,,,,,,,
4360,EMAIL ,SN,FORMULARIO ,30-09-24,30-09-24,01-10-24,"CORPORACIÓN ARTE Y VIDA DE COELEMU. 
",GOBIERNO REGIONAL DE ÑUBLE," SOLICITUD DE ASIGNACIÓN DIRECTA PROYECTO: ""ÑUBLE EN BIME-BILBAO 2024""",EMAIL,,DIDESOH,GABRIELA TOLEDO ,,,,,,,,,
4359,EMAIL ,SN,FORMULARIO,30-09-24,30-09-24,01-10-24,AGRUPACION DEPORTIVA Y CULTURAL DE BASQUETBALL SENIORS DAMAS WITRALEN ,GOBIERNO REGIONAL DE ÑUBLE,FORMULARIO N°2 DE POSTULACION A FONDO DE VINCULACION CON EL MEDIO 8% ASIGNACIONES DIRECTASINICIATIVA DENOMINADA NACIONAL DE BASQUETBOL SENIORS CATEGORIA 50/59 Y 60 AÑOS Y MAS				,EMAIL,,DIDESOH,GABRIELA TOLEDO ,,,,,,,,,
4358,EMAIL ,6818,OFICIO,30-09-24,30-09-24,30-09-24,ROXANA LIZAMA ALARCÓN ALCALDESA (s) MUNICIPALIDA D DE CHILLÁN,ÓSCAR CRISÓSTOMO LLANOS GOBERNADOR DE LA REGIÓN DE ÑUBLE,"SOLICITA CANCELAR ESTADO DE PAGO N°8 Y FINAL DE LA OBRA ""REPOSICION PISTA BMX QUILAMAPU (2DO LLAMADO) ID 2467-12-LR23",EMAIL,,DIPIR ,,,,,,,,,,
4357,EMAIL ,SN,FORMULARIO,30-09-24,30-09-24,30-09-24,AGRUPACION DEPORTIVA Y CULTURAL DE BASQUETBALL SERNIORS DAMAS WITRALEN ,GOBIERNO REGIONAL DE ÑUBLE,FORMULARIO DE POSTULACION A FONDO DE VINCULACION CON EL MEDIO 8% ASIGNACIONES DIRECTAS ,EMAIL,,DIDESOH,GABRIELA TOLEDO ,,,,,,,,,
4356,DOCDIGITAL,463,OFICIO,24-09-24,24-09-24,30-09-24,XIMENA RUZ ESPEJO DIRECTORA EJECUTIVA AGENCIA DE SUSTENTABILIDAD Y CAMBIO CLIMÁTICO,RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,"RESPONDE OBSERVACIONES OFICIO N° 01377/12.09.2024 GORE ÑUBLE, QUE INFORMA OBSERVACIONES DE PROYECTO “TRANSFERENCIA INVERSIÓN TECNOLÓGICA EN PRODUCCIÓN LIMPIA DEL SECTOR PANADERO” CÓDIGO BIP N°40050712 Y, DEVUELVE ANTECEDENTES.",EMAIL,,DIFOI - UCR,CAMILA CANAHUATE,,,,,,,,,
4355,DOCDIGITAL,SE16-000640-2024,OFICIO,13-09-24,13-09-24,30-09-24,RODRIGO BAEZA BOYARDI SECRETARIO REGIONAL MINISTERIAL DE BIENES NACIONALES REGIÓN DE ÑUBLE,ÓSCAR CRISÓSTOMO LLANOS GOBERNADOR DE LA REGIÓN DE ÑUBLE,REMITE RENDICIÓN DE GASTOS MES DE AGOSTO DE 2024 DE SEREMI DE BIENES NACIONALES DE ÑUBLE.,DOCDIGITAL,,DIT,RICARDO PAVEZ ,,,,,,,,,
4354,DOCDIGITAL,SE16-000639-2024,OFICIO,13-09-24,13-09-24,30-09-24,RODRIGO BAEZA BOYARDI SECRETARIO REGIONAL MINISTERIAL DE BIENES NACIONALES REGIÓN DE ÑUBLE,ÓSCAR CRISÓSTOMO LLANOS GOBERNADOR DE LA REGIÓN DE ÑUBLE,"REMITE COPIA DE EXPEDIENTE DE SOLICITUD DE CONCESIÓN DE USO GRATUITO DE CORTO PLAZO DE ILUSTRE MUNICIPALIDAD DE COBQUECURA, FOLIO N° 16CTC173, RESPECTO DE INMUEBLE FISCAL UBICADO EN CALLE CHACABUCO N° 315, LOTE 4, COMUNA DE COBQUECURA, PROVINCIA DE ITATA, REGIÓN DE ÑUBLE",DOCDIGITAL,,DIT,FERNANDO SILVA,,,,,,,,,
4353,DOCDIGITAL,SE16-000638-2024,OFICIO,13-09-24,13-09-24,30-09-24,RODRIGO BAEZA BOYARDI SECRETARIO REGIONAL MINISTERIAL DE BIENES NACIONALES REGIÓN DE ÑUBLE,SEGUN DISTRIBUCION: GOBIERNO REGIONAL DE ÑUBLE,SOLICITA AGENDAR FECHA PARA FISCALIZACIÓN Y MENSURA DE INMUEBLE FISCAL QUE SE INDICA.,DOCDIGITAL,,DIT,FERNANDO SILVA,,,,,,,,,
4352,PAPEL ,SN,PAGARÉ,16-09-24,26-09-24,30-09-24,CAMILO IGNACIO SOTO RAMIREZ REPRESENTANTE LEGAL CLUB DEPORTIVO SANTA EMILIA ,GOBIERNO REGIONAL DE ÑUBLE,PAGARÉ A LA ORDEN DEL GOBIERNO REGIONAL DE ÑUBLE LA SUMA DE $1.799.990,DOCDIGITAL,,DIPIR,JAEL SAAVEDRA,,,,,,,,,
4351,DOCDIGITAL,453,OFICIO,13-09-24,13-09-24,30-09-24,XIMENA RUZ ESPEJO DIRECTORA EJECUTIVA AGENCIA DE SUSTENTABILIDAD Y CAMBIO CLIMÁTICO,ÓSCAR CRISÓSTOMO LLANOS GOBERNADOR DE LA REGIÓN DE ÑUBLE,"ACOMPAÑA RENDICIÓN AGOSTO 2024, PROGRAMA “TRANSFERENCIA INVERSIÓN TECNOLÓGICA EN PRODUCCIÓN LIMPIA DEL SECTOR PANADERO DE LA REGIÓN DE ÑUBLE” CÓDIGO BIP 40050712-0",PAPEL,,DIFOI - UCR,CAMILA CANAHUATE,,,,,,,,,
4350,DOCDIGITAL,450,OFICIO,13-09-24,13-09-24,30-09-24,XIMENA RUZ ESPEJO DIRECTORA EJECUTIVA AGENCIA DE SUSTENTABILIDAD Y CAMBIO CLIMÁTICO,ÓSCAR CRISÓSTOMO LLANOS GOBERNADOR DE LA REGIÓN DE ÑUBLE,SOLICITA MODIFICACIÓN DE CONVENIO Y AMPLIACIÓN DE PLAZO DE EJECUCIÓN DE PROGRAMA “TRANSFERENCIA PROGRAMA APL VALLE DEL ITATA DESARROLLO VITIVINÍCOLA SUSTENTABLE” CÓD.BIP 40032465-0.,DOCDIGITAL,,DIFOI - UCR,CAROLINA RODRIGUEZ,,,,,,,,,
4349,DOCDIGITAL,5912,OFICIO,12-09-24,13-09-24,30-09-24,DIRECTOR NACIONAL SERVICIO CIVIL,GOBIERNO REGIONAL DE ÑUBLE,INVITA A “XVI ENCUENTRO ANUAL DE GESTIÓN Y DESARROLLO DE PERSONAS PARA MINISTERIOS Y SERVICIOS PÚBLICOS 2024”.,DOCDIGITAL,,DAF,CLARA TOLEDO,,,,,,,,,
4348,PAPEL,SN,INVITACION ,26-09-24,26-09-24,30-09-24,"P. LUIS FLORES QUINTANA, PARROCO DEL TEMPLO SAN FRANCISCO DE ASIS ",GOBERNADOR REGIONAL DE ÑUBLE,"INVITACION A MISA SOLEMNE DEL DIA DE SAN FRANCISCO DE ASIS , LA QUE SE RELIZARA EL DIA 4 DE OCTUBRE DE 2024 A LAS 19:00 HRS EN EL MISMO TEMPLO, UBICADO EN CALLE SARGENTO ALDEA N°265",DOCDIGITAL,,GABINETE ,,,,,,,,,,
4347,PAPEL,SN,CARTA ,26-09-24,27-09-24,30-09-24,LUZ MARIA MORAN IBAÑEZ DIRECTORA HOSPITAL HERMINDA MARTIN. CHILLAN ,GOBERNADOR REGIONAL DE ÑUBLE,"INTERES EN INICIATIVA DENOMINADA ""CENTRO DE VIGILANCIA DE AGUAS RESIDUALES, CENTINELA ÑUBLE"" INTERES RELACIONADO EN INSTALAR DICHO SISTEMA DE ALERTA EN SUS ESTABLECIMIENTOS Y FORTALECER LA CAPACIDAD DE RESPUESTA DE LOS SERVICIOS CLINICOS ",PAPEL,,GABINETE ,,,,,,,,,,
4346,PAPEL,135,OFICIO,30-09-24,30-09-24,30-09-24,AUGUSTO GONZALES JELDRES DIRECTOR REGIONAL DE TURISMO REGION DE ÑUBLE (SERNATUR),GOBERNADOR REGIONAL DE ÑUBLE,"ENVIA RENDICION TRIMESTRAL DE DICIEMBRE 2023 - ENERO - FEBRERO 2024 FNDR ""DIFUSION RALLY MOBIL ÑUBLE 2023 Y REGION DE ÑUBLE"" COD BIP 40053862",PAPEL,,UCR ,,,,,,,,,,
4345,PAPEL,138,OFICIO,30-09-24,30-09-24,30-09-24,AUGUSTO GONZALES JELDRES DIRECTOR REGIONAL DE TURISMO REGION DE ÑUBLE (SERNATUR),"ALICIA CONTRERAS VIELMA GOBERNADORA (S) REGIONAL, REGION DE ÑUBLE ","SOLICITUD MODIFICACION PRESUPUESTARIA 2024 FNDR ""DIFUSION RALLY MOBIL ÑUBLE 2023 Y REGION DE ÑUBLE"" COD BIP 40053862",PAPEL,,DIFOI,JOSE BOGGIE ,,,,,,,,,
4344,DOCDIGITAL,1756,OFICIO,06-09-24,12-09-24,30-09-24,RODRIGO HENRÍQUEZ IZQUIERDO JEFE DIVISION EVALUACION SOCIAL DE INVERSIONES,SEGUN DISTRIBUCION: GOBIERNO REGIONAL DE ÑUBLE,INFORMA INSTRUCTIVO GENERAL PARA CONSERVACIONES DE EMERGENCIA,PAPEL,,DIPIR,,,,,,,,,,
4343,DOCDIGITAL,2555,OFICIO,16-09-24,16-09-24,30-09-24,RODRIGO EGAÑA BARAONA DIRECTOR DE EDUCACIÓN PÚBLICA,GOBERNADOR REGIONAL DE ÑUBLE,REITERA DESIGNACIÓN DE REPRESENTANTES DEL GOBIERNO REGIONAL Y REMISIÓN DE ANTECEDENTES DE CONFORMIDAD AL ARTÍCULO 31 DE LA LEY N° 21.040.,DOCDIGITAL,,ADM - DIDESOH,,,,,,,,,,
4342,PAPEL,12,OFICIO,26-09-24,30-09-24,30-09-24,CRISTOBAL HERRERA GAZALES DIRECTOR REGIONAL PROCHILE ÑUBLE ,GOBERNADOR REGIONAL DE ÑUBLE,"SOLICITA TRAMITACION FNDR PROCHILE 2024-2025 ""PROGRAMA DE PROMOCION DE EXPORTACIONES MULTISECTORIAL ÑUBLE 2024 COD BIP 40067558",DOCDIGITAL,,DIFOI,CARMEN NAVARRETE ,,,,,,,,,
4341,PAPEL,181,OFICIO,26-09-24,30-09-24,30-09-24,JUDITH FIGUEROA GONZALES JEFA UNIDAD ADMINITRACION DE PROYECTOS FACULTAD DE CIENCIAS FISICAS Y MATEMATICAS UNIVERSIDAD DE CHILE ,"HECTOR BASUALTO, EJECUTIVO TECNICO DIVISIÓN DE FOMENTO E INDUSTRIA",RENDICION MES DE AGOSTO 2024 COD BIP 40050616,PAPEL,,UCR,,,,,,,,,,
4340,PAPEL,2571,OFICIO,13-09-24,30-09-24,30-09-24,ANDREA ALBAGLI IRURETAGOYENA MINISTRA DE SALUD ,SEGUN DISTRIBUCION: GOBIERNO REGIONAL DE ÑUBLE,"ENVIA FICHAS DEFINITIVAS DE LAS MEDIDAS Y ACTIVIDADES, Y SUS PROPUESTAD DE VALORIZACION E INDICADORES DEL PLAN SECTORIAL DE MITIGACION DEL MINISTERIO DE SALUD ",PAPEL,,GABINETE ,,,,,,,,,,
4339,PAPEL,430,OFICIO,30-09-24,30-09-24,30-09-24,KARINA LUEGO VERGARA GERENTE INSTITUTO FORESTAL ,GOBERNADOR REGIONAL DE ÑUBLE,"RENDICION MES DE AGOSTO INICIATIVA DENOMINADA ""TRANSFERENCIA FLORA MALIFERA PARA MEJORAR EL NEGOCIO APICOLA DE LA REGION DE ÑUBLE"" COD BIP 40023891",PAPEL,,UCR ,,,,,,,,,,
4338,PAPEL,2114819490XAF335D,CERTIFICADO ,30-09-24,30-09-24,30-09-24,ERIC EDUARDO AMESTICA ELGUETA ,GOBIERNO REGIONAL DE ÑUBLE,"CERTIFICADO DE FIANZA PAGADERO A LA VISTA EN RELACION A ""CONSERVACION SECTOR EX CORTE DE APELACIONES"" ",PAPEL,,DAF,IGNACIO SANDOVAL,,,,,,,,,
4337,PAPEL,SN,CARTA,26-09-24,30-09-24,30-09-24,DANNY RICHARD VALDEBENITO ORTIZ RUN N°14.304.499-1,GOBIERNO REGIONAL DE ÑUBLE,INFORMA Y DENUNCIA SITUACION GENERADA POR PROFESIONALES DE LA ATENCION EN EL CENTRO DE EQUINOTERAPIA LOURDES DE LA COMUNA DE SAN IGNACIO ,PAPEL,,GABINETE ,,,,,,,,,,
4336,EMAIL ,SN,INVITACION ,30-09-24,30-09-24,30-09-24,"SUBSECRETARIA DE TURISMO, INDAP Y SERNATUR ",GOBIERNO REGIONAL DE ÑUBLE,"INVITACION A L ""PRIMER ENCUENTRO DE TURISMO Y DESARROLLO RURAL"" A REALIZARSE EL 8 DE OCTUBRE DE, DESDE LAS 10:00 HRS - 17:30 HRS.   ",PAPEL,,GABINETE ,,,,,,,,,,
4335,EMAIL ,SN,INVITACION ,30-09-24,30-09-24,30-09-24,"SUBSECRETARIA DE TURISMO, INDAP Y SERNATUR ",GOBIERNO REGIONAL DE ÑUBLE,"INVITACION A CELEBRACION DIA MUNDIAL DEL TURISMO A REALIZARSE EL 8 DE OCTUBRE DE, DESDE LAS 10:30 HRS  ",EMAIL,,GABINETE ,,,,,,,,,,
4334,PAPEL,6645,OFICIO,16-09-24,26-09-24,30-09-24,SUSANA DEL ROSARIO BAEZA LAGOS DIRECTORA DE ADMINISTRACION Y FINANZAS I. MUNICIPALIDAD DE CHILLAN ,GOBERNADOR REGIONAL DE ÑUBLE,ENVIA ORDEN DE INGRESO N°5829557,EMAIL,,DIPIR ,CAROLINA SEREY,,,,,,,,,
4333,PAPEL,1123,OFICIO,23-09-24,26-09-24,30-09-24,RENE SCHUFFENEGER SALAS ALCALDE I. MUNICIPALIDAD DE PORTEZUELO,GOBERNADOR REGIONAL DE ÑUBLE,"DISMINUCION, AUMENTO DE OBRA  Y OBRA EXTRAORDINARIA DE LA OBRA   ""MEJORAMIENTO MULTICANCHA SECTORES PANGUILEMU, CHUDAL Y MEMBRILLAR"" ",PAPEL,,DIPIR ,CAROLINA SEREY,,,,,,,,,
4332,PAPEL,1134,OFICIO,26-09-24,26-09-24,30-09-24,RENE SCHUFFENEGER SALAS ALCALDE I. MUNICIPALIDAD DE PORTEZUELO,GOBERNADOR REGIONAL DE ÑUBLE,"ESTADO DE PAGO N°1 DE OBRA ""MEJORAMIENTO MULTICANCHA SECTORES PANGUILEMU, CHUDAL Y MEMBRILLAR"" POR UN MONTO DE $31.169.138",PAPEL,,DIPIR ,CAROLINA SEREY,,,,,,,,,
4331,PAPEL,476,OFICIO,27-09-24,30-09-24,30-09-24,SEBASTIAN CARVALLO ALBNORNOZ DIRECTOR AGENCIA DE SUSTENTABILIDAD Y CAMBIO CLIMATICO ,GOBERNADOR REGIONAL DE ÑUBLE,"CORRIGE Y REEMPLAZA OFICIO N°64 Y SOLICITA 2DA REMESA DEL PROGRAMA ""TRANSFERENCIA PREVENCION Y CONTROL DE LA ESCAZES HIDRICA A TRAVES DE EHL EN LA REGION DE ÑUBLE"" BIP 40051163",PAPEL,,,,,,,,,,,,
