,RESPONSABLE,DE,FOLIO,FECHA DOCTO,PARA:,MATERIA,FIRMA,VÍA DESPACHO,FECHA ENTREGA,OBSERVACIONES,FIRMA RECEPCIÓN,LINK AL DOCUMENTO,
,pnj ,DIT ,00995,13-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"ENVÍA RENDICIÓN DE CUENTAS PROGRAMA CÓDIGO BIP 40035951-0, MES DE AGOSTO 2024.",CRISTIAN QUIROZ REYES JEFE DIVISIÓN DE INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,13-11-24,,,https://drive.google.com/file/d/1ewAnd4xMu4f_hCR9thCSj8iadB14f05P/view?usp=drive_link,
,pnj ,DIT ,00994,13-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"ENVÍA RENDICIÓN DE CUENTAS PROGRAMA CÓDIGO BIP 40050714-0, MES DE AGOSTO 2024.",CRISTIAN QUIROZ REYES JEFE DIVISIÓN DE INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,13-11-24,,,https://drive.google.com/file/d/1rd5A3umbivdNry3HkIFTJ0DRgNpedGsc/view?usp=drive_link,
,jsm,DIPIR,00993,12-11-2024,ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN ADMINISTRACIÓN Y FINANZAS (S),"SOLICITUD CERTIFICADO DE ACREDITACIÓN DE RENDICIONES AL CORRIENTE DE INSTITUCIONES QUE SE DETALLAN A CONTINUACIÓN, PARA GESTIONAR CONVENIO DE TRANSFERENCIA.",JUAN PARADA GONZÁLEZ JEFE DE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL,DOCDIGITAL,12-11-24,,,https://drive.google.com/file/d/1Uc4uuNACxMVDKRa-i4R4XmqRRHUI1AbP/view?usp=drive_link,
,mgb,DIPLADE,00992,12-11-2024,JUAN PARADA GONZÁLEZ JEFA DE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL GOBIERNO REGIONAL DE ÑUBLE,,RUBÉN SANDOVAL GANGAS JEFE DIVISIÓN DE PLANIFICACIÓN Y DESARROLLO REGIONAL GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,12-11-24,,,https://drive.google.com/file/d/1zqqUEzEavXtlu293rRp-w_e-4QpenVKN/view?usp=drive_link,
,jsm,DIPIR,00991,12-11-2024,ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN (S) ADMINISTRACIÓN Y FINANZAS,"REMITE PAGARÉ DE ASIGNACIÓN DIRECTA, CÓDIGO CVC-AD-29, PARA SU CUSTODIA.",SR. JUAN PARADA GONZÁLEZ JEFE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,12-11-24,,,https://drive.google.com/file/d/1VNoFvmc-nd_x4dbwTo4I0XAr-rGKgQGA/view?usp=drive_link,
,jbd,DIFOI,00990,11-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION N°16 MES DE DICIEMBRE 2023 PROGRAMA ""TRANSFERENCIA TURISMO PATRIMONIAL VALLE DEL ITATA ",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,12-11-24,,,https://drive.google.com/file/d/1-lL1HA8L7CnZ7DSFDvQMvDviu5U_Vq9-/view?usp=drive_link,
,eja,DIFOI,00989,11-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION N°35-36 AGOSTO Y SEPTIEMBRE DE 2024 PROGRAMA ""TRANSFERENCIA BIOCONTROL EN AVELLANO EUROPEO CON ENDOFITOS ",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,12-11-24,,,https://drive.google.com/file/d/1VqYTkBEKZHkhnoaCg7hjbBiWuaOAz9j-/view?usp=drive_link,
,eja,DIFOI,00988,11-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION N°24 JULIO 2024 PROGRAMA ""TRANSFERENCIA IA TURISMO , MARKETING E INTELIGENCIA TURISTICA ",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,12-11-24,,,https://drive.google.com/file/d/1hu9BXFQBN80vDIdXXzBAIIFEK5fwOK4s/view?usp=drive_link,
,psms,DIPLADE,00987,11-11-2024,SR. JUAN PARADA GONZÁLEZ JEFE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL GOBIERNO REGIONAL DE ÑUBLE,"PAGO N°3 Y FINAL ESTUDIO “ANÁLISIS Y CARACTERIZACIÓN DEL ACUÍFERO DE LA CUENCA DEL RÍO ITATA, ESTUDIO GEOFÍSICO VALLE CENTRAL SUPERFICIAL”, CÓDIGO BIP 40011142-0",RUBÉN SANDOVAL GANGAS JEFE DIVISIÓN DE PLANIFICACIÓN Y DESARROLLO REGIONAL GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,11-11-24,,,https://drive.google.com/file/d/1SswViRIoIudHw43GPT5Acuh7A9WKuZS-/view?usp=drive_link,
,dcs,DIT,00986,11-11-2024,ÓSCAR CRISÓSTOMO LLANOS GOBERNADOR REGIÓN DE ÑUBLE,INFORME DEL PROYECTO EMBALSE NUEVA LA PUNILLA Y DOCUMENTACIÓN ADICIONAL DE LAS ORGANIZACIONES.,CRISTIAN QUIROZ REYES JEFE DIVISIÓN DE INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,11-11-24,,,https://drive.google.com/file/d/1Y1NK2oWgcZimAgIbI4WId7XQr9pVzIJK/view?usp=drive_link,
,jsm,DIPIR,00985,11-11-2024,SRA. ALICIA CONTRERAS VIELMA JEFA DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S) GOBIERNO REGIONAL DE ÑUBLE,"REMITE PAGARÉ DE ASIGNACIÓN DIRECTA, CÓDIGO CVC-AD-27, PARA SU CUSTODIA.",SR. JUAN PARADA GONZÁLEZ JEFE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,11-11-24,,,,
,alg,DIDESOH,00984,11-11-2024,ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN (S) ADMINISTRACIÓN Y FINANZAS,"SOLICITUD CERTIFICADO DE ACREDITACIÓN DE RENDICIONES AL CORRIENTE, PROGRAMA CODIGO BIP 40056218-0",TAMARA VALENZUELA FUENTEALBA JEFA DE DIVISION DE DESARROLLO SOLCIAL Y HUMANO.,DOCDIGITAL,11-11-24,,,https://drive.google.com/file/d/1pHDv0IduD9sBNMUUUlsvTZZ-g_VAUx3C/view?usp=drive_link,
,cct,JUR,00983,11-11-2024,ALICIA CONTRERAS VIELMA JEFA DIVISIÓN DE ADMINISTRACIÓN FINANZAS (S),SIN ASUNTO,CLAUDIA ANDREA CABRERA TORRES JEFA UNIDAD JURIDICA,DOCDIGITAL,11-11-24,,,https://drive.google.com/file/d/1rpGKM6s5qBmWMHMDtEtVze6G0rKctGOi/view?usp=drive_link,
,pnj,DIT,00982,08-11-2024,ALICIA CONTRERAS VIELMA JEDA DE ADMINISTRACION Y FINANZAS (S),"ENVÍO DE BOLETA DE GARANTÍA PARA ASEGURAR
UN CIERRE ADECUADO DEL PROYECTO TRANSFERENCIA
INNOVACIÓN AGRÍCOLA PARA ENFRENTAR LA SEQUÍA EN
ÑUBLE, CÓDIGO BIP 40035708-0",CRISTIAN QUIROZ REYES,DOCDIGITAL,08-11-2024,,,https://drive.google.com/file/d/1RUZDebQSRD0JoAwxBjQa9C8v8JxT8SRP/view?usp=drive_link,
,dcs,DIT,00981,08-11-2024,RESERVADO,RESERVADO,RESERVADO,DOCDIGITAL,08-11-24,,,,
,poh,AUD,00980,07-11-2024,ALICIA CONTRERAS VIELMA ADMINISTRADORA REGIONAL,INFORME SITUACIÓN ESTADO DE ESTACIONAMIENTO GOBIERNO REGIONAL.,PAMELA ORELLANA HERRERA PROFESIONAL DE AUDITORÍA INTERNA,DOCDIGITAL,08-11-24,,,https://drive.google.com/file/d/12dTwOPSuVEoexs_RyCvASOADXpbE3s4G/view?usp=drive_link,
,pnj,DIT,00979,07-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"ENVÍA RENDICIÓN DE CUENTAS PROGRAMA CÓDIGO BIP 40050714-0, MES DE JULIO 2024.",CRISTIAN QUIROZ REYES                    JEFE DIVISIÓN DE INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,08-11-24,,,https://drive.google.com/file/d/1cY8z_tWZQ4Jq2BCQq9KVe0jSAU-ganv5/view?usp=drive_link,
,jbd,DIFOI ,00978,06-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS N°15 MES DE NOVIEMBRE 2023 PROGRAMA ""TRANSFERENCIA TURISMO PATRIMONIAL VALLE DEL ITATA""",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,07-11-2024,,,https://drive.google.com/file/d/1lx3kWxOFsTKjCdEGCiYw3X-ckGvukx6K/view?usp=drive_link,
,crh,DIFOI ,00977,05-11-2024,UNIDAD DE CONTROL DE RENDICIONES,INFORME DE ESTADO DE EJECUCIÓN Y RENDICIÓN DE CUENTAS,CAROLINA RODRIGUEZ HIZMERI PROFESIONAL DIDESOH,DOCDIGITAL,06-11-2024,,,https://drive.google.com/file/d/18t1Up674TWJ9PKV2_OM9uD2vwX4g15kP/view?usp=drive_link,
,eja,DIFOI ,00976,05-11-2024,LEILA GASAUI IRRIBARRA JEFA DE DIVISIÓN ADMINISTRACIÓN Y FINANZAS,"SOLICITUD CERTIFICADO DE ACREDITACIÓN DE RENDICIONES AL CORRIENTE, PROGRAMA CODIGO BIP 40021028",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,06-11-2024,,,https://drive.google.com/file/d/11edimpiTvPYoU7N1KZ5K7z-Ifeu32rqi/view?usp=drive_link,
,cnr ,DIFOI ,00975,04-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE AGOSTO 2024 PROGRAMA ""TRANSFERENCIA AGRICULTURAL SOSTENIBLE: DEL RESIDUO A LA ENMIENDA""",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,05-11-2024,,,https://drive.google.com/file/d/1Nu7ku-xjIOEoOwECJBFhFOM4ppDH1LyT/view?usp=drive_link,
,cnr ,DIFOI ,00974,04-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE AGOSTO 2024 PROGRAMA ""TRANSFERENCIA  EXPERIMENTOS PILOTOS EN PROCESOS LOGISTICOS PARA LA TRANSFERENCIA DE UN HUB LOGISTICO EN LA REGION DE ÑUBLE""",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,05-11-2024,,,https://drive.google.com/file/d/1Td0nxiy2BFyiP3Be16fOEYJKNrCujsGn/view?usp=drive_link,
,cnr ,DIFOI ,00973,04-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE JULIO 2024 PROGRAMA ""TRANSFERENCIA  EXPERIMENTOS PILOTOS EN PROCESOS LOGISTICOS PARA LA TRANSFERENCIA DE UN HUB LOGISTICO EN LA REGION DE ÑUBLE""",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,05-11-2024,,,https://drive.google.com/file/d/1u_qKhUO479QfvETa7o-IC42lcAH7Y_6u/view?usp=drive_link,
,cnr ,DIFOI ,00972,04-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE JUNIO 2024 PROGRAMA ""TRANSFERENCIA  EXPERIMENTOS PILOTOS EN PROCESOS LOGISTICOS PARA LA TRANSFERENCIA DE UN HUB LOGISTICO EN LA REGION DE ÑUBLE""",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,05-11-2024,,,https://drive.google.com/file/d/1h-mNLZAtEQM-OcB1lX2TDm7bOg2aOWj3/view?usp=drive_link,
,ccn,DIFOI ,00971,04-11-2024,UNIDAD DE CONTROL DE RENDICIONES,"INSTITUTO DE INVESTIGACIONES AGROPECUARIAS ""TRANSFERENCIA CONTROL BIOLÒGICO DE D. SUZUKII
PARA PRODUCTORES DE FRUTA DE LA AFC EN LA
REGIÓN DE ÑUBLE"". 
",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,05-11-2024,,,https://drive.google.com/file/d/1MyazU1LrszmY-ypNSSGNJQlt7lSgqTCE/view?usp=drive_link,
,pnj,DIT,00970,30-10-2024,LEILA GASAUI IRRIBARRA         JEFA DE DIVISIÓN ADMINISTRACIÓN Y FINANZAS,"ENVÍO DE BOLETA DE GARANTÍA DE FIEL CUMPLIMIENTO DE CONTRATO DEL ESTUDIO PREFACTIBILIDAD “CONSTRUCCIÓN SISTEMA DE AGUA POTABLE Y ALCANTARILLADO SECTOR LAS TRANCAS, COMUNA DE PINTO”, CÓDIGO BIP 40035207-0.",CRISTIAN QUIROZ REYES                    JEFE DIVISIÓN DE INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,04-11-2024,,,https://drive.google.com/file/d/1LRF7onR0smi5SStjZcq53nLYjtKyQi0A/view?usp=drive_link,
,crh ,DIDESOH,00969,30-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS N°4 MES DE MARZO 2024 ""CENTRO INTEGRAL DE LA MUJER COMUNA DEL CARMEN""",GABRIELA TOLEDO ULLOA JEFA DE DIVISION DE DESARROLLO SOCIAL Y HUMANO (S) GOBIERNO REGIONAL DE ÑUBLE ,PAPEL,04-11-2024,,,https://drive.google.com/file/d/1qDRsy88Es-Vq4vAOzcBk6r6mZt7n3WZI/view?usp=drive_link,
,crh ,DIDESOH,00968,30-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS N°3 MES DE FEBRERO 2024 ""CENTRO INTEGRAL DE LA MUJER COMUNA DEL CARMEN""",GABRIELA TOLEDO ULLOA JEFA DE DIVISION DE DESARROLLO SOCIAL Y HUMANO (S) GOBIERNO REGIONAL DE ÑUBLE ,PAPEL,04-11-2024,,,https://drive.google.com/file/d/1wUwFFQ34dJPx7bh9juIGo5H7TAs9dlV_/view?usp=drive_link,
,crh ,DIDESOH,00967,30-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS N°2 MES DE ENERO 2024 ""CENTRO INTEGRAL DE LA MUJER COMUNA DEL CARMEN""",GABRIELA TOLEDO ULLOA JEFA DE DIVISION DE DESARROLLO SOCIAL Y HUMANO (S) GOBIERNO REGIONAL DE ÑUBLE ,PAPEL,04-11-2024,,,https://drive.google.com/file/d/1WQTKs3lKAF64w7GYXNsazXlg0uiyC-Hf/view?usp=drive_link,
,crh ,DIDESOH,00966,30-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS N°1 MES DE DICIEMRE 2023 ""CENTRO INTEGRAL DE LA MUJER COMUNA DEL CARMEN""",GABRIELA TOLEDO ULLOA JEFA DE DIVISION DE DESARROLLO SOCIAL Y HUMANO (S) GOBIERNO REGIONAL DE ÑUBLE ,PAPEL,04-11-2024,,,https://drive.google.com/file/d/1S9vZ9-xZuGy2QMkGDJ4FzIHrIqJMOEvM/view?usp=drive_link,
,ccn,DIFOI ,00965,30-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE AGOSTO 2024 PROGRAMA ""TRANSFERENCIA SENSORES REMOTOS A APICULTURA NATURAL REGENERATIVA""",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,04-11-2024,,,https://drive.google.com/file/d/1eWAdtp20zAH6FvkSnYGUehwxJcYHUV0Q/view?usp=drive_link,
,ccn,DIFOI ,00964,30-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE JULIO 2024 PROGRAMA ""TRANSFERENCIA SENSORES REMOTOS A APICULTURA NATURAL REGENERATIVA""",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,04-11-2024,,,https://drive.google.com/file/d/1MXEbMLmxAtvfD86e16W2agOeaBh0Y6aB/view?usp=drive_link,
,pnj,DIT,00963,29-10-2024,LEILA GASAUI IRRIBARRA JEFA DE DIVISIÓN ADMINISTRACIÓN Y FINANZAS,"SOLICITUD CERTIFICADO DE ACREDITACIÓN DE RENDICIONES AL CORRIENTE, PROGRAMA CODIGO BIP 40050714-0.",JEFE DIVISIÓN DE INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,30-10-2024,,,https://drive.google.com/file/d/18XJ2vs8_1vkNHJK-HK8MpgRAcz3X6kMI/view?usp=drive_link,
,lpo,DIPIR,00962,29-10-2024,LEILA GASAUI IRRIBARRA JEFA DE DIVISIÓN ADMINISTRACIÓN Y FINANZAS,"SOLICITUD CERTIFICADO DE ACREDITACIÓN DE RENDICIONES AL CORRIENTE, PROGRAMA CODIGO BIP 40048669-0 PARA GESTIONAR NUEVA TRANSFERENCIA.",JUAN PARADA GONZÁLEZ JEFE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL,DOCDIGITAL,30-10-2024,,,https://drive.google.com/file/d/1BWDng998fBW9ff9zbeS8tRG898N68y22/view?usp=drive_link,
,eja ,DIFOI,00961,29-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION MES DE SEPTIEMBRE 2024 N°12 PROGRAMA ""FORTALECIMIENTO Y ATRACCION DE INVERSIONES PRODUCTIVAS DE BASE TECNOLOGICA IFI MODALIDAD INVERSION TECNOLOGICA, REGION DE ÑUBLE""",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,29-10-2024,,,https://drive.google.com/file/d/1r2tG-pB9a5kfaLLX52jhBvQstuSX9zBV/view?usp=drive_link,
,eja ,DIFOI,00960,29-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION MES DE MARZO 2024 N°30 PROGRAMA ""TRANSFERENCIA PARA TURISMO SUSTENTABLE DE MONTAÑA""",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,29-10-2024,,,https://drive.google.com/file/d/1sdw835HNZDsGqvb6PDErvbosdWOQ11IZ/view?usp=drive_link,
,veg,DIPIR,00959,29-10-2024,LEILA GASAUI IRRIBARRA JEFA DIVISIÓN DE ADMINISTRADOR Y FINANZAS GOBIERNO REGIONAL DE ÑUBLE,CÁLCULO DE TIEMPO COMPENSADO CRISTIAN GONZÁLEZ LLANOS,VÍCTOR ESCOBAR GARDELLA PROFESIONAL GESTIÓN DE PERSONAS,DOCDIGITAL,29-10-2024,,,https://drive.google.com/file/d/1omiVt7ipsqACRLGpLY96U9odgAMq5gqi/view?usp=drive_link,
,lpo,DIPIR,00958,28-10-2024,LEILA GASAUI IRRIBARRA JEFA DE DIVISIÓN ADMINISTRACIÓN Y FINANZAS,"SOLICITUD CERTIFICADO DE ACREDITACIÓN DE RENDICIONES AL CORRIENTE, PROGRAMA CODIGO BIP 40048669-0 PARA GESTIONAR NUEVA TRANSFERENCIA.",JUAN PARADA GONZÁLEZ JEFE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL,DOCDIGITAL,28-10-2024,,,https://drive.google.com/file/d/1lKJCQNt-rKH_K0aEJO_pR38ni4g5KdRX/view?usp=drive_link,
,jbd,DIFOI ,00957,28-10-2024,LEILA GASAUI IRRIBARRA JEFA DE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS GOBIERNO REGIONAL DE ÑUBLE,"SE ADJUNTA POLIZA DE GARANTÍAS
DE INICIATIVA “TRANSFERENCIA
FORTALECIMIENTO DEL TURISMO DE
NEGOCIOS EN ÑUBLE” CÓDIGO BIP
40050684-0",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,28-10-2024,ANEXOS ENTREGADOS EN FISICO POR DIFOI,,https://drive.google.com/file/d/1yez3-vZyEmm0MDmXzVfDUbFWoxmconps/view?usp=drive_link,
,crh ,DIDESOH,00956,24-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION ""TRANSFERENCIA PROGRAMA 100 MEDICOS ESPECIALISTAS PARA LA REGION DE ÑUBLE"" MES DE JULIO 2024",GABRIELA TOLEDO ULLOA JEFA DE DIVISION DE DESARROLLO SOCIAL Y HUMANO (S) GOBIERNO REGIONAL DE ÑUBLE ,PAPEL,25-10-2024,,,https://drive.google.com/file/d/1t_-qpFQZUWLzrsKrevx6V75_WSWXiCiB/view?usp=drive_link,
,crh ,DIDESOH,00955,24-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION ""TRANSFERENCIA PROGRAMA 100 MEDICOS ESPECIALISTAS PARA LA REGION DE ÑUBLE"" MES DE JUNIO 2024",GABRIELA TOLEDO ULLOA JEFA DE DIVISION DE DESARROLLO SOCIAL Y HUMANO (S) GOBIERNO REGIONAL DE ÑUBLE ,PAPEL,25-10-2024,,,https://drive.google.com/file/d/1Stx-YTYUhzWw2cyQqc_ucek8UnweRMol/view?usp=drive_link,
,crh ,DIDESOH,00954,24-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION ""TRANSFERENCIA PROGRAMA 100 MEDICOS ESPECIALISTAS PARA LA REGION DE ÑUBLE"" MES DE MAYO 2024",GABRIELA TOLEDO ULLOA JEFA DE DIVISION DE DESARROLLO SOCIAL Y HUMANO (S) GOBIERNO REGIONAL DE ÑUBLE ,PAPEL,25-10-2024,,,https://drive.google.com/file/d/1GJqaUtkRaip3OZSLtC2BdBYCmbTupdpu/view?usp=drive_link,
,crh ,DIDESOH,00953,24-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION ""TRANSFERENCIA PROGRAMA 100 MEDICOS ESPECIALISTAS PARA LA REGION DE ÑUBLE"" MES DE ABRIL 2024",GABRIELA TOLEDO ULLOA JEFA DE DIVISION DE DESARROLLO SOCIAL Y HUMANO (S) GOBIERNO REGIONAL DE ÑUBLE ,PAPEL,25-10-2024,,,https://drive.google.com/file/d/1rnrK52XaEpDymifhqRYk39ky1Ci0UIdH/view?usp=drive_link,
,crh ,DIDESOH,00952,24-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION ""TRANSFERENCIA PROGRAMA 100 MEDICOS ESPECIALISTAS PARA LA REGION DE ÑUBLE"" MES DE MARZO 2024",GABRIELA TOLEDO ULLOA JEFA DE DIVISION DE DESARROLLO SOCIAL Y HUMANO (S) GOBIERNO REGIONAL DE ÑUBLE ,PAPEL,25-10-2024,,,https://drive.google.com/file/d/161kjHJCDy4fNeVJFjIXHNZpkm8fUZg5c/view?usp=drive_link,
,crh ,DIDESOH,00951,24-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION ""TRANSFERENCIA PROGRAMA 100 MEDICOS ESPECIALISTAS PARA LA REGION DE ÑUBLE"" MES DE FEBRERO 2024",GABRIELA TOLEDO ULLOA JEFA DE DIVISION DE DESARROLLO SOCIAL Y HUMANO (S) GOBIERNO REGIONAL DE ÑUBLE ,PAPEL,25-10-2024,,,https://drive.google.com/file/d/1gEhSWVX0nKb5WcFm4-IRcCD3hpVOIxaL/view?usp=drive_link,
,jsm,DIPIR,00950,24-10-2024,SR. GONZALO SEPULVEDA GODOY JEFE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S) GOBIERNO REGIONAL DE ÑUBLE,"REMITE PAGARÉ DE ASIGNACIÓN DIRECTA, CÓDIGO CVC-AD-28, PARA SU CUSTODIA.",: SR. RUBEN SANDOVAL GANGAS JEFE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL (S) GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,,,,https://drive.google.com/file/d/11v8YSKUNLPPnYFDNp4qzWdcWbFAH5fsV/view?usp=drive_link,
,jsm,DIPIR,00949,24-10-2024,"SR. GONZALO SEPULVEDA GODOY
JEFE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S)
GOBIERNO REGIONAL DE ÑUBLE
","REMITE PAGARÉ DE ASIGNACIÓN DIRECTA, CÓDIGO CVC-AD-15, PARA SU CUSTODIA.",: SR. RUBEN SANDOVAL GANGAS JEFE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL (S) GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,,,,https://drive.google.com/file/d/13301wfzE1Tlf5cQsox22_Cb0JVgZGuav/view?usp=drive_link,
,ccn,DIFOI ,00948,24-10-2024,SRA. LEILA GASAUI IRRIBARRA JEFA DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS GOBIERNO REGIONAL DE ÑUBLE,"SOLICITUD CERTIFICADO DE ACREDITACIÓN DE RENDICIONES AL CORRIENTE, PROGRAMA CODIGO BIP 40050694",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,,,,https://drive.google.com/file/d/1jrGskyy5Fp6jrx1jhqWKASwrTRLDqB-t/view?usp=drive_link,
,cnr ,DIFOI ,00947,24-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION MES DE SEPTIEMBRE 2024 ""TRANSFERENCIA CENTRO INTEGRAL DE LA MUJER COMUNA DE YUNGAY""",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,24-10-2024,,,https://drive.google.com/file/d/1RpcrHYNLb187g3wi_CKGLPmLBtyc9z18/view?usp=drive_link,
,jzp,DIFOI,00946,23-10-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION N°10 SEPTIEMBRE 2024 PROGRAMA ""TRANSFERENCIA GIRA Y FERIA INTERNACIONAL CHILLA COPENHAGUE-ALUMNOS COMUNA DE CHILLAN ",RAÚL SÚNICO GALDAMES JEFE DE DIVISIÓN DE FOMENTO E INDUSTRIA GOBIERNO REGIONAL DE ÑUBLE,PAPEL,24-10-2024,,,https://drive.google.com/file/d/1R9ugZuzG-I2of9i9IhJQHGbrf3mlVgXR/view?usp=drive_link,
