SUB,ITEM, ASIG,CODIGO,UNIDAD TECNICA ,NOMBRE DE LA INICIATIVA,PROVINCIA,COMUNA, MONTO FNDR M$ ,Nº RES INCORPORA/ CERT CORE,FECHA RES INCORPORA/ CERT CORE,Nº RES CREA ASIGNACIÓN,FECHA RES CREA  ASIGNACIÓN,ESTADO DE CONVENIO,FECHA FIRMA DE CONVENIO ,Nº RES APRUEBA CONVENIO ,FECHA RES APRUEBA CONVENIO,TIPO DE RESOLUCIÓN ,ESTADO CONVENIO EN CGR,FECHA TOMA DE RAZON DE CGR,Nº OFICIO ENVIA CONVENIO,FECHA OFICIO ENVIA CONVENIO,REFERENTE TECNICO O CONTRAPARTE TECNICA,Nº RES REFERENTE TECNICO
31,02,-,40038287,MUNICIPALIDAD DE NINHUE,REPOSICION CUARTEL DE BOMBEROS COMUNA DE NINHUE,ITATA,NINHUE, $ 76.158 ,837/2023,21/12/2023,6,13/02/2024,FIRMADO,11/06/2024,59,18/06/2024,AFECTA,T.R CON ALCANCES,12/07/2024,,,DIPLADE,
31,02,-,40037349,MUNICIPALIDAD DE NINHUE,"REPOSICION CENTRO DE SALUD FAMILIAR DR. DAVID BENAVENTE, NINHUE",ITATA,NINHUE, $ 370.037 ,856/2024,18/01/2024,6,13/02/2024,FIRMADO,11/06/2024,60,18/06/2024,AFECTA,T.R CON ALCANCES,,,,DIPLADE,
33,03,125,40051208,MUNICIPALIDAD DE  RANQUIL,"MEJORAMIENTO GIMNASIO MUNICIPAL, COMUNA DE RANQUIL",ITATA,RÁNQUIL, $ 166.776 ,964,05-09-2023,964,05-09-2023,FIRMADO,25-10-2023,1137,31-10-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40050948,MUN. CH VIEJO,"MEJORAMIENTO AREA DE JUEGOS INFANTILES PARQUE MONUMENTAL BERNARDO OHIGGINS, CHILLAN VIEJO",DIGUILLÍN,CHILLÁN VIEJO, $ 166.555 ,964,05-09-2023,964,05-09-2023,FIRMADO,13-12-2023,1328,22-12-2023,EXENTA,N/A,N/A,,,JAVIER BRITO AGUAYO,1291/19.12.2023
33,03,125,40050367,MUN. CH VIEJO,"REPOSICION CALZADA Y CICLOVIA MARIANO EGAÑA-BAQUEDANO, CHILLAN VIEJO",DIGUILLÍN,CHILLÁN VIEJO, $ 152.320 ,964,05-09-2023,964,05-09-2023,FIRMADO,13-12-2023,1323,22-12-2023,EXENTA,N/A,N/A,,,JAVIER BRITO AGUAYO,1291/19.12.2023
29,03,,40010988,CARABINEROS,ADQUISICION DE VEHICULOS ESPECIALES PARA LA XVI ZONA DE CARABINEROS ÑUBLE,REGIONAL,REGIONAL, $ 804.038 ,87/2020,13/04/2020,145,06/02/2023,FIRMADO,07/06/2024,62,24/06/2024,AFECTA,TOMADO DE RAZON,12/07/2024,1046,7/17/2024,DIT,
31,02,-,40045015,SUBDERE,"REPOSICION PAVIMENTACIÓN CALLE ARTURO PRAT, COMUNA DE NINHUE",ITATA,NINHUE, $ 969.999 ,769/2023,05/10/2023,6,13/02/2024,FIRMADO,11/06/2024,63,24/06/2024,AFECTA,TOMADO DE RAZON,19/07/2024,1067,7/22/2024,INVERSIONES,
29,03,,40060200,MUN. BULNES,ADQUISICIÓN BUS ILUSTRE MUNICIPALIDAD DE BULNES,DIGUILLÍN,BULNES, $ 281.498 ,420,18-06-2024,420,18-06-2024,FIRMADO,06-06-2024,65,28-06-2024,AFECTA,TOMADO DE RAZON,01-08-2024,1165,06-08-2024,CRISTIAN JAQUE GUZMÁN,
31,02,-,20119065,MUN. SAN IGNACIO,REPOSICION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO,DIGUILLÍN,SAN IGNACIO, $ 2.822.887 ,898/2024,14/03/2024,37,03/05/2024,FIRMADO,14/06/2024,66,01-07-2024,AFECTA,T.R CON ALCANCES,01/08/2024,1163,8/5/2024,CARLOS JUNGJOHANN MUÑOZ,
33,03,125,40056091,MUN. YUNGAY,"REPOSICION PASARELA PEATONAL COLGANTE, SECTOR SANTA LUCIA BAJO, COMUNA DE YUNGAY",DIGUILLÍN,YUNGAY, $ 158.102 ,1038,04-10-2023,1038,04-10-2023,FIRMADO,04-10-2023,1140,31-10-2023,EXENTA,N/A,N/A,,,CAROLINA SEREY PROVOSTE ,1291/19.12.2023
33,03,125,40056093,MUNICIPALIDAD DE  RANQUIL,"MEJORAMIENTO DE RUTAS POR CATASTROFE, COMUNA DE RANQUIL",ITATA,RÁNQUIL, $ 120.000 ,1038,04-10-2023,1038,04-10-2023,FIRMADO,06-10-2023,1127,26-10-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,01,255,40045701,ASOCIACION PUNILLA,TRANSFERENCIA PARA EL MEJORAMIENTO DE LA CALIDAD DE LA EDUCACION ,PUNILLA,PUNILLA, $ 424.563 ,N/A,N/A,22,14-03-2023,FIRMADO,01-03-2023,68,07-06-2023,AFECTA,TOMADO DE RAZON,04-07-2023,,,CAROLINA RODRIGUEZ ,105/05.03.2024
31,02,,40047341,MUN. CHILLAN,"MEJORAMIENTO PATIO ISABEL RIQUELME, MERCADO MUNICIPAL DE CHILLÁN",DIGUILLÍN,CHILLÁN, $ 3.473.611 ,931/2024,25/04/2024,37,03/05/2024,FIRMADO,14/06/2024,73,17/07/2024,AFECTA,TOMADO DE RAZON,12/08/2024,134,8/21/2024,JAVIER BRITO AGUAYO,
33,03,125,40039542,MUN. NINHUE,"CONSTRUCCION SEDE CLUB DE HUASOS DE HUALTE, COMUNA DE NINHUE",ITATA,NINHUE, $ 97.464 ,1068,13-10-2023,1068,13-10-2023,FIRMADO,07-02-2024,174,04-04-2024,EXENTA,N/A,N/A,,04-04-2024,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,,125,40050552,MUN. NINHUE,"CONSTRUCCION SEDE JUNTA DE VECINOS SECTOR QUIRAO, COMUNA DE NINHUE",ITATA,NINHUE, $ 107.756 ,1068,13-10-2023,1068,13-10-2023,FIRMADO,07-02-2024,168,04-04-2024,EXENTA,N/A,N/A,,04-04-2024,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40050578,MUN. NINHUE,"MEJORAMIENTO PLAZOLETA VILLA ARTURO PRAT, COMUNA DE NINHUE",ITATA,NINHUE, $ 149.995 ,1068,13-10-2023,6,13-02-2024,FIRMADO,07-02-2024,167,04-04-2024,EXENTA,N/A,N/A,,04-04-2024,PABLO TRONCOSO ALARCON ,
33,03,125,40056088,MUN. SAN IGNACIO,"CONSERVACION DE CAMINOS RURALES, COMUNA DE SAN IGNACIO",DIGUILLÍN,SAN IGNACIO, $ 120.000 ,1068,13-10-2023,1068,13-10-2023,FIRMADO,08-11-2023,1207,22-11-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40056100,MUNICIPALIDAD DE  EL CARMEN,"CONSERVACION DISTINTOS CAMINOS RURALES, COMUNA EL CARMEN",DIGUILLÍN,EL CARMEN , $ 119.856 ,1068,13-10-2023,1068,13-10-2023,FIRMADO,20-11-2023,1220,24-11-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
29,05,-,40045132,MUNICIPALIDAD DE  PINTO,"ADQUISICIÓN DE UNA MOTONIVELADORA, COMUNA DE PINTO",DIGUILLÍN,PINTO, $ 222.613 ,682,05/06/2023,682,05/06/2023,FIRMADO,20/06/2023,75,27/07/2023,AFECTA,TOMADO DE RAZON,13/07/2023,,,CRISTIAN JAQUE GUZMAN ,1293/19.12.2023
31,02,-,40039537,MUN. CHILLAN,"CONSERVACION VEREDAS VILLA LOS ALPES, CHILLÁN",DIGUILLÍN,CHILLÁN, $ 147.471 ,145,27/03/2024,19,01/04/2024,FIRMADO,12/08/2024,76,22/07/2024,AFECTA,T.R CON ALCANCES,12/08/2024,1234,8/21/2024,JAVIER BRITO AGUAYO,
29,05,-,40053031,SSÑ,REPOSICIÓN MAMÓGRAFO Y ECÓGRAFO MAMARIO HOSPITAL SAN CARLOS,PUNILLA,SAN CARLOS, $ 316.492 ,681,05/06/2023,681,05/06/2023,FIRMADO,06/07/2023,77,06/07/2023,AFECTA,TOMADO DE RAZON,31/07/2023,,,CRISTIAN JAQUE GUZMAN ,1293/19.12.2023
31,02,-,40036902,MUN. CHILLAN,"CONSERVACION VEREDAS POBLACIÓN SIMÓN BOLÍVAR, CHILLÁN",DIGUILLÍN,CHILLÁN, $ 355.733 ,145,27/03/2024,19,01/04/2024,FIRMADO,15/07/2024,77,24/07/2024,AFECTA,T.R CON ALCANCES,08/08/2024,1234,8/24/2024,JAVIER BRITO AGUAYO,
29,05,-,40047105,SEREMI EDUCACION,ADQUISICION LABORATORIOS PORTATILES DE CIENCIAS PARA ESCUELAS RURALES ZONA DE REZAGO VALLE DEL ITATA,,ITATA, $ 249.867 ,1120,25/10/2023,1120,25/10/2023,NO SE FIRMO,-,-,-,-,-,-,-,-,N/A,-
29,05,-,40047119,SEREMI EDUCACION,ADQUISICION EQUIPAMIENTO PARA CONTENCION EMOCIONAL Y BIENESTAR ESCOLAR PARA ZONA DE REZAGO VALLE DEL ITATA,,ITATA, $ 249.661 ,1120,25/10/2023,1120,25/10/2023,NO SE FIRMO,-,-,-,-,-,-,-,-,N/A,-
31,02,-,40027236,MUN. CHILLAN,"CONSERVACION VEREDAS VILLA CUARTO CENTENARIO, CHILLAN",DIGUILLÍN,CHILLÁN, $ 248.103 ,145,27/03/2024,19,01/04/2024,FIRMADO,12/08/2024,78,24/07/2024,AFECTA,T.R CON ALCANCES,08/08/2024,1234,8/24/2024,JAVIER BRITO AGUAYO,
29,03,,40059029,CONAF,ADQUISICIÓN CUATRIMOTOS PARA EL CONTROL DE ÁREAS SILVESTRES PROTEGIDAS REGIÓN DE ÑUBLE,REGIONAL,REGIONAL, $ 61.759 ,420,18-06-2024,420,18-06-2024,FIRMADO,17-07-2024,79,24-07-2024,AFECTA,TOMADO DE RAZON,12-08-2024,1254,27-08-2024,CRISTIAN JAQUE GUZMÁN,
29,05,,40054895,MUN. SAN NICOLAS,"ADQUISICIÓN CONTENEDORES PLÁSTICOS PARA RECOLECCIÓN DE RESIDUOS SD, SAN NICOLÁS",PUNILLA,SAN NICOLÁS, $ 46.565 ,420,18-06-2024,420,18-06-2024,FIRMADO,26-07-2024,85,01-08-2024,AFECTA,TOMADO DE RAZON,28-08-2024,,,CRISTIAN JAQUE GUZMÁN,
29,03,,40062595,MUN. SAN NICOLAS,REPOSICIÓN CAMIONES TOLVA COMUNA DE SAN NICOLÁS,PUNILLA,SAN NICOLÁS, $ 220.713 ,420,18-06-2024,420,18-06-2024,FIRMADO,26-07-2024,86,01-08-2024,AFECTA,TOMADO DE RAZON,02-09-2024,,,CRISTIAN JAQUE GUZMÁN,
29,03,,40048686,MUN. SAN NICOLAS,ADQUISICIÓN MINIBUS PARA LA COMUNA DE SAN NICOLÁS,PUNILLA,SAN NICOLÁS, $ 58.191 ,420,18-06-2024,420,18-06-2024,FIRMADO,26-07-2024,87,01-08-2024,AFECTA,TOMADO DE RAZON,28-08-2024,,,CRISTIAN JAQUE GUZMÁN,
31,02,,40013760,BOMBEROS,REPOSICION CUARTEL DE BOMBEROS 5° COMPAÑÍA DE CHILLAN ,,CHILLÁN, $ 1.613.141 ,798/2023,09/11/2023,6,13/02/2024,ENCOMENDADO DIT,-,-,-,-,-,-,-,-,DIT,-
29,03,,40058914,MUN. SAN IGNACIO,"REPOSICIÓN 2 AMBULANCIAS AEB 4X2, COMUNA DE SAN IGNACIO",DIGUILLÍN,SAN IGNACIO, $ 163.000 ,420,18-06-2024,420,18-06-2024,FIRMADO,28-06-2024,88,01-08-2024,AFECTA,TOMADO DE RAZON,22-08-2024,1259,27-08-2024,CRISTIAN JAQUE GUZMÁN,
31,02,,40002330,MUNICIPALIDAD DE YUNGAY,"MEJORAMIENTO PLANTA DE TRATAMIENTO AS CAMPARANARIO, COMUNA DE YUNGAY",DIGUILLÍN,YUNGAY, $ 2.194.405 ,972,20-06-2024,74,18-07-2024,FIRMADO,01-08-2024,89,07-08-2024,AFECTA,TOMADO DE RAZON,03-09-2024,1203,14-08-2024,CAROLINA SEREY PROVOSTE,
31,02,004,40035950,MUNICIPALIDAD DE NINHUE,REPOSICION EDIFICIO CONSISTORIAL NINHUE,ITATA,NINHUE, $ 98.649 ,739/2023,17-08-2023,6,13-02-2024,FIRMADO,31-07-2024,91,08-08-2024,AFECTA,TOMADO DE RAZON,23/08/2024,,,INVERSIONES,
33,03,125,40056281,MUN. COBQUECURA,"CONSERVACION GIMNASIO DE COLMUYAO, COMUNA DE COBQUECURA",ITATA,COBQUECURA, $ 165.985 ,123,19-03-2024,123,19-03-2024,FIRMADO,20-12-2023,171,04-04-2024,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40051203,MUN. QUIRIHUE,"CONSTRUCCION ZONA DE JUEGOS INFANTILES PLAZA DE ARMAS, COMUNA DE QUIRIHUE",ITATA,QUIRIHUE, $ 111.754 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,07-02-2024,172,04-04-2024,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40056328,MUNICIPALIDAD DE  PINTO,"REPOSICION LUMINARIAS PUBLICAS A TECNOLOGIA LED, DIVERSOS SECTORES, COMUNA DE PINTO",DIGUILLÍN,PINTO, $ 145.458 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,15-12-2023,1376,29-12-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40030216,MUN. QUIRIHUE,"REPOSICION LUMINARIAS DIVERSOS SECTORES URBANOS, COMUNA DE QUIRIHUE",ITATA,QUIRIHUE, $ 83.010 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,07-02-2024,170,04-04-2024,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40050687,MUN. COBQUECURA,"CONSTRUCCION CAMARINES BUCHUPUREO, COMUNA DE COBQUECURA",ITATA,COBQUECURA, $ 133.288 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,20-12-2023,1355,28-12-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40054743,MUN. SAN CARLOS,"MEJORAMIENTO PLAZOLETA VIRGEN DEL CAMINO, SAN CARLOS",PUNILLA,SAN CARLOS, $ 162.974 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,19-12-2023,1340,27-12-2023,EXENTA,N/A,N/A,,,JAVIER BRITO AGUAYO,1291/19.12.2023
33,03,125,40050481,MUN. BULNES,"MEJORAMIENTO PLAZA 3 DE OCTUBRE, COMUNA DE BULNES",DIGUILLÍN,BULNES, $ 166.776 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,18-12-2023,1324,22-12-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,30484149,MUN. COELEMU,"CONSTRUCCION SEDE COMUNITARIA CLUB DE PESCA PLEAMAR, COMUNA DE COELEMU",ITATA,COELEMU, $ 82.884 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,12-12-2023,1302,19-12-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40054744,MUN. SAN CARLOS,"MEJORAMIENTO PLAZOLETA VILLA PACIFICO, SAN CARLOS",PUNILLA,SAN CARLOS, $ 165.135 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,19-12-2023,1341,27-12-2023,EXENTA,N/A,N/A,,,JAVIER BRITO AGUAYO,1291/19.12.2023
33,03,125,40046284,MUN. ÑIQUEN,INSTALCION LUMINARIAS EN VARIOS SECTORES DE LA COMUNA DE ÑIQUEN ,PUNILLA,ÑIQUÉN, $ 131.753 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,19-12-2023,1346,27-12-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40051422,MUNICIPALIDAD DE  RANQUIL,"MEJORAMIENTO PLAZOLETA CAPILLA RANQUIL Y PLAZOLETA VILLA ROSSLE, COMUNA DE RANQUIL",ITATA,RÁNQUIL, $ 166.142 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,19-12-2023,1354,28-12-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40055289,MUN. COELEMU,"MEJORAMIENTO ESTADIO MUNICIPAL, COMUNA DE COELEMU",ITATA,COELEMU, $ 165.491 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,12-12-2023,1278,18-12-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40056283,MUN. COBQUECURA,NORMALIZACION ELECTRICA ALA SUR CESFAM DE COBQUECURA,ITATA,COBQUECURA, $ 49.425 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,20-12-2023,1356,28-12-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40056058,MUNICIPALIDAD DE PORTEZUELO,"MEJORAMIENTO DIVERSOS CAMINOS RURALES, COMUNA DE PORTEZUELO",ITATA,PORTEZUELO, $ 119.611 ,1169,09-11-2023,50,05-02-2024,FIRMADO,07-02-2024,169,04-04-2024,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40056364,MUN. ÑIQUEN,"CONSTRUCCION MULTICANCHA SECTOR ÑIQUEN ESTACION, COMUNA DE ÑIQUEN ",PUNILLA,ÑIQUÉN, $ 88.998 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,19-12-2023,1347,27-12-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40056381,MUN. QUIRIHUE,MEJORAMIENTO PATIO ESCUELA NUEVA AMERICA COMUNA DE QUIRIHUE,ITATA,QUIRIHUE, $ 121.665 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,12-12-2023,1297,19-12-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40050727,MUN. CH VIEJO,"REPOSICION SEÑALES DE SENTIDO DE TRANSITO, NOMBRE Y NUMERACION CALLES, CHILLAN VIEJO",DIGUILLÍN,CHILLÁN VIEJO, $ 161.152 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,13-12-2023,1327,22-12-2023,EXENTA,N/A,N/A,,,JAVIER BRITO AGUAYO,1291/19.12.2023
33,03,125,40058401,MUN. SAN NICOLAS,"HABILITACION PUNTOS DE ABASTECIMIENTO CONTRA INCENDIOS, SAN NICOLAS",PUNILLA,SAN NICOLÁS, $ 119.332 ,1169,09-11-2023,1169,09-11-2023,FIRMADO,12-12-2023,1317,22-12-2023,EXENTA,N/A,N/A,,,CAROLINA SEREY PROVOSTE ,1291/19.12.2023
33,03,125,40056534,MUN. TREHUACO,"MEJORAMIENTO ESCUELA BASICA MINAS DE LEUQUE, COMUNA DE TREHUACO",ITATA,TREHUACO, $ 165.999 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,12-12-2023,1300,19-12-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40051206,MUN. SAN NICOLAS,"MEJORAMIENTO ESPACIO PUBLICO VILLA NUEVO MILENIO, SAN NICOLAS",PUNILLA,SAN NICOLÁS, $ 160.126 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,12-12-2023,1312,22-12-2023,EXENTA,N/A,N/A,,,CAROLINA SEREY PROVOSTE ,1291/19.12.2023
33,03,125,40058408,MUN. QUIRIHUE,"CONSTRUCCION PUNTO DE ABASTECIMIENTO DE AGUA Y REPARACION DE CAMINOS, QUIRIHUE",ITATA,QUIRIHUE, $ 119.419 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,12-12-2023,1296,19-12-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40058522,MUN. COELEMU,"MEJORAMIENTO Y LIMPIEZA CAMINOS RURALES, COMUNA DE COELEMU",ITATA,COELEMU, $ 119.996 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,07-12-2023,1301,19-12-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40056455,MUN. SAN CARLOS,"MEJORAMIENTO PLAZA VILLA VISION MUNDIAL, SAN CARLOS",PUNILLA,SAN CARLOS, $ 64.980 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,19-12-2023,1348,27-12-2023,EXENTA,N/A,N/A,,,JAVIER BRITO AGUAYO,1291/19.12.2023
33,03,125,40058468,MUN. SAN FABIAN,"CONSTRUCCION SISTEMA ACUMULACION AGUA RESPUESTA A INCENDIOS DIVERSOS SECTORES, SAN FABIAN",PUNILLA,SAN FABIÁN, $ 120.000 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,19-12-2023,1344,27-12-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40058421,MUN. ÑIQUEN,CONSTRUCCION PISCINAS ACUMULADORAS DE AGUA EN 6 SECTORES DE ÑIPAS PARA COMBATIR INCENDIOS,PUNILLA,ÑIQUÉN, $ 120.000 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,19-12-2023,1345,27-12-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40058521,MUN. NINHUE,"CONSERVACION DE CAMINOS VECINALES, COMUNA DE NINHUE",ITATA,NINHUE, $ 118.615 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,12-12-2023,1298,19-12-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40058441,MUN. COBQUECURA,"MEJORAMIENTO FAJA DE CAMINOS DE EMERGENCIA E INSFRAESTRUCTURA CRITICA, COMUNA DE COBQUECURA",ITATA,COBQUECURA, $ 119.925 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,20-12-2023,173,04-04-2024,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40058496,MUN. TREHUACO,HABILITACION DE CAMINOS Y ESPACIOS PUBLICOS PARA LA PREVENCION DE INCENDIOS,ITATA,TREHUACO, $ 119.999 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,12-12-2023,1299,19-12-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40056708,MUNICIPALIDAD DE  RANQUIL,"MEJORAMIENTO CAMINOS EN DISTINTODS SECTORES APLICANDO SUPRESOR DE POLVO, COMUNA DE RANQUIL",ITATA,RÁNQUIL, $ 164.773 ,1229,30-11-2023,1229,30-11-2023,FIRMADO,04-12-2023,1325,22-12-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
31,01,,30488514,DGA,PROSPECCION GEOFISICA EN SECTOR RURAL DEFICIT HIDRICO VALLE DEL ITATA II,ITATA,ITATA, $ 176.856 ,925/2024,05/04/2024,37,03/05/2024,FIRMADO,23/07/2024,92,12/08/2024,AFECTA,TOMADO DE RAZON,03/09/2024,1326,05-09-2024,DIPLADE,
24,01,278,40048139,INIA,TRANSFERENCIA FRUTICULTURA SOSTENIBLE Y RESILIENTE AL CAMBIO CLIMATICO PARA LA REGION DE ÑUBLE,REGIONAL,REGIONAL, $ 2.585.193 ,809/2023,23/11/2023,46,16/04/2024,FIRMADO,07/08/2024,93,12/08/2024,AFECTA,TOMADO DE RAZON,05/09/2024,,,HECTOR BASUALTO NAVARRETE,RES EN TRAMITE
29,03,,40012982,ASOCIACION PUNILLA,"ADQUISICION DE RODILLO Y CAMA BAJA PARA LA COMUNA DE SAN FABIAN, ASOCIACION PUNILLA",PUNILLA,SAN FABIÁN, $ 142.217 ,136,22/03/2024,136,22/03/2024,FIRMADO,08/08/2024,95,14/08/2024,AFECTA,TOMADO DE RAZON,09/09/2024,,,CRISTIAN JAQUE GUZMAN ,
29,03,-,40035024,ASOCIACION PUNILLA,"REPOSICION CAMION ALJIBE, COMUNA DE SAN FABIAN, ASOCIACION PUNILLA, REGION DE ÑUBLE",PUNILLA,SAN FABIÁN, $ 111.467 ,136,22/03/2024,136,22/03/2024,FIRMADO,08/08/2024,97,14-089-2024,AFECTA,TOMADO DE RAZON,16/09/2024,,,CRISTIAN JAQUE GUZMAN ,1293/19.12.2023
33,03,456,40041620,SERVIU,PROGRAMA PAVIMENTACION PARTICIPATIVA 31° LLAMADO REGION DE ÑUBLE,REGIONAL,REGIONAL, $ 5.359.364 ,662/2023,10-05-2023,66,26-05-2023,FIRMADO,28-07-2023,98,04-08-2023,AFECTA,TOMADO DE RAZON,17-08-2023,,,NICOLAS LARA GONZALEZ,1294/19.12.2023
31,02,,40043597,MUNICIPALIDAD DE  CHILLAN VIEJO,"CONSERVACIÓN GIMNASIO MUNICIPAL, CHILLÁN VIEJO",DIGUILLÍN,CHILLÁN VIEJO, $ 295.000 ,549,23-07-2024,80,26-07-2024,FIRMADO,16-08-2024,98,27-08-2024,AFECTA,TOMADO DE RAZON,16-09-2024,1457,27-09-2024,JAVIER BRITO AGUAYO,
33,03,470,40048725,SERVIU,"DIFUSION INFORMACION Y ACOMPAÑAMIENTO SOCIAL A COMITES DE VIVIENDAS, REGION DE ÑUBLE",REGIONAL,REGIONAL, $ 169.929 ,N/A,N/A,108,21-08-2023,FIRMADO,27-12-2023,1338,27-12-2023,EXENTA,N/A,N/A,,,NICOLAS LARA GONZALEZ,433/24.06.2024
33,03,469,40048732,SERVIU,"CONTROL DE PROYECTOS HABITACIONALES, PLAN DE EMERGENCIA HABITACIONAL, REGION DE ÑUBLE",REGIONAL,REGIONAL, $ 168.750 ,N/A,N/A,108,21-08-2023,FIRMADO,27-12-2023,1337,27-12-2023,EXENTA,N/A,N/A,,,NICOLAS LARA GONZALEZ,433/24.06.2024
29,01,,40053769,MUNICIPALIDAD DE CHILLÁN,"ADQUISICIÓN TERRENO EN SECTOR VILLA FERROCAR, CHILLÁN",DIGUILLÍN,CHILLÁN, $ 200.000 ,508,11-07-2024,508,11-07-2024,FIRMADO,28-08-2024,101,03-09-2024,AFECTA,REPRESENTADO,,,,CRISTIAN JAQUE GUZMÁN,
33,03,006,40050437,SUBSECRETARIA DEL TRABAJO,TRANSFERENCIA PROGRAMA INVERSION A LA COMUNIDAD,REGIONAL,REGIONAL, $ 1.631.806 ,678/2023,08-06-2023,7,26-01-2023,FIRMADO,10-08-2023,102,,AFECTA,T.R CON ALCANCES,11-08-2023,,,CARMEN NAVARRETE RETAMAL,1294/19.12.2023
33,03,465,40050775,MUN. CHILLAN,"TRANSFERENCIA GIRA Y FERIA INTERNACIONAL CHILLAN-COPENHAGUE-ALUMNOS, COMUNA DE CHILLAN",DIGUILLÍN,CHILLÁN, $ 100.890 ,N/A,N/A,72,14-06-2023,FIRMADO,20-11-2023,1226,29-11-2023,EXENTA,N/A,N/A,,,GONZALO SANDOVAL,
33,03,468,40051163,AGENCIA SUSTEN Y CAMBIO CLIMATICO,TRANSFERENCIA PREVENCION Y CONTROL DE LA ESCASEZ HIDRICA A TRAVES DE EHL EN LA REGION DE ÑUBLE,REGIONAL,REGIONAL, $ 308.690 ,N/A,N/A,108,21-08-2023,FIRMADO,15-12-2023,1313,22-12-2023,EXENTA,N/A,N/A,,,PABLO NUÑEZ,102/05.03.2024
