COD. ÚNICO,VIGENCIA,AÑO,AÑO PRESP.,BIP,DV,NOMBRE INICIATIVA,TIPO,PROVINCIA,COMUNA,ETAPA,TIPOLOGÍA,Categoría GORE,SUBT,ITEM,ASIG,FORMULADOR,ORIGEN,UNIDAD TÉCNICA,DIVISIÓN VINCULADA,MONTO INICIATIVA,MONTO FNDR,MONTO FINAL APROB.,GASTO VIGENTE,ESTADO ACTUAL,FECHA ESTADO ACTUAL,RATE ACTUAL,FECHA ULTIMO RATE,OBSERVACIONES GENERALES,_source_file,_cleaned_at
30481716-2019,NO VIGENTE,2019,2019,30481716,0,"CONSTRUCCION GRADERIAS DIVERSAS CANCHAS DE FUTBOL RURALES, COIHUECO",PROYECTO,PUNILLA,COIHUECO,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. COIHUECO,MUNICIPIO,,,"$59,990","$59,990",,"M$59,990",RATIF CORE,,RS,23-01-2019,"// POR OFICIO 212 DEL 03-05-19 E2270/2019 JEFE DIPIR SOLICITA REEVALUACIÓN DE INICIATIVA, DERIVADO ANALISTA PARA REVISIÓN 08-05-19 // DADO QUE ES UN INICIATIVA QUE VENÍA CON APROBACIÓN CORE BIO BIO, SOLO FUE RETIFICADA POR CORE ÑUBLE MEDIANTE ACUERDO SEGÚN C",ANÁLISIS.csv,2025-12-23T05:39:39.813209
30482161-2019,NO VIGENTE,2019,2019,30482161,0,"CONSTRUCCION PLAZA DE AGUA PARQUE VIOLETA PARRA, SAN CARLOS",PROYECTO,PUNILLA,SAN CARLOS,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. SAN CARLOS,MUNICIPIO,,,"$61,550","$61,550",,"M$61,550",RATIF CORE,,RS,,"// POR ORD. 84 DEL 04-03-19 E1132 SE INFORMA INADMISIBILIDAD DE INICIATIVA, YA CUENTA CON APROBACIÓN CORE // E1001/2019 DERIVADO ANALISTA PARA REVISIÓN Y VERIFICACIÓN SI YA TIENE APROBACIÓN CORE BIO BIO",ANÁLISIS.csv,2025-12-23T05:39:39.813328
30482363-2019,NO VIGENTE,2019,2019,30482363,0,"CONSTRUCCION MULTICANCHA SECTOR LOS GUINDOS, COMUNA DE ÑIQUEN",PROYECTO,PUNILLA,ÑIQUÉN,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. ÑIQUÉN,MUNICIPIO,,,"$49,994","$49,994",,"M$49,994",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.813401
30482365-2019,NO VIGENTE,2019,2019,30482365,0,"CONSTRUCCION TECHADO PLAZA DE ARMAS SAN GREGORIO, COMUNA DE ÑIQUEN",PROYECTO,PUNILLA,ÑIQUÉN,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. ÑIQUÉN,MUNICIPIO,,,"$69,999","$69,999",,"M$69,999",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.813487
30482782-2019,NO VIGENTE,2019,2019,30482782,0,"CONSTRUCCION SEDE SOCIAL POBLACIÓN PABLO NERUDA, QUIRIHUE",PROYECTO,ITATA,QUIRIHUE,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. QUIRIHUE,MUNICIPIO,,,"$59,351","$59,351",,"M$59,351",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.813686
30482911-2020,NO VIGENTE,2019,2020,30482911,0,"CONSTRUCCION SEDE SOCIAL PILICURA, COMUNA DE COBQUECURA",PROYECTO,ITATA,COBQUECURA,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. COBQUECURA,MUNICIPIO,,,"$59,756","$59,756",,"M$59,756",APRO CORE,,RS,11-06-2019,"// 12-06-19 LLEGA POR CORREO ELECTRÓNICO CERTIFICADO RS DE BIO BIO, NO PRIORIZADO 17-06-19 // E1668/2019 ASIGNADO ANALISTA PARA REVISIÓN",ANÁLISIS.csv,2025-12-23T05:39:39.813777
30482946-2020,NO VIGENTE,2019,2020,30482946,0,REPARACION PISCINA MUNICIPAL COMUNA DE PEMUCO,PROYECTO,DIGUILLIN,PEMUCO,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. PEMUCO,MUNICIPIO,,,"$59,843","$59,843",,"M$59,843",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.813932
30482991-2019,NO VIGENTE,2019,2019,30482991,0,"REPOSICION MULTICANCHA SECTOR PUENTE EL ALA, SAN NICOLÃS",PROYECTO,PUNILLA,SAN NICOLÁS,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,"$59,721","$59,721",,"M$59,721",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.814175
30482992-2019,NO VIGENTE,2019,2019,30482992,0,"CONSTRUCCION TECHADO MULTICANCHA HUENUTIL CENTRO, COMUNA DE ÑIQUEN",PROYECTO,PUNILLA,ÑIQUÉN,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. ÑIQUÉN,MUNICIPIO,,,"$59,987","$59,987",,"M$59,987",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.814382
30483053-2019,NO VIGENTE,2019,2019,30483053,0,"CONSTRUCCION AREA VERDE CHOLGUÁN ESTACIÓN , COMUNA DE YUNGAY",PROYECTO,DIGUILLIN,YUNGAY,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. YUNGAY,MUNICIPIO,,,"$30,000","$30,000",,"M$30,000",NO RECOMEN,,OT,14-10-2019,"// OT DEL 14-10-19 INFORMADO POR CORREO MISMO DIA // POR ORD. 803 DEL 06-09-19 ALCALDE SOLICITA REEMPLAZAR INICIATIVA POR PROBLEMAS CON TERRENO // POR ORD. 717 DEL 08-08-19 E4106/2019 FORMULADOR INFORMA SUBSANACIÓN DE OBSERVACIONES, DERIVADO ANALISTA PARA RE",ANÁLISIS.csv,2025-12-23T05:39:39.814479
30483055-2019,NO VIGENTE,2019,2019,30483055,0,"CONSTRUCCION SEDE COMUNITARIA SECTOR MARIANO EGAÑA, COMUNA DE YUNGAY",PROYECTO,DIGUILLIN,YUNGAY,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. YUNGAY,MUNICIPIO,,,"$59,999","$59,999",,"M$59,999",REVISAR,,ADMISIBLE,26-04-2019,// E1670/2019 ASIGNADO ANALISTA PARA REVISIÓN,ANÁLISIS.csv,2025-12-23T05:39:39.814531
30483171-2019,NO VIGENTE,2019,2019,30483171,0,"CONSTRUCCION LUMINARIAS LED DIVERSOS SECTORES, SAN FABIAN",PROYECTO,PUNILLA,SAN FABIAN,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. SAN FABIÁN,MUNICIPIO,,,"$28,088","$28,088",,"M$28,088",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.814580
30483172-2019,NO VIGENTE,2019,2019,30483172,0,"CONSTRUCCION DE POSTES SOLARES, LOS TORONJILES",PROYECTO,PUNILLA,SAN FABIAN,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. SAN FABIÁN,MUNICIPIO,,,"$57,861","$57,861",,"M$57,861",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.815025
30483468-2022,NO VIGENTE,2019,2022,30483468,0,"REPOSICION TOLVA Y RETRO. MANT. CAMINOS, ZONAS AFECTADAS INCENDIO",PROYECTO,ITATA,QUIRIHUE,EJECUCIÓN,C-33,,29,5,2,MUNICIP. QUIRIHUE,MUNICIPIO,,,"$156,827","$156,827",,"M$156,827",APRO CORE,,RS,11-06-2019,// APROBADO CORE POR CERTIFICADO 143 DEL 20-06-19 // INCLUIDO EN COMISION DEL 18-06-19 // ENVIADO A CORE POR ORD. 273 DEL 12-06-19 E3002/2019 // OFICIO DE ENVÍO A CORE PARA FIRMA 11-06-19 // RS DEL 11-06-19 INFORMADO POR CORREO MISMO DIA // POR ORD. 04 DE FE,ANÁLISIS.csv,2025-12-23T05:39:39.815135
30483470-2019,NO VIGENTE,2019,2019,30483470,0,"ADQUISICION CAMIÓN ALJIBE, DOTACIÓN AGUA FAMILIAS COMUNA DE QUIRIHUE",PROYECTO,ITATA,QUIRIHUE,EJECUCIÓN,C-33,,29,3,,MUNICIP. QUIRIHUE,MUNICIPIO,,,"$177,392","$177,392",,"M$177,392",NO RECOMEN,,INADMISIBLE,26-11-2018,"// INICIATIVA REPOSTULADA POR ORD. 946 DEL 10-10-19 E5362/2019 FUERA DE PLAZO, DERIVADO ANALISTA PARA PREPARA RESPUESTA A MUNICIPIO 14-10-19 // INICIATIVA POSTULADA AÑO 2019 REGION DE ÑUBLE CON CODIGO BIP BIO BIO, DEBE CREAR CODIGO BIP PARA ÑUBLE",ANÁLISIS.csv,2025-12-23T05:39:39.815389
30483516-2019,NO VIGENTE,2019,2019,30483516,0,"REPOSICION AMBULANCIA, CESFAM SANTA CLARA, COMUNA DE BULNES.",PROYECTO,DIGUILLIN,BULNES,EJECUCIÓN,C-33,,29,3,,MUNICIP. BULNES,MUNICIPIO,,,"$45,006","$45,006",,"M$45,006",RATIF CORE,,RS,,"// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO/ POR CONVENIO CON SALUD EXISTE INICIATIVA BIP 30466087 SIN EMBARGO, ESTE PROYECTO CUMPLE LA MISMA FINALIDAD.",ANÁLISIS.csv,2025-12-23T05:39:39.815439
30483692-2021,NO VIGENTE,2019,2021,30483692,0,NORMALIZACION ELECTRIFICACIÓN DOMIC. DIVERSOS SECTORES SAN CARLOS,PROYECTO,PUNILLA,SAN CARLOS,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. SAN CARLOS,MUNICIPIO,,,"$47,266","$47,266",,"M$47,266",CAMBIO AÑO PRESUPUESTARIO,,RS,07-11-2019,"// SE ENVÍA CORREO A JEFATURAS 08-11-19 INFORMANDO DE RS, A LA ESPERA DE INSTRUCCIONES // RS MIDESO DEL 07-11-19 // ADMISIBLE MIDESO ÑUBLE 23-01-19 / EN REVISIÓN MIDESO ORD. 32 DEL 11-01-19, CARGADO EN BIP 15-01-19 / EN REVISIÓN ANALISTA GORE / ANALISTAS ELI",ANÁLISIS.csv,2025-12-23T05:39:39.815594
30484010-2019,NO VIGENTE,2019,2019,30484010,0,AMPLIACION SISTEMA AGUA POTABLE RURAL BUENOS AIRES - LIUCURA COMUNA DE PORTEZUELO,PROYECTO,ITATA,PORTEZUELO,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. PORTEZUELO,MUNICIPIO,,,"$56,337","$56,337",,"M$56,337",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.815846
30484149-2019,NO VIGENTE,2019,2019,30484149,0,"CONSTRUCCION SEDE SOCIAL PLEAMAR, COMUNA DE COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. COELEMU,MUNICIPIO,,,"$59,200","$59,200",,"M$14,800",NO RECOMEN,,FI,30-12-2019,"// FORMULADOR INGRESA SUBSANACION DE OBSERVACIONES ORD 1142 E6997/2020 DEL 06-01-2020 DICHAS OBSERVACIONES NO SE REVISARAN DEBIDO A QUE FUERON INFORMADAS FUERA DE PLAZO//FI DEL 30-12-2019 SE ENVIA CORREO EL MISMO DIA//POR ORD. 997 DEL 22-11-19 INGRESADO AL GORE 26-11-19 E6069/2019 FORMULADOR INFORMA SUBSANACIÓN DE OBSERVACIONES, DERIVADO ANALISTA PARA REVISIÓN 26-11-19// POR CORREO DEL 06-11-19 FORMULADOR SOLICITA AUMENTO",ANÁLISIS.csv,2025-12-23T05:39:39.815990
30484180-2019,NO VIGENTE,2019,2019,30484180,0,"CONSTRUCCION SEDE SOCIAL ANFA, COMUNA DE COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. COELEMU,MUNICIPIO,,,"$59,800","$59,800",,"M$18,999",REVISAR,,ADMISIBLE,26-04-2019,// E1629/2019 ASIGNADO ANALISTA PARA REVISIÓN,ANÁLISIS.csv,2025-12-23T05:39:39.816097
30484444-2021,NO VIGENTE,2019,2021,30484444,0,"ACTUALIZACION PLAN DE DESARROLLO DE TURISMO, SAN FABIAN",ESTUDIO,PUNILLA,SAN FABIAN,EJECUCIÓN,MIDESO,,31,1,,MUNICIP. SAN FABIÁN,MUNICIPIO,,,"$23,901","$23,901",,"M$23,901",APRO CORE,,FI,30-12-2019,"// FI DEL 30-12-2019 MIDESO ÑUBLE//ADMISIBLE MIDESO 04-02-18 / ENVIADO A MIDESO ORD. 60 DEL 25-01-19, CARGADO EN BIP 28-01-19 / REINGRESADO POR ORD. 37 DEL 18-01-19 POR INSTRUCCIONES DE MIDESO MANTIENE CODIGO DE BIO BIO, EN REVISIÓN ANALISTA / REEMPLAZADO PR",ANÁLISIS.csv,2025-12-23T05:39:39.816183
30485752-2021,NO VIGENTE,2021,2021,30485752,0,"MEJORAMIENTO PLAZA PEDRO LAGOS MARCHANT, CHILLÁN",PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,MIDESO,Plazas/Parques,31,2,0,MUNICIP. CHILLÁN,MUNICIPIO,,,"$1,365,212","$1,365,212",,"M$455,071",,,FI,25-06-2021,OFICIO LISTO PARA SER ENVIADO POR ODD // DERIVADO A MARÍA JOSÉ PARA REVISIÓN,ANÁLISIS.csv,2025-12-23T05:39:39.816361
30485780-2020,NO VIGENTE,2019,2020,30485780,0,"MEJORAMIENTO ESPACIO PUBLICO, BANDEJON CENTRAL AVENIDA COLLIN, CHILLAN",PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. CHILLÁN,MUNICIPIO,,,"$677,101","$677,101",,"M$677,101",APRO CORE,,RS,27-08-2019,// APROBADO CORE POR CERTIFICADO 220 DEL 30-09-19 // EN COMISION CORE ÑUBLE 10-09-19 // PRESENTADO CORE ÑUBLE POR OFICIO 378 DEL 30-08-19 E4516/2019 // OFICIO DE ENVÍO A CORE POR INTENDENTE PARA VISACIÓN JEFE DIPLADE 27-08-19 // ENVIADO A MIDESO POR ORD. 217,ANÁLISIS.csv,2025-12-23T05:39:39.816530
30485888-2020,NO VIGENTE,2019,2020,30485888,0,"CONSTRUCCION PUENTE Y CALZADA PONIENTE EN AV. BRASIL, CHILLAN",PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. CHILLÁN,MUNICIPIO,,,"$53,895","$53,895",,"M$53,895",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.816659
30487416-2020,VIGENTE,2020,2020,30487416,0,ADQUISICIÓN EQUIPOS DE URGENCIA HOSPITAL DE SAN CARLOS,PROYECTO,PUNILLA,SAN CARLOS,EJECUCIÓN,TRANSFERENCIA,,33,2,3,S.SALUD ÑUBLE,SECTORIAL / OTRO,,,"$75,026","$75,026",,"M$75,026",,,RS,03-04-2020,"// APROBADO CORE SEGÚN CERTIFICADO 114 DEL 07-05-20 ENVIADO POR CORREO 08-05-20// APROBADO EN SESION 06-05-20// E8922/2020 ENVIADO A CORE POR ORD. 298 DEL 27-04-02, ENVIADO POR CORREO A SEC. EJECUTIVO 27-04-20// SE APRUEBA TRANSFERENCIA DE CAPITAL A SSÑ POR DECRETO 508 DEL 03,04,20 DE DIPRES// POSTULADA EN SITUACIÓN DE EMERGENCIA COVID-19 POR CORREO DE RAUL MOLINA 20-03-20",ANÁLISIS.csv,2025-12-23T05:39:39.816747
30487419-2020,NO VIGENTE,2019,2020,30487419,0,REPOSICION CAMILLAS DE URGENCIA Y OTRAS AREAS CLINICAS HOSPITAL DE SAN CARLOS,PROYECTO,PUNILLA,SAN CARLOS,EJECUCIÓN,C-33,,29,5,,S.SALUD ÑUBLE,SECTORIAL / OTRO,,,"$39,603","$39,603",,"M$39,603",APRO CORE,,RS,26-06-2019,// APROBADO CORE SEGÚN CERTIFICADO 164 DEL 30-07-19 E3969/2019// PRESENTADO CORE POR ORD. 293 DEL 03-07-19 E3394/2019// OFICIO DE ENVIA A CORE PARA FIRMA JEFE DIPLADE 02-07-19 // RS DEL 26-06-19 INFORMADO POR CORREO MISMO DIA // FI DEL 24-06-19 INFORMADO POR,ANÁLISIS.csv,2025-12-23T05:39:39.816821
30488514-2022,VIGENTE,2022,2022,30488514,0,PROSPECCION GEOFÍSICA EN SECTOR RURAL DÉFICIT HÍDRICO VALLE DEL ITATA II,ESTUDIO,REGIONAL,REGIONAL,EJECUCIÓN,MIDESO,RECURSOS HÍDRICOS,31,1,,MOP-DGA,SECTORIAL / OTRO,MOP-DGA,,"M$115,547","M$115,547","M$115,547",M$510,INGRESADO A PREINVERSIÓN,,FI,25-08-2022,MIDESO: OF N°955,ANÁLISIS.csv,2025-12-23T05:39:39.816893
30488808-2019,NO VIGENTE,2019,2019,30488808,0,"MEJORAMIENTO CAMINO BASICO INTERMEDIO RUTA O-14-N,SECTOR CRUCE RUTA126-VEGAS DE ITATA,COELEMU",PROYECTO,ITATA,COELEMU,DISEÑO,MIDESO,,31,2,,MOP-VIALIDAD,SECTORIAL / OTRO,,,"$276,785","$276,785",,"M$42,088",REEMPL,,RS,02-01-2019,// CERTIFICADO N° 258 DEL 03-06-2019 NO FUE INGRESADO A CORE//POR INSTRUCCIONES DE DIVISIÓN INICIATIVA QUEDA NO PRIORIZADA PARA CORE 01-07-19 // RETIRADO DE CORE POR ORD. 258 DEL 03-06-19 E2801/2019 // ORDINARIO PARA RETIRO DE CORE PARA FIRMA 03-06-19 // ENVIADO A CORE POR ORD. 191 DEL 10-05-19 E2358/2019 // PARA FI,ANÁLISIS.csv,2025-12-23T05:39:39.817006
30488897-2019,NO VIGENTE,2019,2019,30488897,0,ADQUISICION EQUIPAMIENTO Y COMPLEMENTACIÓN DE ESTACIONES DE MEDICION EN CUENCA RIO,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,,29,4,,MOP DGA,SECTORIAL / OTRO,,,"$278,985","$278,985",,"M$278,985",NO RECOMEN,,INADMISIBLE,22-01-2019,// INADMISIBLE INFORMADO POR CORREO DEL 22-01-19 / EN REVISIÓN ANALISTA,ANÁLISIS.csv,2025-12-23T05:39:39.817081
30488902-2019,NO VIGENTE,2019,2019,30488902,0,"ACTUALIZACION PLAN DE DESARROLLO COMUNAL, TREHUACO 2019-2023",ESTUDIO,ITATA,TREHUACO,EJECUCIÓN,MIDESO,,31,1,,MUNICIP. TREHUACO,MUNICIPIO,,,"$41,906","$41,906",,"M$13,968",REV MDS,,FI,25-11-2019,"// POR ORD. 289 DEL 27-06-19 E3276/2019 SE ENVÍA A REVISIÓN MIDESO, CARGADO EN BIP 01-07-19 // OFICIO DE ENVÍO A MIDESO PARA FIRMA JEFE DIPLADE 21-06-19 // REPOSTULADO POR ORD. 171 DEL 30-04-19 E2226/2019, POR PRIORIZAR Y ASIGNAR ANALISTA // POR MEDIO DE ORD",ANÁLISIS.csv,2025-12-23T05:39:39.817153
40000280-2019,NO VIGENTE,2019,2019,40000280,0,CONSTRUCCION PARQUE DE MITIGACION COSTERO SECTOR PERALES COMUNA DE COELEMU,PROYECTO,ITATA,COELEMU,EJECUCIÓN,MIDESO,,31,,,MUNICIP. COELEMU,MUNICIPIO,,,"$642,448","$642,448",,"M$285,000",REVISAR,,,,"// POR ORD. 351 DEL 29-04-19 E2194/2019 FORMULADOR REPOSTULA INICIATIVA, PENDIENTE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA // INADMISIBLE INFORMADO POR ORD. 46 DEL 14-02-19 E855/2019 // E692/2019 DERIVADO ANALISTA PARA REVISIÓN",ANÁLISIS.csv,2025-12-23T05:39:39.817271
40000294-2019,NO VIGENTE,2019,2019,40000294,0,ACTUALIZACION PLAN REGULADOR COMUNAL SAN FABIAN,ESTUDIO,PUNILLA,SAN FABIAN,EJECUCIÓN,MIDESO,,31,1,,MUNICIP. SAN FABIÁN,MUNICIPIO,,,"$178,017","$178,017",,"M$29,342",REV MDS,,FI,19-02-2019,"// ADMISIBLE MIDESO ÑUBLE 05-02-19 / ENVIADO A MIDESO ORD. 59 DEL 25-01-19, CARGADO EN BIP 28-01-19 / REINGRESADO POR ORD. 38 DEL 18-01-19 DE ACUERDO A INSTRUCCIONES DE MIDESO, EN REVISIÓN ANALISTA / INADMISIBLE COMITÉ N°9 GORE ÑUBLE DEL 19-12-18 / EXISTENTE",ANÁLISIS.csv,2025-12-23T05:39:39.817341
40000440-2020,NO VIGENTE,2020,2020,40000440,0,"CONSTRUCCION UNIDAD HOSPITALIZACION CUIDADOS INTENSIVOS EN PSIQUIATRIA, HOSPITAL SAN CARLOS",PROYECTO,PUNILLA,SAN CARLOS,DISEÑO,MIDESO,,31,0,0,S.SALUD ÑUBLE,SECTORIAL / OTRO,,,"$25,633","$25,633",,"M$25,633",,,ADMISIBLE,09-03-2020,"// ADMISIBLE MIDESO 09-03-20 // E8237/2020 ENVIADO A MIDESO PARA REVISIÓN, CARGADO EN BIP MISMO DIA// ENTREGADO A JAVIER PARRA POR MANO PARA FIRMA INTENDENTE 25-02-20// SE ENVIA CORREO A FORMULADOR 14-02-20 PARA SUBSANAR OBSERVACIONES// SE ENVÍA CORREO A FORMULADOR 12-02-20 PARA SUBSANAR OBSERVACIONES // E7684/2020 SE INFORMA POSTULACIÓN POR CORREO A JEFES DIVISION 10-02-20 PARA DETERMINAR PRIORIZACIÓN",ANÁLISIS.csv,2025-12-23T05:39:39.817757
40000962-2019,NO VIGENTE,2019,2019,40000962,0,"ADQUISICION MOBILIARIO ORGANIZACIONES SOCIALES, ASOC. PUNILLA",PROYECTO,PUNILLA,PUNILLA,EJECUCIÓN,C-33,,29,4,,ASOCIACIÓN PUNILLA,MUNICIPIO,,,"$44,688","$44,688",,"M$44,688",REEMPL,,INADMISIBLE,12-12-2018,// SE INGRESA POR ORD. 96/2018 PROYECTO CODIGO 40010256 CON EL MISMO NOMBRE / EXISTENTE; INICIATIVA NO FINANCIABLE POR LINEAMIENTOS C-33,ANÁLISIS.csv,2025-12-23T05:39:39.818018
40001094-2019,NO VIGENTE,2019,2019,40001094,0,REPOSICION RETROEXCAVADORA PARA LA COMUNA DE SAN IGNACIO,PROYECTO,DIGUILLIN,SAN IGNACIO,EJECUCIÓN,C-33,,29,5,2,MUNICIP. SAN IGNACIO,MUNICIPIO,,,"$68,783","$68,783",,"M$68,783",APRO CORE,,RS,26-08-2019,// APROBADO CORE POR CERTIF. 207 DEL 10-09-19 // ENVIADO A CORE POR ORD. 371 DEL 28-08-19 E4453/2019// OFICIO DE INTENDENTE A CORE PARA VISACIÓN JEFE DIPLADE 26-08-19 // RS DEL 26-08-19 INFORMADO POR CORREO MISMO DIA // SE ENVÍA CORREO 19-08-19 A FORMULADOR,ANÁLISIS.csv,2025-12-23T05:39:39.818236
40001113-2019,NO VIGENTE,2019,2019,40001113,0,"ADQUISICION CLINICA DENTAL MOVIL, COMUNA DE SAN IGNACIO",PROYECTO,DIGUILLIN,SAN IGNACIO,EJECUCIÓN,C-33,,29,3,,MUNICIP. SAN IGNACIO,MUNICIPIO,,,"$85,502","$85,502",,"M$85,502",APRO CORE,,RS,24-04-2019,"// APROBADO CORE SEGÚN CERTIFICADO 96 DEL 17-05-19 E2541/2019// ENVIADO A CORE POR ORD. 165 DEL 25-04-19 E2082/2019 // RS DEL 24-04-19 INFORMADO POR CORREO MISMO DIA // POR ORD. 253 DEL 22-04-19 E2038/2019 FORMULADOR INFORMA SUBSANACIÓN DE OBSERVACIONES, DER",ANÁLISIS.csv,2025-12-23T05:39:39.818290
40001263-2019,NO VIGENTE,2019,2019,40001263,0,REPOSICIÓN CUARTEL DE LA PRIMERA Y SEGUNDA COMPAÑÍA DE BOMBEROS DE COIHUECO,PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,,31,2,,MUNICIP. COIHUECO,MUNICIPIO,,,"$54,999","$54,999",,"M$54,999",NO RECOMEN,,INADMISIBLE,28-02-2019,// SE INFORMA INADMISIBLE MEDIANTE ORD. 72 DE FECHA 28-02-19 E1080/2019 // DEBE REINGRESAR CON CODIGO BIP NUEVO E INDICAR CODIGO DE MIGRACIÓN BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.818342
40001573-2020,NO VIGENTE,2019,2020,40001573,0,"REPOSICION DE CENTRO DE SALUD FAMILIAR (CESFAM) DE SAN GREGORIO, COMUNA ÑIQUEN",PROYECTO,PUNILLA,ÑIQUÉN,DISEÑO,MIDESO,,31,2,,MUNICIP. ÑIQUÉN,MUNICIPIO,,,"$230,919","$230,919",,"M$155,395",APRO CORE,,RS,08-11-2019,// APROBADO CORE POR  CERTIFICADO 253 DEL 06-12-19//APROBADO EN SESION CORE 20-11-19 // EN COMISION CORE 19-11-19 // ENVIADO A CORE POR ORD. 432 DEL 14-11-19 E5911/2019// MEMO 53 DEL 13-11-19 E5865/2019 DE JEFE DIPLADE A INTENDENTE CON OFICIO PARA SU FIRMA Y,ANÁLISIS.csv,2025-12-23T05:39:39.818395
40001778-2020,NO VIGENTE,2019,2020,40001778,0,ADQUISICION MICROSCOPIO NEUROCIRUGÍA DEL HOSPITAL CLÍNICO HERMINDA MARTIN,PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,C-33,,29,5,,S.SALUD ÑUBLE,SECTORIAL / OTRO,,,"$285,267","$285,267",,"M$285,267",APRO CORE,,RS,26-06-2019,// APROBADO CORE SEGÚN CERTIFICADO 163 DEL 30-07-19 E3969/2019// PRESENTADO CORE POR ORD. 293 DEL 03-07-19 E3394/2019// OFICIO DE ENVIO A CORE PARA FIRMA JEFE DIPLADE 02-07-19 // RS DEL 26-06-19 INFORMADO POR CORREO MISMO DIA // POR CORREO DEL 25-06-19 FORMU,ANÁLISIS.csv,2025-12-23T05:39:39.818446
