TRAZO PRIMARIO,TRAZO SECUNDARIO,NOMBRE DE INICIATIVA,DIVISIÓN,BIP,COMUNA,"CONTRAPARTE TÉCNICA EXTERNA 
(NOMBRE.,  CARGO, CORREO, TELEFONO)","RESPONSABLE SEGUIMIENTO GORE
(NOMBRE.,  CARGO, CORREO, TELEFONO)",ESTADO,ETAPA A LA CUAL POSTULA,FORMULADOR,UNIDAD TÉCNICA,FUENTE FINANCIERA,ESTADO FINANCIERO,MONTO,HITO,MEDIDA,UNIDAD,ENE-MAR 2026,MAR-JUN 2026,JUN-SEP 2026,SEP-DIC 2026,ENE-MAR 2027,MAR-JUN 2027,JUN-SEP 2027,SEP-DIC 2027,ENE-MAR 2028,MAR-JUN 2028,JUN-SEP 2028,SEP-DIC 2028,2029  Y MÁS,FECHA DE INICIO,FECHA DE TERMINO,OBSERVACIÓN,ACCIÓN
ROJO,,MEJORAMIENTO RUTA INTERCOMUNAL DE SECANO INTERIOR DE ÑUBLE - ETAPA I - NINHUE PORTEZUELO,SECTORIAL,40025508-0 ,"NINHUE, PORTEZUELO",,,RS,EJECUCIÓN,MOP - VIALIDAD,MOP - VIALIDAD,MOP - VIALIDAD,FINANCIADO,$ 24.617.374,INAUGURACIÓN,35,KM,,,,,,,,,,,,,,,,,
ROJO,CELESTE,ESTUDIO TRANVIA PLAN INFRAESTRUCTURA,DIT,Sin información,"CHILLAN, CHILLÁN VIEJO",,,,,,,,,Sin información,,,DINERO,,,,,,,,,,,,,,,,,
ROJO,,"MEJORAMIENTO RUTA N-66-O SAN IGNACIO DE PALOMARES - RAFAEL, ÑUBLE",SECTORIAL,30451323-0,RANQUIL,,,RS,EJECUCIÓN,MOP - VIALIDAD,MOP - VIALIDAD,MOP - VIALIDAD,FINANCIADO,$19.038.608,INICIO OBRA,17,KM,,,,,,,,,,,,,,,,,
ROJO,,ESTUDIO DE PREFACTIBILIDAD ACCESO NORTE CHILLÁN-CONCEPCIÓN,SECTORIAL,40059754-0,"CHILLAN, CHILLÁN VIEJO",,,RS,PREFACTIBILIDAD ,,,,FINANCIADO,1.071.425,RESULTADO,,,,,,,,,,,,,,,,,,,
ROJO,,PLAN DE CONECTIVIDAD DIGITAL ,DIT,Sin información,,,Ricardo Pavez,,,,,,,Sin información,,,,,,,,,,,,,,,,,,,,
ROJO,,PLAN MAS MOVILIDAD (CON SECTRA),DIT,Sin información,,,Cristian Haquin,,,,,,,Sin información,,,,,,,,,,,,,,,,,,,,
BLANCO,ROJO,TRANSFERENCIA FONDO DE DESARROLLO DE LAS TELECOMUNICACIONES FIBRA OPTICA ÑUBLE - ÚLTIMA MILLA,DIT,40033167-0,,,Cristian Haquin,RS,EJECUCIÓN,GORE,SUBSECRETARIA DE TELECOMUNICACIONES,GORE - FNDR,FINANCIADO,"$8,201,347",INAGURACIÓN,591,KM,,,,,,,,,,,,,,,,TRONCAL ,
CAFÉ,,"PILOTOS EN PROCESOS LOGÍSTICOS PARA LA TRANSFERENCIA DE UN HUB
LOGISTICO 2.0 (siguiente etapa)
",DIFOI,Sin información,CHILLÁN VIEJO,,Carmen Navarrete,RS,EJECUCIÓN,,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,Definir siguiente paso,
CAFÉ,,"TRANSFERENCIA FORTALECIMIENTO Y ATRACCIÓN DE INVERSIONES PRODUCTIVAS
DE BASE TECNOLOGIA - IFI  M",DIFOI,40021028-0,,,Elias Jara,,EJECUCIÓN,,,,FINANCIADO,"3,774,641",,,,,,,,,,,,,,,,,,,Inauguración de Plantas,
CAFÉ,,"TRANSFERENCIA REACTIVACIÓN Y 
TRANSFORMACIÓN ECONÓMICA DE LAS MI PYMES DE LA REGIÓN DE ÑUBLE",DIFOI,40048669-0,,,Abraham Aburto,,EJECUCIÓN,,,,FINANCIADO,"14,798,058",,,,,,,,,,,,,,,,,,,,
CAFÉ,,INDUSTRIALIZACIÓN DE LA MADERA (DIT),DIT,Sin información,,,Yesmin Aravena,,,,,,,Sin información,,,,,,,,,,,,,,,,,,,,
CAFÉ,,CONSTRUCCION NUEVO ACCESO NORTE FERROVIARIO A CONCEPCION,DIPLADE,40059754-0,CHILLÁN VIEJO,,,RS,PREFACTIBILIDAD ,,,,FINANCIADO,$1.563.008,RESULTADO,,DINERO,,,,,,,,,,,,,,,,,
CAFÉ,,BARRIOS COMERCIALES SERCOTEC,DIFOI,Sin información,"CHILLAN, SAN FABIÁN, SAN NICOLAS",,Elias Jara,RS,EJECUCIÓN,,,,FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
CAFÉ,,LABORATORIO DE VINO CERTIFICAR VINOS SELLO DE CALIDAD,DIFOI,Sin información,,,Demy Olmos,,,,,,FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
CAFÉ,,PER - ENTREGA DE HOJA DE RUTA CORFO,DIFOI,Sin información,,,Abraham Aburto,,,,,,FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
NARANJA,,TRANSFERENCIA IMPULSO A LA ELECTROMOVILIDAD EN LA REGIÓN DE ÑUBLE (MI TAXI ELECTRICO + DESPLIEGUE INFRA CARGA PÚBLICA+CAPACITACIÓN),DIT,40074685-0,"CHILLAN, CHILLÁN VIEJO, BULNES, SAN CARLOS",,Ricardo Pavez,,EJECUCIÓN,,,,FINANCIADO,"$2,576,578",,,,,,,,,,,,,,,,,,,VEHICULOS ADQUIRIDOS,
NARANJA,,RENUEVA TU MICRO (INCENTIVO A BUSES ELECTRICOS) ,DIT,Sin información,BULNES,,Cristian Haquin,,,,,,,Sin información,,,,,,,,,,,,,,,,,,,MICROS POR AÑO,
NARANJA,,PRE FACTIBILIDAD ELECTRO TERMINAL ,DIT,Sin información,"CHILLÁN VIEJO, CHILLAN",,Cristian Haquin,,,,,,,Sin información,,,,,,,,,,,,,,,,,,,PRE FACTIBILIDAD,
NARANJA,,CARTERA FAR,DIT,Sin información,"CHILLÁN VIEJO, CHILLAN",,Cristian Haquin,,,,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,HITO ENTREGA DE ESTUDIO,
NARANJA,,BICICLETAS ELECTRICAS (ESTUDIO) ,DIPLADE,Sin información,"CHILLÁN VIEJO, CHILLAN",,,EN FORMULACIÓN,PREFACTIBILIDAD ,,,GORE - FNDR,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
NARANJA,,PROGRAMA DE ADAPTACIÓN DE LA BICICLETA,DIT,Sin información,,,Cristian Haquin,EN FORMULACIÓN,EJECUCIÓN,,,,,Sin información,,,,,,,,,,,,,,,,,,,,
VERDE,,INVERSIÓN TECNOLÓGICA EN PRODUCCIÓN LIMPIA (PANADEROS),DIFOI,40050712-0,,,Carolina Rodriguez,,EJECUCIÓN,CORFO,CORFO,GORE - FNDR,FINANCIADO,"256,139",INAUGURACIÓN,,,,,,,,,,,,,,,,,,INAGURACIÓN,
VERDE,,"TRANSFERENCIA FRUTICULTURA SOSTENIBLE Y RESILIENTE AL CAMBIO CLIMATICO PARA LA
REGION DE ÑUBLE",DIFOI,40048139-0,,,Demy Olmos,,EJECUCIÓN,INIA ÑUBLE,INIA ÑUBLE,GORE - FNDR,FINANCIADO,"2,693,780",,,,,,,,,,,,,,,,,,,POR DEFINIR,
VERDE,,TRANSFERENCIA PROGRAMA APL VALLE DEL ITATA DESARROLLO VITIVINICOLA SUSTENTABLE,DIFOI,40032465-0,,,Carolina Rodriguez,,EJECUCIÓN,CORFO,CORFO,GORE - FNDR,FINANCIADO,"45,393",,,,,,,,,,,,,,,,,,,POR DEFINIR,
VERDE,,CONVENIO CON CORFO (DIFOI) ,DIFOI,Sin información,,,Carmen (Jefa),,EJECUCIÓN,CORFO,CORFO,GORE - FNDR,FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,POR DEFINIR,
VERDE,,RECONVERTIR EDIFICIOS PUBLICOS A ENERGIA FOTOVOLTAICA (DIPLADE),Ñ250,Sin información,CHILLAN,,,IDEA,EJECUCIÓN,GORE,GORE,GORE - FNDR,NO FINANCIADO,Sin información,INAGURACIÓN,,,,,,,,,,,,,,,,,,,
VERDE,CAFÉ,FLORA MIELIFERA,DIFOI,Sin información,,,Héctor Basualto,,,,,,FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
VIOLETA,,CONSTRUCCION CANCHA CENTRO RECREATIVO MUNICIPAL JOSÉ PEDRO HADI COMUNA DE QUIRIHUE,DIDESOH,40047232-0,QUIRIHUE,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,657 ",INAUGURACIÓN,4.6780,M2,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA DE FUTBOL EN PASTO SINTETICO ANFA, VILLA EL PROGRESO, COMUNA DE BULNES",DIDESOH,40048490-0,BULNES,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,818 ",INAUGURACIÓN,"5,664",M2,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,CONSTRUCCION CANCHA DE FUTBOL SECTOR GENERAL CRUZ COMUNA DE PEMUCO,DIDESOH,40048158-0,PEMUCO,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,720 ",INAUGURACIÓN,"6,468",M2,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA DE FUTBOL SECTOR LAJUELAS, COMUNA DE SAN NICOLÁS",DIDESOH,40038617-0,SAN NICOLAS,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 469,671 ",INAUGURACIÓN,"5,225",M2,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA DE FUTBOL SECTOR LAS ARBOLEDAS, SAN CARLOS",DIDESOH,40047370-0,SAN CARLOS,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,574 ",INAUGURACIÓN,"6,534",M2,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA DE FUTBOL, SAN IGNACIO PALOMARES COMUNA DE RÁNQUIL",DIDESOH,40048087-0,RANQUIL,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 393,878 ",INAUGURACIÓN,"6,336",M2,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA DE FUTBOL, SECTOR HUALTE, COMUNA DE NINHUE",DIDESOH,40059771-0,NINHUE,,,,DISEÑO,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 31,000 ",INAUGURACIÓN,"4,704",M2,,,,,,,,,,,,,,,,Término Diseño,
VIOLETA,,"CONSTRUCCION CANCHA DE PASTO SINTETICO MARIANO EGAÑA, CHILLAN VIEJO",DIDESOH,40048786-0,CHILLÁN VIEJO,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,818 ",INAUGURACIÓN,"5,856",M2,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA DE PASTO SINTETICO PARQUE SUR, COMUNA DE EL CARMEN",DIDESOH,40049932-0,EL CARMEN,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,816 ",INAUGURACIÓN,"6,175",M2,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA DE PASTO SINTETICO SECTOR LLAHUEN, COMUNA DE PORTEZUELO",DIDESOH,40049625-0,PORTEZUELO,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 451,102 ",INAUGURACIÓN,"4,606",M2,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA PASTO SINTETICO CLUB DEPORTIVO UNION, ANFA, CHILLAN",DIDESOH,40047896-0,CHILLAN,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 453,826 ",INAUGURACIÓN,"6,705",,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA PASTO SINTÉTICO Y CIERRE PERIMETRAL SECTOR ÑIQUÉN ESTACIÓN, ÑIQUÉN",DIDESOH,40049560-0,ÑIQUÉN,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,819 ",INAUGURACIÓN,"6,534",,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA PASTO SINTÉTICO Y CIERRE PERIMETRAL SECTOR PULLAY, COMUNA DE COBQUECURA",DIDESOH,40049545-0,COBQUECURA,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,256 ",INAUGURACIÓN,"5,320",,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA PASTO SINTÉTICO Y CIERRE PERIMETRAL, CERRO NEGRO, COMUNA DE QUILLÓN",DIDESOH,40047722-0,QUILLÓN,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,781 ",INAUGURACIÓN,"7,420",,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA PASTO SINTÉTICO Y CIERRE PERIMETRAL, SECTOR COYANCO, COMUNA DE NINHUE.",DIDESOH,40045787-0,NINHUE,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,663 ",INAUGURACIÓN,"6,032",,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA PASTO SINTETICO, SECTOR EL RINCON, COMUNA DE NINHUE",DIDESOH,40052652-0,NINHUE,,,,DISEÑO,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 30,527 ",INAUGURACIÓN,"5,625",,,,,,,,,,,,,,,,,Término Diseño,
VIOLETA,,"CONSTRUCCION CARPETA PASTO SINTETICO Y CIERRE PERIMETRAL CANCHA DE RECINTO, COMUNA DE PINTO",DIDESOH,30480687-0,PINTO,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 414,159 ",INAUGURACIÓN,"5,225",,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION DE CANCHA PASTO SINTETICO Y CIERRE PERIMETRAL, SECTOR GUARILIHUE, COELEMU",DIDESOH,40045061-0,COELEMU,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,315 ",INAUGURACIÓN,"6,397",,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"REPOSICION CANCHA DE FUTBOL CALLE ALEGRE, COMUNA DE SAN IGNACIO",DIDESOH,40049475-0,SAN IGNACIO,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,819 ",INAUGURACIÓN,"6,267",,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"REPOSICION CANCHA DE FUTBOL TALQUIPEN, COMUNA DE COIHUECO",DIDESOH,40045447-0,COIHUECO,,,,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 409,819 ",INAUGURACIÓN,,,,,,,,,,,,,,,,,,Inauguración,
VIOLETA,,"CONSTRUCCION CANCHA  DE PASTO SINTETICO PASO ANCHO, COMUNA DE SAN FABIAN",DIDESOH,40049459-0,SAN FABIAN,,,,,,MUNICIPALIDAD,GORE - FNDR,FINANCIADO,409.668,INAUGURACIÓN,,,,,,,,,,,,,,,,,,,
VIOLETA,,CONSTRUCCIÓN COMPLEJO DEPORTIVO FEDERICO PUGA,SECTORIAL,40066394-0,CHILLAN,,,EN FORMULACIÓN,DISEÑO,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,NO FINANCIADO," $ 1,500,000 ",ENTREGA DISEÑO,"12,435",M2,,,,,,,,,,,,,,,,Por Definir,
VIOLETA,,REPOSICION CENTRO DE SALUD FAMILIAR SAN FABIAN DE ALICO,DIPLADE,30202824-0,SAN FABIÁN,,,EN FORMULACIÓN,EJECUCIÓN,MUNICIPALIDAD,,GORE - FNDR,NO FINANCIADO," $ 5,439,519 ",INAUGURACIÓN,"1,510.0",M2,,,,,,,,,,,,,,,,,
VIOLETA,,"REPOSICION CENTRO DE SALUD FAMILIAR, COMUNA DE PINTO",DIPLADE,40010038-0,PINTO,,,RS,EJECUCIÓN,MUNICIPALIDAD,,GORE - FNDR,FINANCIADO," $ 7,485,805 ",INAGURACIÓN,"1,766",M2,,,,,,,,,,,,,,,,,
VIOLETA,,"REPOSICION CESFAM FEDERICO PUGA BORNE, CHILLAN VIEJO",DIPLADE,30119286-0,CHILLÁN VIEJO,,,RS,EJECUCIÓN,MUNICIPALIDAD,,GORE - FNDR,FINANCIADO," $ 8,810,573 ",INAGURACIÓN,"2,669",M2,,,,,,,,,,,,,,,,,
VIOLETA,,"REPOSICION CON RELOCALIZACION CESFAM DE SANTA CLARA, BULNES",DIPLADE,30133087-0,BULNES,,,RS,DISEÑO,MUNICIPALIDAD,,GORE - FNDR,FINANCIADO," $ 102,064 ",ENTREGA DISEÑO,"1,469",M2,,,,,,,,,,,,,,,,,
VIOLETA,,CONSERVACION HOSPITAL HERMINDA MARTÍN DE CHILLÁN,DIPLADE,40026156-0,CHILLAN,,,RE EVALUACIÓN ,EJECUCIÓN,GORE,SSÑ,GORE - FNDR,FINANCIADO," $ 813,791 ",INAGURACIÓN,"9,212",M2,,,,,,,,,,,,,,,,,
VIOLETA,,REPOSICIÓN CESFAM DE SAN GREGORIO COMUNA DE ÑIQUÉN,DIPLADE,40001573-0,ÑIQUÉN,,,,EJECUCIÓN,SSÑ,SSÑ,SSÑ,NO FINANCIADO," $ 5,543,404 ",INAGURACIÓN,,,,,,,,,,,,,,,,,,,
VIOLETA,,REPOSICION CENTRO DE SALUD FAMILIAR Y SAR D. TRUJILLO SAN CARLOS,DIPLADE,30095442-0,SAN CARLOS,,,RS,EJECUCIÓN,SSÑ,SSÑ,SSÑ,FINANCIADO," $ 12,369,681 ",INAGURACIÓN,"3,077",M2,,,,,,,,,,,,,,,,,
VIOLETA,,REPOSICION CENTRO DE SALUD FAMILIAR Y SAR ULTRAESTACIÓN CHILLAN,DIPLADE,30096105-0,CHILLAN,,,,EJECUCIÓN,SSÑ,SSÑ,SSÑ,," $ 457,579 ",INAGURACIÓN,,,,,,,,,,,,,,,,,,,
VIOLETA,,"REPOSICION CENTRO DE SALUD FAMILIAR, COMUNA DE PORTEZUELO",DIPLADE,30480963-0,PORTEZUELO,,,RS,EJECUCIÓN,SSÑ,SSÑ,SSÑ,FINANCIADO," $ 5,464,437 ",INAGURACIÓN,"1,362",M2,,,,,,,,,,,,,,,,,
VIOLETA,,CONSTRUCCIÓN CENTRO DE SALUD MENTAL CORDILLERA COMUNA DE COIHUECO,DIPLADE,40046956-0,COIHUECO,,,RS,EJECUCIÓN,SSÑ,SSÑ,SSÑ,FINANCIADO," $ 4,935,347 ",INAGURACIÓN,"1,374",,,,,,,,,,,,,,,,,,
VIOLETA,,"REPOSICION CENTRO DE SALUD FAMILIAR, DE ÑIPAS COMUNA DE RANQUIL",DIPLADE,40027039-0,RANQUIL,,,EN FORMULACIÓN,EJECUCIÓN,SSÑ,SSÑ,MINSAL,NO FINANCIADO," $ 6,000,000 ",INAGURACIÓN,,,,,,,,,,,,,,,,,,,
VIOLETA,,REPOSICIÓN POSTAS RED DE ATENCION PRIMARIA SSÑ ,DIPLADE,Sin información,,,,,EJECUCIÓN,,,,NO FINANCIADO," $ 4,000,000 ",INAGURACIÓN,,,,,,,,,,,,,,,,,,,
VIOLETA,,PREFACTIBILIDADES HOSPITALES (5 HOSPITALES),DIPLADE,Sin información,"BULNES, COELEMU, EL CARMEN, YUNGAY, QUIRIHUE",,,RS,PREFACTIBILIDAD ,,,GORE - FNDR,FINANCIADO,Sin información,RESULTADO,,,,,,,,,,,,,,,,,,,
VIOLETA,,REPOSICION CUARTEL CUERPO DE BOMBEROS DE LA COMUNA DE TREHUACO ,DIPIR,40029660-0,TREHUACO,,E. DOMINGUEZ,RS,EJECUCIÓN,MUNICIPALIDAD,,GORE - FNDR,FINANCIADO,"$1,794,654",INAUGURACIÓN,640,M2,,,,,,,,,,,,,,,,,
VIOLETA,,REPOSICION CUARTEL DE BOMBEROS 5° COMPAÑIA DE CHILLAN,DIT,40013760-0,CHILLAN,,Nicolas Lara,RS,EJECUCIÓN,,,GORE - FNDR,FINANCIADO,"$1,739,723",INAGURACIÓN,623,M2,,,,,,,,,,,,,,,,,
VIOLETA,,REPOSICION CUARTEL DE BOMBEROS COMUNA DE NINHUE,DIPLADE,40038287-0,NINHUE,,,RS,DISEÑO,,,GORE - FNDR,FINANCIADO," $ 97,740 ",ENTREGA DISEÑO,600,M2,,,,,,,,,,,,,,,,,
VIOLETA,AMARILLO,"REPOSICION  EDIFICIO CONSISTORIAL, EL CARMEN",DIPIR,30132719-0,EL CARMEN,,C. JUNGJOHANN,RS,EJECUCIÓN,,,"GORE - FNDR, SUBDERE",FINANCIADO," $ 11,434,762 ",INAUGURACIÓN,"3,196",M2,,,,,,,,,,,,,,,,,
VIOLETA,AMARILLO,REPOSICION LICEO A-17 COMUNA DE YUNGAY,DIPIR,30386411-0,YUNGAY,,C. JUNGJOHANN,RS,EJECUCIÓN,,,"GORE - FNDR, SUBDERE",FINANCIADO," $ 17,003,303 ",INAUGURACIÓN,"6,143",M2,,,,,,,,,,,,,,,,,
VIOLETA,,"REPOSICION TOTAL ESCUELA FELIPE CUBILLOS SIGAL, COMUNA DE COELEMU",DIPIR,40021911-0,COELEMU,,E. DOMINGUEZ,RS,EJECUCIÓN,,,GORE - FNDR,FINANCIADO," $ 1,442,757 ",INAUGURACIÓN,"1,066",M2,,,,,,,,,,,,,,,,,
VIOLETA,,"CONSERVACION ESCUELA VILLA JESUS DE COELEMU, COMUNA DE COELEMU",DIDESOH,40034891-0,COELEMU,,,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO,"$573,103",INAUGURACIÓN,"4,170",M2,,,,,,,,,,,,,,,,,
VIOLETA,,"CONSERVACION LICEO TEUQUILEMU, COMUNA DE ÑIQUEN",DIDESOH,40062106-0,ÑIQUÉN,,,,EJECUCIÓN,MINEDUC,MINEDUC,MINEDUC,FINANCIADO,"$608,227",INAUGURACIÓN,926,M2,,,,,,,,,,,,,,,,,
VIOLETA,,"REPOSICION RETÉN DE CARABINEROS ÑIPAS, COMUNA DE RÁNQUIL ",DIPLADE,40027510-0,RANQUIL,,,RS,DISEÑO,CARABINEROS,MOP - DA,GORE - FNDR,FINANCIADO,"$95,977",ENTREGA DISEÑO,796,M2,,,,,,,,,,,,,,,,,
VIOLETA,,REPOSICION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO (ELEAM),DIPIR,20119065-0,SAN IGNACIO,,C. JUNGJOHANN,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 3,044,401 ",INAUGURACIÓN,927,M2,,,,,,,,,,,,,,,,,
VIOLETA,,ESCUELA FORMACIÓN TRANSITORIA CARABINEROS,DIPIR,40073352-0,QUIRIHUE,,C. JAQUE,,,,,,FINANCIADO,303.399,INAUGURACIÓN,,,,,,,,,,,,,,,,,,FRIL,
VIOLETA,,ESCUELA FORMACION DEFINITIVA (CAPILLA COX) DISEÑO TERMINA 2027 - DIVISIÓN SEGURIDAD,DIPLADE,Sin información,CHILLAN,,,RS,DISEÑO,,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
VIOLETA,,MEJORAMIENTO COMPLEJO ANFA (DIDESO) - QUILMO,DIDESOH,Sin Ingreso,CHILLAN,,,,,,,GORE - FNDR,,$1.000.000.000,,,,,,,,,,,,,,,,,,,,
VIOLETA,,LICEO INTERNADO DE CATO (DIPLADE) - DISEÑO CONSERVACIÓN DE DOS ALAS,DIPLADE,Sin información,CHILLAN,,,IDEA,DISEÑO,,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
VIOLETA,,CESFAM LAS MARIPOSAS DE CHILLÁN (DISEÑO) CONVENIO DE PROGRAMACIÓN ,DIPLADE,Sin información,CHILLAN,,,IDEA,SIN INFORMACIÓN,,,,,Sin información,ENTREGA TERRENO,,,,,,,,,,,,,,,,,,,
VIOLETA,,ESCUELA SAN NICOLÁS,DIDESOH,40029452-0,SAN NICOLAS,,,IDEA,,,,"GORE - FNDR, OTRA FUENTE",FINANCIADO,42.826.411,,,,,,,,,,,,,,,,,,,,
VIOLETA,,REPOSICIÓN CENTRO DE SALUD FAMILIAR DAVID BENAVENTE NINHUE,DIPLADE,40037349-0,NINHUE,,,RS,DISEÑO,,,,FINANCIADO,$382.990,ENTREGA DISEÑO,,M2,,,,,,,,,,,,,,,,,
AMARILLO,,ESTADIO BULNES (POR ETAPAS),DIPLADE,Sin información,BULNES,,,EN FORMULACIÓN,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,BOULEVARD AVENIDA ARGENTINA,DIPLADE,30485661-0,CHILLAN,,,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,NO FINANCIADO,Sin información,INAUGURACIÓN,"23,499",M2,,,,,,,,,,,,,,,,,
AMARILLO,,EJE OHIGGINS,DIPLADE,Sin información,CHILLÁN VIEJO,,,,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,"MEJORAMIENTO BORDE COSTERO SECTOR LOBERIA, COBQUECURA",DIPLADE,40076912-0,COBQUECURA,,,,SIN INFORMACIÓN,MOP - DOP,,,NO FINANCIADO,5000,,,,,,,,,,,,,,,,,,,,
AMARILLO,,ESCUELA FELIPE CUBILLOS,DIPLADE,Sin información,COELEMU,,,,SIN INFORMACIÓN,MUNICIPALIDAD,,GORE - FNDR,FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,GIMNASIO,DIPLADE,Sin información,COIHUECO,,,,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,EDIFICIO CONSISTORIAL,DIPLADE,Sin información,EL CARMEN,,,RS,EJECUCIÓN,MUNICIPALIDAD,,"GORE - FNDR, SUBDERE",FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,"EPOSICION PAVIMENTACIÓN CALLE ARTURO PRAT, COMUNA DE NINHUE",DIPLADE,40045015-0,NINHUE,,,,SIN INFORMACIÓN,MUNICIPALIDAD,,,FINANCIADO,2.615.288,,,,,,,,,,,,,,,,,,,,
AMARILLO,,CUERPO DE BOMBEROS ÑIQUEN,DIPLADE,Sin información,ÑIQUÉN ,,,,EJECUCIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
