DATOS DE REGISTRO DE INICIATIVA EN CARTERA DE PROYECTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,EVALUACIÓN DE ADMISIBILIDAD,,,,,,,,,,PRIORIZACIÓN PARA REVISIÓN,,REVISIÓN INICIATIVA MIDESO,,,,,,,REVISIÓN INICIATIVAS GORE,,,,,,,,,,PRIORIZACIÓN PRESUPUESTARIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codigo Unico,,Año,Año pptario,Cod Idi,Dv,Nombre Proyecto,Tipo,Provincia,Comuna,Etapa,Tipologia,Categoría GORE,Subt,Item,Asig,Prov Subdere,Formulador,Beneficiario,Sector,Subsector,Mto Proyecto,Mto Sectorial,Mto Fndr,Gsto Vigente,Gsto Sgtes Años,Estado Actual,Fecha Recp Gore,Fecha Ingre PreInv,Fecha Asig Analista,ANALISTA,ADMISIBLE O INADMISIBLE,Fecha 1° ADM / INAD,Documento o Fecha informa a UT ADM / INAD,Fecha Subsana Observaciones INAD,Fecha 2° ADM / INAD,2° Documento o Fecha informa a UT ADM / INAD,Fecha Priorización  para Revisión (Gobernador),Lugar de Priorización para Revisión,Mideso (SI / NO),N° Ordinario,Fecha Ordinario,N° Ord y Fcha Envi a Mds,RATE Mideso,Fecha RATE Mideso,Comunica RATE Mideso a U.T,Fecha Asig Analista REVISIÓN,Primer Rate,Fecha Primer Rate,Fecha Informa a UT 1° RATE,Fecha Subsanación Primer RATE,Segundo Rate,Fecha Segundo Rate,Fecha Informa a UT 2° RATE,N° Certificado RS,Fecha Certificado RS,Fecha Priorización  Presupuestaria (Gobernador),Lugar de Priorización para Revisión,N° Ord y Fcha Post,N° Of/Mail_Fcha Inf Form,N° Ord al Core,Fech Ord Envio a Core,N° Cert Core o Resolucion Ex,Fech Cert Aprob Core o Res. Exta.,RES. CREA ASIGNACIÓN,SUBT.,SUBT. - ITEM,SUBT. - ITEM - ASIG.,MONTO TOTAL PROYECTO,MONTO SECTORIAL,MONTO FNDR POSTULADO,MONTO ADJUDICADO,AUMENTOS,ESTADO,FECHA DE  CONVENIO,N° RES. APRUEBA CONVENIO,ID LICITACIÓN,EMPRESA ADJUDICADA,RUT,FECHA ACTA ENTREGA TERRENO,AUMENTO DE PLAZO,PROF. PRESUP RESPONSABLE,PROF. INVERSIONES RESPONSABLE,EJEC. 2019,EJEC. 2020,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,PROGRAMADO 2021,ARRASTRE 2022,PORCENTAJE AVANCE,PROGRAMADO ENE - JUN,PROGRAMADO JUL - DIC,ETAPA DEL CICLO,AREA DEL PROYECTO,DIAS PARA ULTIMO RATE (ANALISTA),DIAS PARA ULTIMO RATE (INGRESO GORE),DIAS DESDE FI - OT - ADMISIBLE,CONDICIÓN INICIATIVA,DIAS DESDE CORE A CONVENIO,EJECUCIÓN 2021,,,% EJEC. PROG. 02 - 2021
40010639-2019,,2019,2019,40010639,0,ADQUISICION CAMION ALJIBE MUNICIPALIDAD DE PORTEZUELO,PROYECTO,ITATA,PORTEZUELO,EJECUCIÓN,C-33,,29,3,,#REF!,MUNICIP. PORTEZUELO,PORTEZUELO,CAMIONES,CAMIONES,"$54,618",$0,"$54,618","M$54,618",M$0,REV SUB OBSE,05-03-2019,#REF!,05-03-2019,ELIAS JARA,,#REF!,,,,,,,,,,,,,,,,FI,,17-04-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010647-2019,,2019,2019,40010647,0,ADQUISICION GENERADOR ELECTRICO 200KVA MUNICIPALIDAD DE PORTEZUELO,PROYECTO,ITATA,PORTEZUELO,EJECUCIÓN,C-33,,29,5,,#REF!,MUNICIP. PORTEZUELO,PORTEZUELO,EQUIPAMIENTO,GENERADOR,"$21,263",$0,"$21,263","M$21,263",M$0,REVISAR,05-03-2019,#REF!,05-03-2019,PABLO NUÑEZ,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010668-2019,,2019,2019,40010668,0,"CONSTRUCCION SEDE SOCIAL JUNTA DE VECINOS EL LAUREL, COMUNA DE RANQUIL",PROYECTO,ITATA,RÁNQUIL,EJECUCIÓN,FRIL,,33,3,125,#REF!,MUNICIP. RÁNQUIL,RANQUIL,INFRAESTRUCTURA SOCIAL,ORGANIZACIÓN Y SERVICIOS COMUNALES,"$60,000",$0,"$60,000","M$60,000",M$0,REVISAR,15-02-2019,#REF!,15-02-2019,PABLO NUÑEZ,,#REF!,,,,,,,,,,,,,,,,ADMISIBLE,,26-04-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010675-2020,,2019,2020,40010675,0,"CONSTRUCCION CIERRE PERIMETRAL CANCHA MUNICIPAL SECTOR EL CENTRO, COMUNA DE RANQUIL",PROYECTO,ITATA,RÁNQUIL,EJECUCIÓN,FRIL,,33,3,125,#REF!,MUNICIP. RÁNQUIL,RANQUIL,DEPORTES,ORGANIZACIÓN Y SERVICIOS COMUNALES,"$23,000",$0,"$23,000","M$23,000",M$0,APRO CORE,15-02-2019,#REF!,15-02-2019,MARIA JOSE GUTIERREZ,,#REF!,,,,,,,,,,,,,,,,RS,,26-04-2019,,,,,,,,,#REF!,173,26-04-2019,100,13-05-2019,,ITATA,RÁNQUIL,40010675,03,125,"CONSTRUCCION CIERRE PERIMETRAL CANCHA MUNICIPAL SECTOR EL CENTRO, COMUNA DE RANQUIL","$23,000",$0,100,,9. TERMINADO,1,EJECUTADO,43640,287,43641,2129-28-LE19,CONSTRUCTORA VALCACI LTDA,76.282.795-6,"$43,804",$50,,Luis Padilla Orellana,Carlos Jungjohann Muñoz,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,0.00%,$50,$0,INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010724-2019,,2019,2019,40010724,0,"MEJORAMIENTO MULTICANCHA ESTADIO MUNICIPAL, COMUNA DE PINTO",PROYECTO,DIGUILLIN,PINTO,EJECUCIÓN,FRIL,,33,3,125,#REF!,MUNICIP. PINTO,PINTO,DEPORTES,DEPORTE RECREATIVO,"$56,543",$0,"$56,543","M$56,543",M$0,REVISAR,27-03-2019,#REF!,29-03-2019,PABLO NUÑEZ,,#REF!,,,,,,,,,,,,,,,,ADMISIBLE,,26-04-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010724-2021,,2020,2021,40010724,0,"MEJORAMIENTO MULTICANCHA ESTADIO MUNICIPAL, COMUNA DE PINTO",PROYECTO,DIGUILLIN,PINTO,EJECUCIÓN,FRIL,,33,3,125,#REF!,MUNICIP. PINTO,PINTO,DEPORTES,DEPORTE RECREATIVO,"$56,543",$0,"$56,543","M$56,543",M$0,APRO CORE,03-03-2020,#REF!,04-03-2020,FERNANDO AVENDAÑO,,#REF!,,,,,,,,,,,,,,,,RS,,19-10-2020,,,,,,,,,#REF!,1012,19-11-2020,216,04-12-2020,,DIGUILLIN,PINTO,40010724,03,125,"MEJORAMIENTO MULTICANCHA ESTADIO MUNICIPAL, PINTO","$59,999",$0,216,,9. TERMINADO,1,"CJG 22.8.22 CON RECEPCION PROVISORIA // CJG ULTIMA VISITA 2.3.22 // CJG ULTIMA VISITA 15.2.22 // CJG ULTIMA VISITA 12.1.22 / CJG 26.10 ADJUDICADA // CJG DESIERTA 24.9 // CJG 23.08 ADJUDICA 8 SEPTIEMBRE  // ALDF 12-01-2021 SE DEBE GESTIONAR FRMA DE CONVENIO // PSP 05,02,2021 CONVENIOS EN REVISIÓN DE JURÍDICA  // PSP 19.02.2021 CONVENIO FRIMADO // PSP 03.03.2021 SE REALIZÓ REUNIÓN PRE LICITACIÓN // PSP 12.05.2021 SE ESTÁ A LA ESPERA DE LAS BASES // PSP 15-06-2021 SIN OBSERVACIONES // CJG 26.07.21 SE SUBEN BASES 1 SEMANA DE AGOSTO // ALDF 16.11.21 DA INICIO 2DA SEMANA DE NOVIEMBRE",44243,102,23-02-2021,4575-14-LP21 / 4575-16-LP21,CONSTRUCTORA VENEGAS PRADENAS LTDA.,76800789-6,"$44,508",$80,,Pamela Solis Perez,Carlos Jungjohann Muñoz,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,0.00%,$80,$0,INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010744-2019,,2019,2019,40010744,0,"CONSTRUCCION INFRAESTRUCTURA SANITARIA SECTOR TALQUIPÉN, COMUNA DE COIHUECO",PROYECTO,PUNILLA,COIHUECO,EJECUCIÓN,MIDESO,,31,,,#REF!,MUNICIP. COIHUECO,COIHUECO,SANEAMIENTO,SANEAMIENTO,"$1,910,511",$0,"$1,910,511","M$1,910,511",M$0,REV MDS,04-02-2019,#REF!,05-02-2019,CAMILA CANAHUATE,,#REF!,,,,,,,,,,78,,,,,,INADMISIBLE,,22-02-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010744-2020,,2020,2020,40010744,0,"CONSTRUCCION INFRAESTRUCTURA SANITARIA SECTOR TALQUIPÉN, COMUNA DE COIHUECO",PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,,31,,,#REF!,MUNICIP. COIHUECO,COIHUECO,SANEAMIENTO,SANEAMIENTO,"$76,200",$0,"$76,200","M$76,200",M$0,,22-01-2020,#REF!,22-01-2020,PABLO NUÑEZ,,#REF!,,,,,,,,,,,,,,,,RS,,19-02-2020,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010762-2019,,2019,2019,40010762,0,CONSTRUCCION CUARTEL PRIMERA COMPAÑÍA DE BOMBEROS DE COIHUECO,PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,,31,,,#REF!,MUNICIP. COIHUECO,BOMBEROS,SEGURIDAD PUBLICA,BOMBEROS,"$52,028",$0,"$52,028","M$52,028",M$0,NO RECOMEN,04-02-2019,#REF!,05-02-2019,MARIA JOSE GUTIÉRREZ / MIDESO,,#REF!,,,,,,,,,,,,,,,,INADMISIBLE,,28-02-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010775-2019,,2019,2019,40010775,0,DIAGNOSTICO ESTUDIO BÁSICO DIAGNOSTICO INTEGRAL DE RESIDUOS REGIÓN DE ÑUBLE,ESTUDIO,REGIONAL,REGIONAL,EJECUCIÓN,MIDESO,,31,1,,#REF!,MEDIO AMBIENTE,REGIONAL,RECURSOS NATURALES Y MEDIO AMBIENTE,MEDIO AMBIENTE,"$300,000",$0,"$300,000","M$249,000","M$51,000",REV MDS,24-01-2019,#REF!,30-01-2019,JAVIER BRITO,,#REF!,,,,,,,,,,80,,,,,,FI,,21-06-2019,,,,,,,,13/2019,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010775-2020,,2019,2020,40010775,0,DIAGNOSTICO ESTUDIO BÁSICO DIAGNOSTICO INTEGRAL DE RESIDUOS REGIÓN DE ÑUBLE,ESTUDIO,REGIONAL,REGIONAL,EJECUCIÓN,MIDESO,,31,1,,#REF!,MEDIO AMBIENTE,REGIONAL,RECURSOS NATURALES Y MEDIO AMBIENTE,MEDIO AMBIENTE,"$307,796",$0,"$307,796","M$42,218","M$265,578",,21-01-2020,#REF!,21-01-2020,PABLO NUÑEZ,,#REF!,,,,,,,,,,30,,,,,,RS,,12-03-2020,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010775-2021,,2021,2021,40010775,0,"DIAGNÓSTICO INTEGRAL DE RESIDUOS SÓLIDOS, REGIÓN DE ÑUBLE",PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,MIDESO,Estudios/Planificación,31,1,0,#REF!,MEDIO AMBIENTE,REGIONAL,RECURSOS NATURALES Y MEDIO AMBIENTE,MEDIO AMBIENTE,"$314,721",$0,"$314,721","M$43,167","M$271,554",,20-01-2020,#REF!,30-03-2021,Oscar Diaz Diaz,,#REF!,,,,,,,,,,RS de arrastre,,,,,,RS,,22-12-2020,,,,,,,,,#REF!,215,31-03-2021,0,,,REGIONAL,REGIONAL,40010775,01,,"DIAGNÓSTICO INTEGRAL DE RESIDUOS SÓLIDOS, REGIÓN DE ÑUBLE","$314,721",$0,307,,2. APROB. MENOR A 7.000 UTM,,,,,,,,,,,,Luis Padilla Orellana,Carolina Serey Provoste,DIPIR,SUBT. 31 - DIPIR,,,,,,,,,0.00%,$0,$0,INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010777-2019,,2019,2019,40010777,0,DIAGNOSTICO ESTUDIO BÁSICO DIAGNOSTICO BIODIVERSIDAD Y RECURSOS NATURALES,ESTUDIO,REGIONAL,REGIONAL,EJECUCIÓN,MIDESO,,31,1,,#REF!,MEDIO AMBIENTE,REGIONAL,RECURSOS NATURALES Y MEDIO AMBIENTE,MEDIO AMBIENTE,"$300,000",$0,"$300,000","M$249,000","M$51,000",REV MDS,24-01-2019,#REF!,30-01-2019,JAVIER BRITO,,#REF!,,,,,,,,,,81,,,,,,FI,,12-03-2019,,,,,,,,8,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010797-2019,,2019,2019,40010797,0,"CONSTRUCCION PATIO CUBIERTO Y MEJORAMIENTO DE SALAS EN ESCUELA F-127 BULI, SAN CARLOS",PROYECTO,PUNILLA,SAN CARLOS,EJECUCIÓN,FRIL,,33,3,125,#REF!,MUNICIP. SAN CARLOS,SAN CARLOS,"EDUCACION, CULTURA Y PATRIMONIO",EDUCACIÓN BÁSICA Y MEDIA,"$60,000",$0,"$60,000","M$60,000",M$0,REVISAR,15-03-2019,#REF!,20-03-2019,PABLO NUÑEZ,,#REF!,,,,,,,,,,,,,,,,ADMISIBLE,,26-04-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010832-2019,,2019,2019,40010832,0,CAPACITACION CAPACITACIÓN PARA LA CONSTRUCCIÓN CON MADERA EN LA REGION DE NUBLE,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,33,3,,#REF!,INFOR,REGIONAL,FOMENTO PRODUCTIVO,CAPACITACION,"$501,499","$54,515","$446,984","M$195,498","M$251,486",REV SUB OBSE,17-01-2019,#REF!,23-01-2019,MARIA JOSE GUTIERREZ,,#REF!,,,,,,,,,,,,,,,,OT,,23-07-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010832-2020,,2020,2020,40010832,0,CAPACITACIÓN PARA LA CONSTRUCCIÓN CON MADERA EN LA REGIÓN DE ÑUBLE,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,33,3,,#REF!,INFOR,REGIONAL,FOMENTO PRODUCTIVO,CAPACITACION,"$380,570","$29,421","$351,149","M$87,788","M$263,361",REEMPL,28-01-2020,#REF!,17-03-2020,Oscar Diaz Diaz,,#REF!,,,,,,,,,,,,,,,,RS,,04-05-2020,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010832-2020,,2020,2020,40010832,0,CAPACITACION INNOVACIÓN Y COMPETITIVIDAD PARA LA CONSTRUCCIÓN CON MADERA EN REGION ÑUBLE,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,FIC,,33,3,999,#REF!,INFOR,REGIONAL,FOMENTO PRODUCTIVO,CAPACITACION,"$351,149",$0,"$351,149","M$175,575","M$175,574",COMI CORE,06-07-2020,#REF!,06-07-2020,JAVIER BRITO,,#REF!,,,,,,,,,,,,,,,,RS,,07-07-2020,,,,,,,,,#REF!,0,,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010832-2021,,2021,2021,40010832,0,CAPACITACIÓN PARA LA CONSTRUCCIÓN CON MADERA EN LA REGIÓN DE ÑUBLE,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,Fomento/Turismo/Innovación,33,3,,#REF!,INFOR,INFOR,FOMENTO PRODUCTIVO,FOMENTO PRODUCTIVO,"$447,001",$0,"$447,001","M$447,001",M$0,,04-08-2021,#REF!,09-09-2021,GONZALO RAMIREZ,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010832-2022,,2022,2022,40010832,0,CAPACITACION INNOVACION Y COMPETITIVIDAD PARA LA CONSTRUCCION CON MADERA EN REGION DE ÑUBLE,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSAS COMUNES,FOMENTO/TURISMO/INNOVACIÓN,33,3,,#REF!,INFOR,REGIONAL,MULTISECTORIAL,"INTERSUBSECTORIAL
MULTISECTOR","M$336,905",M$0,"M$336,905","M$134,762","M$202,143",APROBADO TÉCNICAMENTE,24-01-2022,#REF!,,Oscar Diaz Diaz,,#REF!,,,,,,,,,,,,,,,,RS,,11.10.2022,,,,,,,,2B N°248,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010841-2020,,2019,2020,40010841,0,REPOSICION DOS AMBULANCIA ATS 4X2 DE GESTION DE CAMAS DEL HOSPITAL CLINICO HERMINDA MARTIN,PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,C-33,,29,3,,#REF!,S.SALUD ÑUBLE,CHILLAN,VEHICULOS,AMBULANCIA,"$92,363",$0,"$92,363","M$92,363",M$0,APRO CORE,15-07-2019,#REF!,11-10-2019,ELIAS JARA,,#REF!,,,,,,,,,,,,,,,,RS,,29-10-2019,,,,,,,,,#REF!,433,14-11-2019,262,30-12-2019,,REGIONAL,REGIONAL,40010841,03,,REPOSICIÓN DOS AMBULANCIAS ATS 4X2 DE GESTIÓN DE CAMAS DEL HOSPITAL CLINICO HERMINDA MARTIN,"$92,363",$0,262,,9. TERMINADO,1,EJECUTADO,43900,24,43909,,,,,,,Pamela Solis Perez,Carlos Jungjohann Muñoz,DIPIR,SUBT. 29 - DIPIR,,,,,,,,,0.00%,$0,$0,INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010845-2019,,2019,2019,40010845,0,ADQUISICION ADQUISICIÓN VEHÍCULOS POLICIALES PDI_REGIÓN POLICIAL DE ÑUBLE,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,,29,3,,#REF!,PDI,PDI,VEHICULOS,SEGURIDAD PUBLICA,"$175,845",$0,"$175,845","M$175,845",M$0,APRO CORE,16-01-2019,#REF!,17-01-2019,ELIAS JARA,,#REF!,,,,,,,,,,,,,,,,RS,,26-04-2019,,,,,,,,,#REF!,171,26-04-2019,94,17-05-2019,,REGIONAL,REGIONAL,40010845,03,,ADQUISICION ADQUISICIÓN VEHÍCULOS POLICIALES PDI_REGIÓN POLICIAL DE ÑUBLE,"$175,845",$0,94,,9. TERMINADO,1,EJECUTADO,N/A,N/A,N/A,,,,,,,Maryorie Quintero Vejar,Cristian Jaque Guzmán,DIPIR,SUBT. 29 - DIPIR,,,,,"$150,304",,,,15030400.00%,$0,"$150,304",INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010872-2019,,2019,2019,40010872,0,"TRANSFERENCIA BECA ""ÑUBLE APUESTA AL FUTURO""",PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,33,3,,#REF!,EDUCACION,REGIONAL,"EDUCACION, CULTURA Y PATRIMONIO",EDUCACIÓN SUPERIOR,"$640,000",$0,"$640,000","M$640,000",M$0,RECHZ DIPRES,16-01-2019,#REF!,17-01-2019,JAVIER BRITO,,#REF!,,,,,,,,,,,,,,,,RS,,21-01-2019,,,,,,,,,#REF!,50,22-01-2019,42,07-02-2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010878-2019,,2019,2019,40010878,0,"REPOSICION GIMNASIO MUNICIPAL, COMUNA DE SAN NICOLÁS",PROYECTO,PUNILLA,SAN NICOLÁS,DISEÑO,MIDESO,,31,2,,#REF!,MUNICIP. SAN NICOLÁS,SAN NICOLAS,DEPORTES,DEPORTE FORMATIVO,"$51,535",$0,"$51,535","M$51,535",M$0,REEMPL,05-02-2019,#REF!,06-02-2019,ELIAS JARA,,#REF!,,,,,,,,,,,,,,,,INADMISIBLE,,07-02-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010907-2019,,2019,2019,40010907,0,"CONSTRUCCION CUBIERTA MULTICANCHA ESCUELA E-112 GENERAL JOSÉ MIGUEL CARRERA VERDUGO, SAN CARL",PROYECTO,PUNILLA,SAN CARLOS,EJECUCIÓN,FRIL,,33,3,125,#REF!,MUNICIP. SAN CARLOS,SAN CARLOS,"EDUCACION, CULTURA Y PATRIMONIO",EDUCACIÓN BÁSICA Y MEDIA,"$60,000",$0,"$60,000","M$60,000",M$0,APRO CORE,15-03-2019,#REF!,18-03-2019,MARIA JOSE GUTIERREZ,,#REF!,,,,,,,,,,,,,,,,RS,,14-05-2019,,,,,,,,,#REF!,204,14-05-2019,116,03-06-2019,,PUNILLA,SAN CARLOS,40010907,03,125,"CONSTRUCCION CUBIERTA MULTICANCHA ESCUELA E-112 GENERAL JOSÉ MIGUEL CARRERA VERDUGO, SAN CARLOS","$60,000",$0,116,,9. TERMINADO,1,EJECUTADO,43640,293,43642,4024-21-LP19,Manuel E. Panes Ramos,9.816.801-k,"$43,790",,,Maryorie Quintero Vejar,Carolina Serey Provoste,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,"$14,580",1458000.00%,$0,$0,INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010918-2019,,2019,2019,40010918,0,TRANSFERENCIA SEÑALETICA E INFRAESTRUCTURA TURISTICA,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,33,3,,#REF!,SERNATUR,REGIONAL,TURISMO Y COMERCIO,TURISMO,"$474,900",$0,"$474,900","M$474,900",M$0,REEMPL,17-01-2019,#REF!,22-01-2019,JAVIER BRITO,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40010968-2019,,2019,2019,40010968,0,"MEJORAMIENTO MEJORAMIENTO POSTAS RURALES TORRECILLAS Y MONTE BLANCO, SAN CARLOS",PROYECTO,PUNILLA,SAN CARLOS,EJECUCIÓN,FRIL,,33,3,125,#REF!,MUNICIP. SAN CARLOS,SAN CARLOS,SALUD,BAJA COMPLEJIDAD,"$60,000",$0,"$60,000","M$60,000",M$0,REV SUB OBSE,15-03-2019,#REF!,03-05-2019,MATHIAS PEZO,,#REF!,,,,,,,,,,,,,,,,FI,,05-11-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
