 ,CODIGO ÚNICO,AÑO PRESUPUESTARIO,UNIDAD TÉCNICA ,ORIGEN,TIPOLOGIA,PROVINCIA,COMUNA,CODIGO BIP,SUBT,ITEM,ASIG,NOMBRE INICIATIVA,MONTO TOTAL PROYECTO,MONTO SECTORIAL M$,MONTO FNDR POSTULADO M$,MONTO FNDR ADJUDICADO M$,AUMENTOS $,CERT CORE O RS,FECHA CERTIFICADO,RES. CREA ASIGNACIÓN,ESTADO,AVANCE,OBSERVACIÓN,FECHA FIRMA DE CONVENIO,N° RES. APRUEBA CONVENIO,FECHA RES- APRUEBA CONVENIO,ID LICITACIÓN,EMPRESA ADJUDICADA ,RUT,ACTA ENTREGA TERRENO,PLAZO,AUMENTO DE PLAZO (PARALIZACIÓN),PROF. PRESUP RESPONSABLE,PROF. RESPONSABLE,DIVISIÓN VINCULADA,DIVISIÓN Y SUBTÍTULO,MAY,JUN,JUL,AGO,SEPT,OCT,NOV,DIC,suma ene a dic,dife,EJEC. 2019,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEPT,OCT,NOV,DIC,EJEC. 2020,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,EJEC. 2021,ENERO PROYECTADO ,ENERO REAL,FEB PROYECTADO ,FEB REAL,MAR PROYECTADO,MAR REAL,ABR PROYECTADO,ABR REAL,MAY PROYECTADO,MAY REAL,JUN PROYECTADO,JUN REAL,JUL PROYECTADO,JUL REAL,AGO PROYECTADO,AGO REAL,SEP PROYECTADO,SEP REAL,OCT PROYECTADO,OCT REAL,NOV PROYECTADO,NOV REAL,DIC PROYECTADO,DIC REAL,GASTO  EJECUTADO 2022,ENERO PROYECTADO 23,ENERO REAL 23,FEB PROYECTADO 23,FEB REAL 23,MAR PROYECTADO 23,MAR REAL 23,ABR PROYECTADO 23,ABR REAL 23,MAY PROYECTADO 23,MAY REAL 23,JUN PROYECTADO 23,JUN REAL 23,JUL PROYECTADO 23,JUL REAL 23,AGO PROYECTADO 23,AGO REAL 23,SEP PROYECTADO 23,SEP REAL 23,OCT PROYECTADO 23,OCT REAL 23,NOV PROYECTADO 23,NOV REAL 23,DIC PROYECTADO 23,DIC REAL 23,GASTO A EJECUTAR 2023,GASTO  EJECUTADO 2023,ARRASTRE 2024,ENERO PROYECTADO 24,ENERO REAL 24,FEB PROYECTADO 24,FEB REAL 24,MAR PROYECTADO 24,MAR REAL 24,ABR PROYECTADO 24,ABR REAL 24,MAY PROYECTADO 24,MAY REAL 24,JUN PROYECTADO 24,JUN REAL 24,JUL PROYECTADO 24,JUL REAL 24,AGO PROYECTADO 24,AGO REAL 24,SEP PROYECTADO 24,SEP REAL 24,OCT PROYECTADO 24,OCT REAL 24,NOV PROYECTADO 24,NOV REAL 24,DIC PROYECTADO 24,DIC REAL 24,GASTO A EJECUTAR 2024,GASTO  EJECUTADO 2024,ARRASTRE 2025,ENERO PROYECTADO 25,ENERO REAL 25,FEB PROYECTADO 25,FEB REAL 25,MAR PROYECTADO 25,MAR REAL 25,ABR PROYECTADO 25,ABR REAL 25,MAY PROYECTADO 25,MAY REAL 25,JUN PROYECTADO 25,JUN REAL 25,JUL PROYECTADO 25,JUL REAL 25,AGO PROYECTADO 25,AGO REAL 25,SEP PROYECTADO 25,SEP REAL 25,OCT PROYECTADO 25,OCT REAL 25,NOV PROYECTADO 25,NOV REAL 25,DIC PROYECTADO 25,DIC REAL 25,GASTO A EJECUTAR 2025,GASTO  EJECUTADO 2025,ARRASTRE 2026, , , ,ppto,2021+2022+2023,2024,saldo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,40034153-2024,2024,RANQUIL,MUNICIPIO,VIALIDAD,ITATA,RÁNQUIL,40034153,33,03,125,"MEJORAMIENTO VIALIDAD URBANA SECTOR NUEVA ALDEA, COMUNA DE RÁNQUIL","$166,100",$0,"$166,100","$166,400",,,,,7. EN EJECUCIÓN,,CJG 6.5.24 SE ENVIAN RESOLUCION EXENTA QUE APRUEBA CONVENIO A UT,,,,2129-45-LQ24,FORESTA SPA,76.280.936-2,,,,Luis Padilla Orellana,Pablo Troncoso,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$166,400",,,,,,,,,,,,,,,,,,,,,,,"$149,760","$149,760","$149,760","$149,760","$16,640",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$16,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40065733-2024,2024,RÁNQUIL,MUNICIPIO,EDUCACION,ITATA,RÁNQUIL,40065733,33,03,125,"REPOSICIÓN CUBIERTA ESCUELA AMÉRICA, COMUNA DE RÁNQUIL","$174,598",$0,"$174,598","$181,932",,,,,7. EN EJECUCIÓN,,CJG 18.12.24 ENVIO DE CONVENIO A UT ,,,,2129-5-LQ25,,,,150,,,Emiliano Dominguez Fuentes,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$181,932",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$181,932",,,,,,,,,,,"$56,327","$56,327","$44,432","$44,432",,,,,"$40,460","$40,460",,,,,"$141,219","$141,219","$40,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40061254-2024,2024,RÁNQUIL,MUNICIPIO,ENERGIA,ITATA,RÁNQUIL,40061254,33,03,125,"CONSTRUCCIÓN ILUMINACIÓN ESTADIO NUEVA ALDEA, COMUNA DE RÁNQUIL","$174,598",$0,"$174,598","$174,598",,,,,4. CONVENIO FIRMADO,,CJG 25.7.24 JURIDICA GORE APRUEBA RES QUE APRUEBA CONVENIO // ,,,,,,,,,,Luis Padilla Orellana,Jorge Oñate Castro,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$174,598",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$174,598",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$174,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40062079-2024,2024,RÁNQUIL,MUNICIPIO,SEGURIDAD,ITATA,RÁNQUIL,40062079,33,03,125,"CONSTRUCCIÓN DE SISTEMA DE CÁMARAS DE TELEVIGILANCIA, E INSTALACIÓN DE LUMINARIAS FOTOVOLTAICO","$174,000",$0,"$174,000","$174,000",,,,,5. EN LICITACIÓN,,,,,,2129-8-LQ25,,,,,,Luis Padilla Orellana,Jorge Oñate Castro,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$174,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$174,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$174,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40067266-2024,2024,RÁNQUIL,MUNICIPIO,DESARROLLO URBANO,ITATA,RÁNQUIL,40067266,33,03,125,"MEJORAMIENTO CAMINOS APLICANDO SUPRESOR DE POLVO, COMUNA DE RÁNQUIL. ","$166,766",$0,"$166,766","$166,766",,,,,9. TERMINADO,100%,CJG 18.12.24 SE ENVIA CONVENIO A UT ,,,,2129-60-LQ24,INGENIERIA Y CONSTRUCCION ROGER MENDY MUÑOZ E.I.R.L.,76.816.518-1,7.1.25,70,,Luis Padilla Orellana,Pablo Troncoso Alarcon,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$166,766",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$166,766",,,,,,,"$150,088","$150,088",,,,,,,,,,,"$16,678","$16,678",,,,,"$166,766","$166,766",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40051602-2024,2024,RÁNQUIL,MUNICIPIO,TURISMO Y COMERCIO,ITATA,RÁNQUIL,40051602,33,03,125,CONSTRUCCIÓN E INSTALACIÓN SEÑALÉTICA TURÍSTICA COMUNA DE RANQUIL,,$0,,"$132,600",,,,,9. TERMINADO,100%,,,,,2129-17-LQ24,INGENIERIA Y CONSTRUCCION ROGER MENDY MUÑOZ E.I.R.L.,76.816.518-1,,,,Luis Padilla Orellana,Pablo Troncoso Alarcon,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$132,600",,,,,,,,,,,,,,,,,,,"$33,811","$33,811","$85,477","$85,477",,,"$119,288","$119,288","$13,312",,,,,,,,,,,,,,,,,,,"$13,312","$13,312",,,,,"$13,312","$13,312",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40051422-2024,2024,RÁNQUIL,MUNICIPIO,DESARROLLO URBANO,ITATA,RÁNQUIL,40051422,33,03,125,"MEJORAMIENTO PLAZOLETA CAPILLA RÁNQUIL Y PLAZOLETA VILLA ROSSLE, COMUNA DE RÁNQUIL",,,,"$166,142","$16,436",,,,9. TERMINADO,100%,,,,,2129-2-LQ24,FORESTA SPA,76.280.936-2,,,,Luis Padilla Orellana,Pablo Troncoso Alarcon,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$182,578",,,,,,,,,,,"$36,649","$36,649",,,,,,,,,"$111,917","$111,917",,,"$148,566","$148,566","$34,012",,,"$34,012","$34,012",,,,,,,,,,,,,,,,,,,,,"$34,012","$34,012",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40044138-2024,2024,RÁNQUIL,MUNICIPIO,TRANSPORTE,ITATA,RÁNQUIL,40044138,29,03,,ADQUISICIÓN FURGÓN INCLUSIVO PARA RÁNQUIL,"$72,150",$0,"$72,150","$71,983",,441/2023,25.6.23,963/5.9.23,9. TERMINADO,100%,CJG 29.8.24 LLEGA FACTURA PARA APROBAR Y PODER OBTENER DOCUMENTACION // CJG 7.3.24 SE ENVIA CONVENIO FIRMADO A UT // CJG 22.1.24 SE ENVIA A CONTRALORIA PARA TOMA DE RAZON,19.12.23,182,28.12.23, 2129-22-LP24,BERTONATI VEHICULOS ESPECIALES,87.927.900-3,29-7-24,29,27-8-24,Luis Padilla Orellana,Cristian Jaque Guzmán,DIPIR,SUBT. 29 - DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"$71,983",,,,,,,,,,,,,,,,,"$71,983","$71,983",,,,,,,"$71,983","$71,983",$0,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40054721-2024,2024,SAN CARLOS,MUNICIPIO,SOCIAL,PUNILLA,SAN CARLOS,40054721,33,03,125,CONSTRUCCIÓN CENTRO COMUNITARIO SOCIAL EL TORREON,"$166,197",$0,"$166,197","$166,197",,,,,3. CREACION PPT.,,CJG 4.6.24 SE ENVIA CONVEIO DE TRANSFERENCIA Y RESOLUCIONES QUE LO APRUEBAN,,,,,,,,,,Maryorie Quintero Vejar,Javier Brito Aguayo,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$166,197",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$166,197",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$166,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40061618-2024,2024,SAN CARLOS,MUNICIPIO,SEGURIDAD,PUNILLA,SAN CARLOS,40061618,33,03,125,"INSTALACION ILUMINACION FOTOVOLTAICA ALUMBRADO PÚBLICO SECTOR ORIENTE, SAN CARLOS","$153,667",$0,"$153,667","$153,667",,,,,2. APROB. MENOR A 7.000 UTM,,,,,,,,,,,,Maryorie Quintero Vejar,Javier Brito Aguayo,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$153,667",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$153,667",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$153,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40054718-2024,2024,SAN CARLOS,MUNICIPIO,SOCIAL,PUNILLA,SAN CARLOS,40054718,33,03,125,"CONSTRUCCIÓN SEDE SOCIAL SECTOR EL CAPE, SAN CARLOS ","$146,103",$0,"$146,103","$126,461",,,,,9. TERMINADO,100%,CJG 4.6.24 SE ENVIA CONVEIO DE TRANSFERENCIA Y RESOLUCIONES QUE LO APRUEBAN,,,,,,,,,,,Pablo Troncoso Alarcon,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$126,461",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$126,461",,,,,"$25,620","$25,620",,,"$16,707","$16,707","$71,488","$71,488",,,,,,,"$12,646","$12,646",,,,,"$126,461","$126,461",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40061622-2024,2024,SAN CARLOS,MUNICIPIO,SEGURIDAD,PUNILLA,SAN CARLOS,40061622,33,03,125,"INSTALACIÓN ILUMINACIÓN FOTOVOLTAICA ALUMBRADO PÚBLICO SECTOR PONIENTE, SAN CARLOS","$145,688",$0,"$145,688","$145,688",,,,,2. APROB. MENOR A 7.000 UTM,,,,,,,,,,,,Maryorie Quintero Vejar,Javier Brito Aguayo,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$145,688",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$145,688",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$145,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40054746-2024,2024,SAN CARLOS,MUNICIPIO,SOCIAL,PUNILLA,SAN CARLOS,40054746,33,03,125,"CONSTRUCCIÓN SEDE SOCIAL VILLA NUEVA PRIMAVERA, SAN CARLOS","$133,058",$0,"$133,058","$132,436",,,,,7. EN EJECUCIÓN,,CJG 4.6.24 SE ENVIA CONVEIO DE TRANSFERENCIA Y RESOLUCIONES QUE LO APRUEBAN,,,,,,,,,,Maryorie Quintero Vejar,Javier Brito Aguayo,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$132,436",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$132,436",,,,,,,,,,,,,"$46,388","$46,388",,,,,"$25,224","$25,224",,,,,"$71,612","$71,612","$60,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40054723-2024,2024,SAN CARLOS,MUNICIPIO,SOCIAL,PUNILLA,SAN CARLOS,40054723,33,03,125,"CONSTRUCCIÓN SEDE SOCIAL CAMARICO, SAN CARLOS","$101,243",$0,"$101,243","$88,562",,,,,7. EN EJECUCIÓN,,CJG 4.6.24 SE ENVIA CONVEIO DE TRANSFERENCIA Y RESOLUCIONES QUE LO APRUEBAN,,,,,,,,,,Maryorie Quintero Vejar,Pablo Troncoso Alarcon,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$88,562",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$88,562",,,,,,,,,"$28,944","$28,944","$33,260","$33,260",,,,,,,"$17,493","$17,493",,,,,"$79,697","$79,697","$8,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40058479-2024,2024,SAN CARLOS,MUNICIPIO,VIALIDAD,PUNILLA,SAN CARLOS,40058479,33,03,125,"MEJORAMIENTO VARIOS CAMINOS, COMUNA DE SAN CARLOS","$92,641",$0,"$92,641","$92,641",,,,,7. EN EJECUCIÓN,90%,CJG 4.6.24 SE ENVIA CONVEIO DE TRANSFERENCIA Y RESOLUCIONES QUE LO APRUEBAN,,,,4024-26-LE24,Enrique Robles Galaz,14.277.741-k,11-9-25,90,,Maryorie Quintero Vejar,Pablo Troncoso Alarcon,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$92,641",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$92,641",,,,,,,,,,,,,,,,,,,,,"$82,971",,,,"$82,971",$0,"$92,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40056669-2024,2024,SAN FABIÁN,MUNICIPIO,SEGURIDAD,PUNILLA,SAN FABIÁN,40056669,33,03,125,"MEJORAMIENTO Y AMPLIACION CUERPO DE BOMBEROS SAN FABIAN DE ALICO, COMUNA DE SAN FABIAN","$174,588",$0,"$174,588","$174,588",,,,,7. EN EJECUCIÓN,,,,,,4253-1-LQ25,,,,,,Maryorie Quintero Vejar,Jorge Oñate Castro,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$174,588",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$174,588",,,,,,,,,,,"$24,539","$24,539",,,"$24,413","$24,413",,,"$11,293","$11,293",,,,,"$60,245","$60,245","$114,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40061962-2024,2024,SAN FABIÁN,MUNICIPIO,SEGURIDAD,PUNILLA,SAN FABIÁN,40061962,33,03,125,CONSTRUCCIÓN SISTEMAS DE ILUMINACIÓN DIVERSOS SECTORES COMUNA DE SAN FABIÁN,"$87,707",$0,"$87,707","$91,391",,,,,7. EN EJECUCIÓN,,"CJG 27.5.25 EN PROCESO DE LICITACIÓN POR REVOCACIÓN NUEVA LEY DE COMPRA, ID NUEVO MERCADO PUBLICO 4253-10-LP25, SE LICITARA A MAS TARDAR ESTE VIERNES 30/05/2025 // CJG 4.11.24 SE FIRMA RES QUE APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS",,,,4253-3-LP25 / 4253-10-LP25,SERVICIOS ELECTRICOS B&M E INGENIERIA SPA,77.966.752-9,,,,Maryorie Quintero Vejar,Jorge Oñate Castro,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$91,391",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$91,391",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$91,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40065541-2024,2024,SAN IGNACIO,MUNICIPIO,EDUCACION,DIGUILLIN,SAN IGNACIO,40065541,33,03,125,"REPOSICIÓN TECHUMBRE PRIMER NIVEL CESFAM DR. ALFONSO PARRA CARRIEL, SAN IGNACIO","$173,714",$0,"$173,714","$173,714",,,,,7. EN EJECUCIÓN,,CJG 18.12.24 SE ENVIA CONVENIO A UT ,,,,,,,,,,Pamela Solis Perez,Emiliano Dominguez,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$173,714",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$173,714",,,,,,,,,,,,,,,,,,,"$32,911","$32,911",,,,,"$32,911","$32,911","$140,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40058914-2024,2024,SAN IGNACIO,MUNICIPIO,SALUD,DIGUILLIN,SAN IGNACIO,40058914,29,03,,"REPOSICIÓN 2 AMBULANCIAS AEB 4X2, COMUNA DE SAN IGNACIO","$163,000",$0,"$163,000","$168,704",,,,,9. TERMINADO,100%,CJG 30.8.2024 UT SOLICITA ACTUALIZACION DE MONEDA PARA LICITAR //  CJG 13.8.24 SE ENVIA A CGR // CJG 30.7.24 SE ENVIA A JURIDICA GORE RES QUE APRUEBA CONVENIO // CJG 25.6.24 SE ENVIA A JURIDICA GORE PARA VISTO BUENO,,,,3706-90-LQ24,Bertonati vehiculos especiales,87.927.900-3,,,,Pamela Solis Perez,Cristian Jaque Guzmán,DIPIR,SUBT. 29 - DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$168,704",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$168,704",,,,,"$168,704","$168,704",,,,,,,,,,,,,,,,,,,"$168,704","$168,704",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40064009-2024,2024,SAN IGNACIO,MUNICIPIO,ENERGIA,DIGUILLIN,SAN IGNACIO,40064009,33,03,125,"MEJORAMIENTO SISTEMA ELÉCTRICO Y CLIMATIZACIÓN CESFAM DR. ALFONSO PARRA CARRIEL, SAN IGNACIO","$151,552",$0,"$151,552","$151,552",,,,,5. EN LICITACIÓN,,CJG 30.7.24 SE ENVIA A JURIDICA GORE RES QUE APRUEBA CONVENIO //,,,,3706-103-LQ24,,,,,,Pamela Solis Perez,Carlos Jungjohann Muñoz,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$151,552",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$151,552",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$151,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40050982-2024,2024,SAN IGNACIO,MUNICIPIO,DEPORTE,DIGUILLIN,SAN IGNACIO,40050982,33,03,125,MEJORAMIENTO AMPLIACION CANCHA RAYUELA SAN MIGUEL,"$162,150",$0,"$162,150","$150,584",,,,,7. EN EJECUCIÓN,,,,,,3706-83-LQ24,CONSTRUCCIONES RUIZ Y VILLABLANCA LTDA,76.445.851-6,,,,Pamela Solis Perez,Carlos Jungjohann Muñoz,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$150,584",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$150,584",,,,,"$120,468","$120,468",,,,,"$38,680","$38,680",,,,,,,,,,,,,"$159,148","$159,148","-$8,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40032465-2024,2024,AGENCIA DE SUSTENTABILIDAD Y CAMBIO CLIMÁTICO,SECTORIAL / OTRO,TURISMO Y COMERCIO,REGIONAL,REGIONAL,40032465,24,03,427,TRANSFERENCIA PROGRAMA APL VALLE DEL ITATA DESARROLLO VITIVINICOLA SUSTENTABLE,"$200,000",$0,"$200,000","$200,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,Maryorie Quintero Vejar,,DIFOI,SUBT. 33 - PROGRAMAS DIFOI,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$200,000",,,,,,,,,,,,,,,,,,,,,,,"$14,000","$14,000","$14,000","$14,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$186,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40050795-2024,2024,SAN IGNACIO,MUNICIPIO,DEPORTE,DIGUILLIN,SAN IGNACIO,40050795,33,03,125,"CONSTRUCCIÓN MULTICANCHA LICEO PUEBLO SECO, COMUNA DE SAN IGNACIO","$165,389",$0,"$165,389","$140,611",,,,,9. TERMINADO,100%,CJG 26.4.24 ULTIMA VISITA 24.4.24,,,,3706-108-LQ23,SOCIEDAD PARADA E HIJOS LTDA,76.040.086-6,,,,Pamela Solis Perez,Carlos Jungjohann Muñoz,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"$140,611",,,,,,,,,,,,,,,"$61,869","$61,869","$50,620","$50,620","$28,122","$28,122",,,,,"$140,611","$140,611",$0,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
